CODUSU;NRO_HOGAR;REALIZADA;ANO4STRE;TRIMESTRE;REGIONDO;MAS_500DO;AGLOMERADO;PONDERA;IV1ESP;IV1_ESP;IV2ESP;IV3ESP;IV3_ESP;IV4ESP;IV5ESP;IV6ESP;IV7ESP;IV7_ESP;IV81;IV91;IV101;IV111;IV12_1;IV12_2;IV12_3;II11P;II21P;II31P;II3_1P;II4_1P;II4_2P;II4_3P;II51P;II5_1P;II61P0;II6_1P0;II7ESP0;II7_ESP0;II8ESP0;II8_ESP0;II9A00;V1A00;V2A00;V21A00;V22A00;V3A00;V4A00;V5A00;V6A00;V7A00;V8A00;V9A00;V10A00;V11A00;V12A00;V13A00;V14A00;V15A00;V16A00;V17A00;V18A00;V19_A00;V19_B00;IX_TOT00;IX_MEN100;IX_MAYEQ10;ITFFRDO;DECIFRDO;IDECIFRDO;RDECIFRDO;GDECIFRDO;PDECIFRDO;ADECIFRDO;IPCFRDO;DECCFRDO;IDECCFRDO;RDECCFRDO;GDECCFRDO;PDECCFRDO;ADECCFRDO;VII1_1DO;VII1_2DO;VII2_1Q10;VII2_2Q10;VII2_3Q10;VII2_4Q10;IDIMPHQ10
380032;1;1;2014;4;40;N;25;120;1;;3;1;;1;2;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;7;1;6;28300;10;10;10;;10;10;4042.8571428571;07;07;08;;07;08;96;0;2;3;4;0;10100
380033;1;1;2014;4;44;N;17;200;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;3200;01;02;01;;02;01;3200.0;05;06;04;;06;05;1;0;98;0;0;0;00000
380034;1;1;2014;4;42;S;10;435;1;;6;1;;1;1;1;1;;1;1;1;1;2;2;2;6;3;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;8500;05;05;05;05;;05;2833.3333333333;04;05;05;04;;05;2;0;98;0;0;0;10100
380035;1;1;2014;4;1;S;33;886;2;;3;1;;9;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;4;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;6000;03;;03;03;;03;6000.0;08;;08;08;;09;1;0;98;0;0;0;00000
380038;1;1;2014;4;43;S;4;669;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;0;5;14000;08;08;08;08;;08;2800.0;04;05;04;04;;04;2;0;1;4;0;0;00000
380039;1;1;2014;4;43;N;3;214;1;;1;1;;1;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;3000;01;01;01;;01;01;3000.0;05;05;04;;05;04;1;0;98;0;0;0;10000
380040;1;1;2014;4;42;N;27;405;1;;2;1;;1;2;1;1;;1;1;1;3;2;2;2;2;2;2;0;1;2;2;2;0;2;0;3;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;9;1;8;17100;09;09;09;;09;09;1900.0;03;03;03;;03;04;2;4;6;0;0;0;00000
380041;1;1;2014;4;43;N;36;116;2;;2;1;;9;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;3;;1;;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;0;2;7000;04;04;04;;05;04;3500.0;06;06;06;;06;06;2;0;1;0;0;0;00000
380042;1;1;2014;4;40;S;23;183;1;;7;1;;3;1;1;1;;1;1;1;1;2;1;2;7;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;14000;08;08;08;08;;08;4666.6666666667;07;07;09;07;;08;3;0;97;0;0;0;00000
380043;1;1;2014;4;40;S;23;98;1;;6;1;;1;1;1;1;;1;1;1;1;2;2;2;6;5;2;0;1;2;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;1;2;2;2;2;5;1;4;20000;09;09;10;09;;09;4000.0;06;07;08;06;;08;96;0;96;0;0;0;00000
380044;1;1;2014;4;44;N;93;81;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;2;2;2;0;2;0;6;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;7000;04;04;03;;05;04;7000.0;09;09;08;;09;09;1;0;98;0;0;0;00000
380047;1;1;2014;4;40;N;22;102;1;;3;2;;4;2;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;1;;2;;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;750;01;01;01;;01;01;750.0;01;01;01;;01;01;1;0;98;0;0;0;00000
380049;1;1;2014;4;43;S;4;623;2;;3;2;;4;1;1;1;;1;1;1;3;2;2;2;3;3;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;14900;08;08;08;08;;08;3725.0;06;06;06;06;;06;1;3;4;0;0;0;10100
380052;1;1;2014;4;44;N;17;405;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;6;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;2;2;10500;06;07;04;;07;05;2625.0;04;04;03;;05;03;2;0;1;0;0;0;10000
380053;1;1;2014;4;40;S;23;210;1;;4;2;;2;2;1;1;;1;1;1;1;2;1;2;4;4;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;6;0;6;19600;09;09;10;09;;09;3266.6666666667;05;06;07;05;;07;2;3;4;5;6;0;00000
380054;1;1;2014;4;44;N;17;318;1;;6;1;;4;1;1;1;;1;1;1;1;2;2;2;6;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;0;2;17000;09;09;07;;09;08;8500.0;09;10;08;;10;09;2;0;3;0;0;0;00000
380055;1;1;2014;4;42;S;10;539;1;;4;2;;1;2;1;1;;1;1;1;1;1;2;2;4;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;0;5;8500;05;05;05;05;;05;1700.0;02;03;03;02;;02;2;0;1;0;0;0;00000
380056;1;1;2014;4;44;N;20;89;1;;1;1;;4;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;13000;07;08;05;;08;04;13000.0;10;10;10;;10;09;1;0;98;0;0;0;00000
380058;1;1;2014;4;44;N;91;71;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;18000;09;09;07;;09;08;9000.0;10;10;09;;10;09;1;2;98;0;0;0;00000
380059;1;1;2014;4;43;S;34;514;2;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;1;2;8900;05;06;05;05;;06;2966.6666666667;05;05;04;05;;05;2;0;1;0;0;0;00000
380060;2;1;2014;4;43;S;4;1051;1;;2;2;;4;1;2;1;;1;2;2;2;2;2;2;2;2;2;0;1;2;2;2;0;2;0;3;;2;;1;2;2;2;2;2;2;1;2;1;2;2;2;2;2;1;1;2;2;2;2;2;2;5;2;3;520;01;01;01;01;;01;104.0;01;01;01;01;;01;2;0;98;0;0;0;00000
