CODUSU;NRO_HOGAR;REALIZADA;ANO4;TRIMESTRE;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;IDIMPH
125175;1;1;2006;4;43;S;2;321;1;;5;1;;2;1;1;1;;1;1;1;1;2;2;2;5;1;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;;1;680.0;02;03;03;02;;02;680.0;07;08;07;07;;06;1;0;98;0;0;0;00000
126214;1;1;2006;4;43;S;2;382;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;2;1550.0;06;07;06;06;;06;775.0;08;08;08;07;;07;2;1;97;0;0;0;00000
126589;1;1;2006;4;43;S;2;335;1;;3;1;;3;1;1;1;;1;1;1;1;2;1;2;3;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;2;2;2;2;4;1.0;3;4000.0;10;10;10;10;;09;1000.0;09;09;09;08;;08;2;0;97;0;0;0;00000
126804;1;1;2006;4;43;S;2;360;2;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;;2;1330.0;05;06;06;05;;05;665.0;07;07;07;07;;06;1;2;98;0;0;0;00000
127347;1;1;2006;4;43;S;2;581;1;;3;1;;1;1;1;2;;1;1;1;1;1;2;2;3;3;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;;5;1000.0;04;04;04;04;;04;200.0;02;02;02;02;;02;2;0;96;0;0;0;10000
127783;1;1;2006;4;43;S;2;444;1;;6;1;;3;1;1;1;;1;1;1;1;2;2;2;6;3;1;1;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;4;;4;8950.0;10;10;10;10;;10;2237.5;10;10;10;10;;10;2;0;1;96;0;0;00000
128141;1;1;2006;4;43;S;2;569;1;;3;1;;3;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;4;2.0;2;5000.0;10;10;10;10;;10;1250.0;09;09;09;09;;09;2;0;98;0;0;0;00000
128581;1;1;2006;4;43;S;2;391;1;;3;1;;1;1;1;1;;1;1;1;3;2;2;2;3;2;2;0;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;1;1;2;2;2;2;4;2.0;2;1950.0;07;07;07;07;;07;487.5;06;06;05;05;;04;2;0;96;0;0;0;00000
128805;1;1;2006;4;43;S;2;261;2;;1;2;;4;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;6;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;3;1.0;2;710.0;03;03;03;03;;02;236.67;03;03;02;02;;02;2;0;98;0;0;0;00000
128806;1;1;2006;4;43;S;2;405;1;;7;1;;3;1;1;1;;1;1;1;1;2;2;2;7;4;2;0;1;1;1;2;0;1;1;1;;1;;1;1;1;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;5;2.0;3;1010.0;04;05;04;04;;04;202.0;02;02;02;02;;02;2;0;98;0;0;0;00000
128933;1;1;2006;4;43;S;2;356;1;;3;1;;4;1;1;1;;1;2;1;3;2;2;2;3;1;2;0;1;1;2;2;0;2;0;6;;2;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;;1;1000.0;04;04;04;04;;04;1000.0;09;09;09;08;;08;1;0;98;0;0;0;00000
129007;1;1;2006;4;43;S;2;911;1;;3;1;;4;1;1;2;;1;1;2;2;2;2;2;3;1;2;0;2;2;2;0;0;0;0;1;;2;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;;1;590.0;02;02;02;02;;02;590.0;06;07;06;06;;05;1;0;98;0;0;0;00000
129207;1;1;2006;4;43;S;2;701;2;;5;1;;1;1;1;1;;1;1;1;1;2;2;2;5;2;2;0;1;2;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2.0;2;2580.0;08;09;09;08;;08;645.0;07;07;07;07;;06;2;0;98;0;0;0;00000
