CODUSU;NRO_HOGAR;REALIZADA;ANO4;TRIMESTRE;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;IDIMPH
306458;1;1;2011;3;43;S;2;500;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;3000;04;04;04;03;;03;1500.0;05;05;05;05;;04;1;2;98;0;0;0;00000
301358;1;1;2011;3;43;S;2;588;1;;4;1;;9;1;1;1;;1;1;1;1;2;2;2;4;1;2;0;1;2;1;2;0;2;0;3;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;5000;06;06;06;06;;05;5000.0;10;10;10;10;;09;1;0;98;0;0;0;00000
304669;2;1;2011;3;43;S;2;345;2;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;1;2;2;0;2;0;3;;1;;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;3;0;3;3000;04;04;04;03;;03;1000.0;03;04;03;03;;02;1;2;3;0;0;0;00000
306660;1;1;2011;3;43;S;2;572;2;;1;1;;9;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;3200;04;04;04;04;;03;3200.0;09;09;09;08;;08;96;0;97;0;0;0;00010
302634;1;1;2011;3;43;S;2;569;2;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;1;1;1;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;6000;07;07;07;07;;06;6000.0;10;10;10;10;;10;1;0;98;0;0;0;00010
302366;1;1;2011;3;43;S;2;553;2;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;2;1;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;9000;09;09;09;09;;08;9000.0;10;10;10;10;;10;1;0;98;0;0;0;00000
326019;1;1;2011;3;43;S;2;275;2;;3;1;;9;1;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;5;1;4;6200;07;08;07;07;;07;1240.0;04;05;04;04;;03;1;2;3;4;5;0;10000
326464;1;1;2011;3;43;S;2;362;2;;4;1;;9;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;3300;04;04;04;04;;04;825.0;02;03;02;02;;02;1;0;98;0;0;0;10000
328109;1;1;2011;3;43;S;2;389;1;;1;1;;1;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;2900;03;04;04;03;;03;2900.0;08;08;08;08;;07;1;0;98;0;0;0;10000
329833;1;1;2011;3;43;S;2;342;2;;3;1;;9;1;1;1;;1;1;1;1;2;2;2;3;2;1;1;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;3250;04;04;04;04;;04;1625.0;05;06;05;05;;04;1;0;98;0;0;0;11000
328310;1;1;2011;3;43;S;2;424;2;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;1660;02;02;02;02;;02;830.0;02;03;02;02;;02;1;2;98;0;0;0;00010
330805;2;1;2011;3;43;S;2;291;2;;2;1;;9;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;0;2;2600;03;03;03;03;;03;1300.0;04;05;04;04;;04;1;2;98;0;0;0;10000
331333;1;1;2011;3;43;S;2;624;4;;1;1;;1;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;2;2;2;0;0;0;0;3;;1;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;2000;02;02;02;02;;02;2000.0;06;07;06;06;;05;1;0;98;0;0;0;00000
335500;1;1;2011;3;43;S;2;572;2;;1;1;;2;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;0;2;1800;02;02;02;02;;02;900.0;03;03;03;03;;02;1;2;98;0;0;0;00000
335046;1;1;2011;3;43;S;2;734;2;;1;1;;2;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;3;;1;;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;0;2;1000;01;01;01;01;;01;500.0;01;02;01;01;;01;1;2;98;0;0;0;00010
304949;1;1;2011;3;43;S;2;488;2;;1;1;;9;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;5;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;2650;03;03;03;03;;03;1325.0;04;05;04;04;;04;1;0;98;0;0;0;00000
305082;1;1;2011;3;43;S;2;788;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;8400;08;09;09;08;;08;4200.0;09;09;09;09;;09;1;2;96;0;0;0;00010
301740;1;1;2011;3;43;S;2;530;2;;1;1;;9;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;3;;1;;1;2;2;2;2;2;2;2;2;1;2;2;2;1;1;2;2;2;2;2;2;2;2;1;0;1;2300;03;03;03;02;;02;2300.0;07;08;07;07;;06;1;0;98;0;0;0;00000
306153;1;1;2011;3;43;S;2;548;1;;5;1;;3;1;1;1;;1;1;1;1;2;2;2;5;4;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;11000;09;10;10;09;;09;2750.0;08;08;08;08;;07;1;2;3;4;0;0;00000
302296;1;1;2011;3;43;S;2;788;1;;5;1;;4;1;1;1;;1;1;1;1;2;2;2;5;1;2;0;1;1;1;2;0;2;0;3;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;5300;06;07;07;06;;06;2650.0;08;08;08;08;;07;1;0;98;0;0;0;00000
