"CODUSU";"ANO4";"TRIMESTRE";"NRO_HOGAR";"REALIZADA";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4"
"TQRMNOUSPHKOKPCDEFKID00858362";2024;1;1;1;43;"S";4;873;1;"";2;2;"";4;2;1;1;"";1;2;2;3;1;2;1;2;2;2;0;1;1;2;2;0;2;0;2;"";2;"";1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;1;2;1;2;2;2;2;2;1;1;0;"12";"12";"12";"12";"";"12";0;"12";"12";"12";"12";"";"12";0;1;0;98;0;0;0
"TQRMNORSPHLMKUCDEOHCH00856198";2024;1;1;1;44;"N";91;181;2;"";3;1;"";9;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;800000;"8";"8";"7";"";"8";"8";800000;"10";"10";"10";"";"10";"10";186;1;0;98;0;0;0
"TQRMNOPYSHMOLMCDEGPDJ00800440";2024;1;1;1;40;"N";19;171;1;"";3;1;"";4;1;1;1;"";1;1;1;1;1;2;2;3;2;2;0;1;2;1;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;3;0;3;530000;"6";"6";"7";"";"6";"6";176666,67;"5";"5";"6";"";"5";"6";171;2;0;98;0;0;0
"TQRMNOSXYHMOKRCDEFMDB00798892";2024;1;1;1;43;"N";6;173;1;"";3;1;"";1;2;1;1;"";1;1;1;3;1;2;2;4;4;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;1;1;2;2;2;2;6;1;5;0;"12";"12";"12";"";"12";"12";0;"12";"12";"12";"";"12";"12";0;2;0;1;3;4;0
"TQRMNOTRVHJLKTCDEIIAD00794414";2024;1;1;1;1;"S";32;1325;2;"";1;1;"";2;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;2;2;2;0;0;0;0;3;"";4;"ELECTRICIDAD";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;930000;"8";"";"8";"8";"";"7";930000;"10";"";"10";"10";"";"10";1455;1;0;98;0;0;0
"TQRMNOQVQHJLLUCDEIIAD00854760";2024;1;1;1;1;"S";32;2480;2;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;1;2;2;2;2;1;1;2;2;1;1;2;2;2;1;0;1;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;1;0;98;0;0;0
"TQRMNOTPRHLLLNCDEIIAD00854774";2024;1;1;1;1;"S";32;2186;2;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;1;0;98;0;0;0
"TQRMNORXPHKOOPCDEIIAD00858363";2024;1;1;1;1;"S";32;2508;1;"";4;1;"";2;1;1;1;"";1;1;1;1;2;2;2;4;3;1;1;1;1;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;4;1;3;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;2;0;1;3;0;0
"TQRMNORSPHMMOPCDEIIAD00801855";2024;1;1;1;1;"S";32;1656;2;"";3;1;"";2;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;1;"";1;"";1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;666000;"7";"";"7";"7";"";"5";333000;"8";"";"8";"8";"";"5";3164;2;0;98;0;0;0
"TQRMNOSSPHMMNLCDEIJAH00802645";2024;1;1;1;1;"S";33;1006;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;4;0;4;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;1;0;98;0;0;0
"TQRMNOPURHKMQRCDEIJAH00858364";2024;1;1;1;1;"S";33;2630;1;"";4;1;"";5;1;1;2;"";1;1;1;1;2;2;2;4;1;1;1;1;2;2;2;0;2;0;1;"";1;"";1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;262000;"3";"";"2";"2";"";"3";131000;"4";"";"3";"3";"";"4";3841;1;0;98;0;0;0
"TQRMNOPXRHMOLPCDEGOIH00800303";2024;1;1;1;40;"N";18;164;1;"";4;1;"";1;1;1;1;"";1;1;1;1;2;2;2;5;4;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;6;0;6;780000;"8";"8";"9";"";"8";"10";130000;"4";"4";"5";"";"4";"5";169;1;0;98;0;0;0
"TQRMNORTTHMLLQCDEGOIH00858365";2024;1;1;1;40;"N";18;390;1;"";2;1;"";3;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;3;0;3;1225000;"9";"10";"10";"";"10";"10";408333,33;"9";"9";"10";"";"9";"10";401;1;0;98;0;0;0
