CODUSU;NRO_HOGAR;REALIZADA;ANO4;TRIMESTRE;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;IDIMPH
125051;1;1;2003;4;43;S;2;363;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;1;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;1.0;4;800.0;06;06;06;06;;05;160.0;04;04;03;03;;03;2;0;3;0;0;0;00000
125160;1;1;2003;4;43;S;2;330;2;;3;1;;4;1;1;1;;1;1;1;1;2;1;2;3;1;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1.0;2;1700.0;09;09;09;09;;09;566.67;09;09;09;08;;08;2;0;98;0;0;0;10000
125181;1;1;2003;4;43;S;2;576;1;;2;1;;3;1;1;1;;1;1;1;2;2;2;2;2;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;3;;3;1200.0;08;08;08;08;;07;400.0;07;08;07;07;;07;2;0;1;3;0;0;00000
126484;1;1;2003;4;43;S;2;890;1;;4;1;;5;1;1;1;;1;1;1;2;1;2;2;4;2;2;0;1;2;2;2;0;2;0;6;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;5;1.0;4;1800.0;09;09;09;09;;09;360.0;07;08;07;07;;06;1;2;98;0;0;0;00000
126610;1;1;2003;4;43;S;2;427;1;;6;1;;2;1;1;1;;1;1;1;1;2;2;2;6;1;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;;1;1312.0;08;08;08;08;;08;1312.0;10;10;10;10;;10;96;0;1;0;0;0;00000
126878;1;1;2003;4;43;S;2;733;1;;1;2;;4;2;1;1;;1;1;2;3;1;2;1;1;1;2;0;1;2;2;2;0;2;0;2;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;;2;300.0;02;02;02;02;;02;150.0;03;04;03;03;;03;2;0;1;0;0;0;00000
127039;1;1;2003;4;43;S;2;252;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;1;2;0;2;0;3;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;1;;1;220.0;01;02;01;01;;01;220.0;05;05;05;05;;04;1;0;98;0;0;0;00010
127154;2;1;2003;4;43;S;2;340;1;;4;1;;4;1;1;1;;1;1;1;1;2;1;2;4;2;2;0;1;1;1;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;4;1.0;3;400.0;03;03;03;03;;03;100.0;02;02;02;02;;02;2;0;3;0;0;0;00000
127200;1;1;2003;4;43;S;2;539;1;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;2;3300.0;10;10;10;10;;10;1650.0;10;10;10;10;;10;96;0;98;0;0;0;00000
127517;1;1;2003;4;43;S;2;259;2;;3;1;;5;1;1;1;;1;1;1;1;2;1;2;3;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1.0;1;700.0;05;06;05;05;;05;350.0;07;07;07;07;;06;1;0;98;0;0;0;00000
128115;1;1;2003;4;43;S;2;533;1;;4;2;;4;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;1;2;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;3;;3;620.0;05;05;05;05;;04;206.67;05;05;05;04;;04;2;3;98;0;0;0;00000
128138;1;1;2003;4;43;S;2;593;1;;3;3;;3;1;1;2;;1;1;1;2;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;3;;3;1600.0;09;09;09;09;;09;533.33;08;09;09;08;;08;1;2;3;0;0;0;00000
128180;1;1;2003;4;43;S;2;230;2;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;1;2;2;0;2;0;3;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;;2;600.0;04;05;05;04;;04;300.0;06;07;06;06;;05;1;0;98;0;0;0;00000
129090;1;1;2003;4;43;S;2;340;2;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;2;268.0;02;02;02;02;;01;134.0;03;03;03;03;;02;1;2;98;0;0;0;00000
129213;1;1;2003;4;43;S;2;242;1;;3;1;;2;1;1;1;;1;1;1;2;2;1;2;3;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;1;2;2;2;4;;4;600.0;04;05;05;04;;04;150.0;03;04;03;03;;02;1;0;3;0;0;0;00000
129330;1;1;2003;4;43;S;2;288;1;;3;1;;1;1;1;1;;1;1;1;1;1;2;2;3;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;;1;279.0;02;02;02;02;;02;279.0;06;07;06;06;;05;1;0;98;0;0;0;00010
129330;2;1;2003;4;43;S;2;288;1;;3;1;;1;1;1;1;;1;1;1;1;1;2;2;1;1;2;0;1;1;2;2;0;2;0;1;;1;;2;2;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;1;;1;213.0;01;01;01;01;;01;213.0;05;05;05;04;;04;1;0;98;0;0;0;00000
129753;1;1;2003;4;43;S;2;457;2;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;;1;550.0;04;05;04;04;;03;550.0;08;09;09;08;;08;97;0;1;0;0;0;00000
130369;1;1;2003;4;43;S;2;278;1;;5;1;;1;1;1;1;;1;1;1;1;2;2;2;5;3;1;1;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;5;;5;1200.0;08;08;08;08;;07;240.0;05;06;05;05;;04;2;3;4;0;0;0;00010
130430;1;1;2003;4;43;S;2;507;1;;2;1;;4;1;1;1;;1;1;1;2;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;5;1.0;4;700.0;05;06;05;05;;05;140.0;03;04;03;03;;02;2;0;98;0;0;0;00000
130637;1;1;2003;4;43;S;2;299;1;;3;1;;3;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;2;1000.0;07;07;07;07;;06;500.0;08;09;08;08;;08;1;2;98;0;0;0;00000
130858;1;1;2003;4;43;S;2;329;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;3;;3;300.0;02;02;02;02;;02;100.0;02;02;02;02;;02;2;0;1;0;0;0;10000
