CODUSU;NRO_HOGAR;REALIZADA;ANO4;TRIMESTRE;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;IDIMPH
125133;1;1;2006;3;43;S;2;355;1;;4;1;;5;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;1;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;1.0;4;4200.0;10;10;10;10;;10;840.0;08;08;08;08;;08;1;5;2;0;0;0;10000
125175;1;1;2006;3;43;S;2;286;1;;5;1;;2;1;1;1;;1;1;1;1;2;2;2;5;1;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;;1;400.0;01;01;01;01;;01;400.0;04;05;04;04;;03;1;0;97;0;0;0;00000
126214;1;1;2006;3;43;S;2;358;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;2;1550.0;06;06;06;06;;06;775.0;08;08;08;07;;07;1;2;2;0;0;0;00010
127031;1;1;2006;3;43;S;2;576;2;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;;2;1000.0;04;04;04;04;;04;500.0;05;06;05;05;;05;1;0;2;0;0;0;00000
128066;1;1;2006;3;43;S;2;289;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;1;;2;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;;1;1000.0;04;04;04;04;;04;1000.0;08;09;09;08;;08;1;0;98;0;0;0;00000
128163;1;1;2006;3;43;S;2;1130;1;;2;2;;4;2;2;1;;1;1;2;3;1;1;1;2;2;2;0;1;2;2;2;0;2;0;2;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;5;;5;650.0;02;03;02;02;;02;130.0;01;02;01;01;;01;1;2;3;4;0;0;00000
128165;1;1;2006;3;43;S;2;545;1;;3;1;;4;1;1;2;;1;1;1;2;2;2;2;3;2;2;0;1;2;1;2;0;2;0;8;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;4;;4;3300.0;09;09;09;09;;09;825.0;08;08;08;08;;08;2;0;3;4;0;0;00000
128627;1;1;2006;3;43;S;2;268;1;;5;1;;4;1;1;1;;1;1;1;1;2;2;2;5;1;2;0;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;3.0;2;3800.0;09;10;10;09;;09;760.0;07;08;07;07;;07;2;0;96;0;0;0;00000
128950;1;1;2006;3;43;S;2;360;1;;3;1;;5;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;;1;1650.0;06;07;06;06;;06;1650.0;10;10;10;10;;10;1;0;98;0;0;0;00000
129095;1;1;2006;3;43;S;2;522;2;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;;1;;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;;2;1000.0;04;04;04;04;;04;500.0;05;06;05;05;;05;1;2;98;0;0;0;00000
129207;1;1;2006;3;43;S;2;576;2;;5;1;;1;1;1;1;;1;1;1;1;2;2;2;5;2;2;0;1;2;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2.0;2;1840.0;07;07;07;07;;07;460.0;05;05;05;05;;04;2;1;98;0;0;0;10000
129558;1;1;2006;3;43;S;2;355;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;3;1.0;2;2420.0;08;08;08;08;;08;806.67;08;08;08;08;;07;1;2;98;0;0;0;00010
