CODUSU;NRO_HOGAR;REALIZADA;ANO4;TRIMESTRE;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;IDIMPH
125569;1;1;2004;3;43;S;2;589;1.0;;3.0;1.0;;3.0;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;1.0;2.0;2.0;3;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;3;;3;950.0;06;06;06;06;;05;316.67;06;06;06;05;;05;2;0;1;0;0;0;00000
125616;1;1;2004;3;43;S;2;342;1.0;;2.0;2.0;;4.0;2.0;2.0;1.0;;1.0;1.0;2.0;3.0;2.0;2.0;2.0;2;1;1;1;1;2;2;2;0;2;0;2;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;;1;200.0;01;01;01;01;;01;200.0;04;04;03;03;;03;1;0;97;0;0;0;00000
125710;1;1;2004;3;43;S;2;208;1.0;;3.0;1.0;;4.0;1.0;1.0;1.0;;1.0;1.0;1.0;2.0;1.0;2.0;2.0;3;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;4;1.0;3;1500.0;08;08;08;08;;07;375.0;06;07;06;06;;06;2;0;1;0;0;0;00000
126080;1;1;2004;3;43;S;2;413;1.0;;4.0;1.0;;4.0;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;2.0;2.0;2.0;4;1;2;0;2;1;1;2;0;2;0;6;;1;;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;;1;300.0;02;02;02;02;;01;300.0;05;06;05;05;;05;1;0;98;0;0;0;00000
126155;1;1;2004;3;43;S;2;323;2.0;;3.0;1.0;;2.0;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;2.0;2.0;2.0;3;2;2;0;1;1;2;2;0;2;0;1;;1;;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;3;;3;500.0;03;03;03;03;;03;166.67;03;04;03;03;;02;1;2;3;0;0;0;00000
126378;1;1;2004;3;43;S;2;273;1.0;;2.0;1.0;;4.0;1.0;1.0;1.0;;1.0;2.0;1.0;2.0;2.0;2.0;2.0;2;1;2;0;1;1;1;2;0;1;1;1;;2;;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;;1;1150.0;07;07;07;07;;06;1150.0;10;10;10;10;;10;1;0;98;0;0;0;00000
126829;1;1;2004;3;43;S;2;300;1.0;;5.0;1.0;;4.0;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;2.0;2.0;2.0;5;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;3;;3;460.0;03;03;03;03;;02;153.33;03;03;03;03;;02;2;0;98;0;0;0;00000
126878;1;1;2004;3;43;S;2;701;1.0;;1.0;2.0;;4.0;2.0;1.0;1.0;;1.0;1.0;2.0;3.0;1.0;2.0;1.0;1;1;2;0;1;2;2;2;0;2;0;2;;2;;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;2;1;2;2;2;2;3;1.0;2;90.0;01;01;01;01;;01;30.0;01;01;01;01;;01;2;0;1;0;0;0;10000
127062;1;1;2004;3;43;S;2;630;1.0;;3.0;1.0;;4.0;1.0;1.0;1.0;;1.0;1.0;1.0;2.0;1.0;2.0;2.0;3;3;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;6;;6;1100.0;07;07;07;06;;06;183.33;03;04;03;03;;03;1;0;2;5;4;0;00000
127600;1;1;2004;3;43;S;2;319;1.0;;3.0;1.0;;4.0;1.0;1.0;1.0;;1.0;1.0;1.0;2.0;2.0;2.0;2.0;3;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;3;1.0;2;510.0;03;04;03;03;;03;170.0;03;04;03;03;;02;2;0;1;0;0;0;11000
128062;1;1;2004;3;43;S;2;424;1.0;;3.0;1.0;;2.0;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;1.0;2.0;2.0;3;1;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;;2;1700.0;08;09;09;08;;08;850.0;09;10;09;09;;09;2;0;1;0;0;0;00000
128115;1;1;2004;3;43;S;2;601;1.0;;4.0;2.0;;4.0;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;2.0;2.0;2.0;4;2;2;0;1;1;2;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;3;;3;550.0;03;04;04;03;;03;183.33;03;04;03;03;;02;2;0;96;0;0;0;00000
128138;1;1;2004;3;43;S;2;712;1.0;;3.0;3.0;;3.0;1.0;1.0;2.0;;1.0;1.0;1.0;2.0;2.0;2.0;2.0;3;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;3;;3;720.0;05;05;05;04;;04;240.0;04;05;04;04;;03;2;0;1;3;0;0;10000
