CODUSU;NRO_HOGAR;REALIZADA;ANO4;TRIMESTRE;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;IDIMPH
125044;1;1;2009;3;43;S;2;339;2;;4;1;;1;1;1;1;;1;1;1;1;2;1;2;4;1;2;0;1;2;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;2850.0;06;06;06;06;;05;2850.0;10;10;10;09;;09;1;0;98;0;0;0;00010
125798;1;1;2009;3;43;S;2;379;2;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;1;1;1;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1802.0;04;04;04;04;;03;1802.0;08;09;08;08;;07;1;0;98;0;0;0;10000
125880;2;1;2009;3;43;S;2;694;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;1;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;4000.0;07;08;07;07;;07;2000.0;09;09;09;08;;08;2;1;98;0;0;0;00000
125922;1;1;2009;3;43;S;2;341;2;;3;1;;9;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;4400.0;08;08;08;08;;08;4400.0;10;10;10;10;;10;1;0;98;0;0;0;11000
126127;1;1;2009;3;43;S;2;473;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;6;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;800.0;01;02;01;01;;01;200.0;01;01;01;01;;01;2;1;98;0;0;0;00000
126828;1;1;2009;3;43;S;2;388;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;4;;1;;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;670.0;01;01;01;01;;01;670.0;04;04;04;04;;03;1;0;98;0;0;0;00000
128670;1;1;2009;3;43;S;2;487;1;;2;1;;4;1;1;1;;1;1;1;2;2;2;2;2;1;2;0;1;1;2;2;0;2;0;1;;2;;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1902.0;04;04;04;04;;03;951.0;05;06;05;05;;04;1;0;98;0;0;0;00000
128923;1;1;2009;3;43;S;2;506;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;3;0;3;6200.0;09;09;09;09;;09;2066.67;09;09;09;09;;08;2;3;97;0;0;0;00000
129357;1;1;2009;3;43;S;2;372;1;;4;1;;3;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;3;2;4000.0;07;08;07;07;;07;800.0;05;05;04;04;;03;1;0;98;0;0;0;10000
129478;1;1;2009;3;43;S;2;676;1;;2;3;;4;2;2;1;;1;2;2;3;2;1;2;2;1;2;0;1;1;2;2;0;2;0;1;;2;;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;2;7;950.0;02;02;02;02;;01;105.56;01;01;01;01;;01;1;0;98;0;0;0;00000
