CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4
"TQRMNOQRQHKMLRCDEGJBF00653800";2020;1;1;1;43;;13;997;1;;3;2;;2;2;1;1;;1;1;1;2;2;2;2;3;2;2;0;1;2;1;2;0;2;0;1;;1;;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;36000;"04";"04";"04";;;"04";18000;"05";"06";"05";;;"05";1075;1;2;98;0;0;0
"TQRMNORTPHJNMLCDEGJBF00624354";2020;1;1;1;43;;13;543;1;;4;2;;2;1;1;1;;1;1;2;2;2;2;2;4;3;2;0;1;2;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;8;2;6;26800;"03";"03";"03";;;"03";3350;"01";"01";"01";;;"01";563;2;0;5;0;0;0
"TQRMNORPSHMMMLCDEGJBF00630466";2020;1;1;1;43;;13;682;1;;4;1;;2;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;71000;"08";"08";"08";;;"08";35500;"08";"09";"09";;;"09";724;1;2;96;0;0;0
"TQRMNOQTRHMLMNCDEGJBF00630467";2020;1;1;1;43;;13;740;1;;6;1;;3;1;1;1;;1;1;1;2;2;1;2;6;3;2;0;1;1;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;45000;"05";"06";"06";;;"06";15000;"04";"05";"04";;;"04";777;1;2;98;0;0;0
"TQRMNOSVQHKMLNCDEGKDB00653801";2020;1;1;1;43;;14;109;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;2;2;2;0;0;0;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;0;"12";"12";"12";;;"12";0;"12";"12";"12";;;"12";0;2;0;1;3;0;0
"TQRMNOPXRHMMKNCDEGKDB00630643";2020;1;1;1;43;;14;108;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;2;1;1;1;2;2;2;0;2;0;1;;2;;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;0;2;37500;"04";"05";"05";;;"05";18750;"05";"06";"05";;;"06";146;1;0;98;0;0;0
"TQRMNORXTHJNKPCDEGKDB00630703";2020;1;1;1;43;;14;110;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;2;;2;;1;1;2;2;2;2;2;1;2;1;2;2;2;2;1;2;2;2;1;2;2;2;2;4;2;2;11500;"01";"01";"01";;;"01";2875;"01";"01";"01";;;"01";121;1;0;2;0;0;0
"TQRMNOTSQHLLKRCDEGKDB00648489";2020;1;1;1;43;;14;82;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;24500;"02";"02";"02";;;"03";24500;"07";"07";"07";;;"08";96;96;0;97;0;0;0
"TQRMNOPVUHKNKNCDEGKDB00653802";2020;1;1;1;43;;14;100;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;2;2;2;0;0;0;0;1;;2;;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;5;0;5;97200;"09";"09";"09";;;"10";19440;"06";"06";"06";;;"07";128;1;2;3;4;0;0
"TQRMNOPRQHLMLLCDEGKDB00648483";2020;1;1;1;43;;14;117;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;1;1;2;0;2;0;1;;2;;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;0;"12";"12";"12";;;"12";0;"12";"12";"12";;;"12";0;2;0;98;0;0;0
