CODUSU;NRO_HOGAR;REALIZADA;ANO4;TRIMESTRE;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;IDIMPH
301476;1;1;2010;3;44;N;17;123;1;;1;1;;3;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;6150.0;08;09;07;;09;08;6150.0;10;10;10;;10;10;1;0;98;0;0;0;00000
303295;1;1;2010;3;40;S;29;300;2;;1;1;;9;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;2;;1;;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;1;0;1;500.0;01;01;01;01;;01;500.0;02;02;03;02;;03;1;0;98;0;0;0;00000
302425;1;1;2010;3;44;N;17;123;1;;4;3;;1;1;1;1;;1;1;1;1;2;2;2;4;4;2;0;1;2;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;16700.0;10;10;10;;10;10;4175.0;10;10;09;;10;10;96;0;98;0;0;0;11000
304926;1;1;2010;3;40;S;23;194;1;;5;1;;3;1;1;1;;1;1;1;1;2;2;2;5;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;4400.0;07;07;08;07;;08;2200.0;08;09;09;08;;09;1;0;2;0;0;0;00000
307588;1;1;2010;3;43;N;3;178;2;;4;1;;9;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1200.0;02;02;02;;02;02;1200.0;05;06;05;;06;05;1;0;96;0;0;0;00010
302755;1;1;2010;3;44;N;17;123;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;2500.0;04;05;03;;05;04;833.33;04;04;03;;05;04;2;0;98;0;0;0;11000
300937;1;1;2010;3;44;N;17;117;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;8500.0;09;10;08;;10;09;2833.33;09;09;08;;09;09;2;0;98;0;0;0;10000
301257;1;1;2010;3;43;N;36;224;1;;5;1;;1;1;1;1;;1;1;1;1;2;2;2;5;2;1;1;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;0;3;9000.0;10;10;10;;10;10;3000.0;09;09;09;;10;09;97;0;3;0;0;0;00000
301487;1;1;2010;3;41;N;7;268;1;;7;1;;4;1;1;1;;1;1;1;1;2;2;2;7;1;2;0;1;1;1;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;5500.0;08;08;09;;08;09;2750.0;09;09;10;;09;10;96;0;98;0;0;0;10000
300886;1;1;2010;3;40;S;23;176;1;;5;1;;3;1;1;1;;1;1;1;1;2;2;2;5;4;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;6;1;5;9300.0;10;10;10;10;;10;1550.0;07;07;08;07;;08;2;0;3;4;5;0;00000
