CODUSU;NRO_HOGAR;REALIZADA;ANO4ZADA;TRIMESTRE;REGIONRE;MAS_500;AGLOMERADO;PONDERADO;IV1ERA;IV1_ESP;IV2ESP;IV3;IV3_ESP;IV4ESP;IV5;IV6;IV7;IV7_ESP;IV8ESP;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1_3;II2;II3;II3_1;II4_1;II4_2;II4_3;II53;II5_1;II61;II6_1;II71;II7_ESP;II8ESP;II8_ESP;II9ESP;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITFAYEQ10;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCFFR;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;IDIMPH
390059;1;1;2014;1;43;S;2;583;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;8600;06;06;06;06;;06;4300.0;07;08;07;07;;07;2;0;98;0;0;0;00010
393099;1;1;2014;1;43;S;2;453;1;;3;1;;4;1;1;1;;1;1;1;2;2;1;2;3;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;4;0;4;12500;08;08;08;08;;08;3125.0;06;06;06;06;;06;1;2;98;0;0;0;10100
393019;1;1;2014;1;43;S;2;498;1;;1;1;;4;1;1;1;;1;1;2;3;2;1;2;1;1;2;0;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;0;2;3400;02;02;02;02;;02;1700.0;03;03;03;03;;02;1;2;98;0;0;0;00000
392240;1;1;2014;1;43;S;2;433;1;;2;1;;4;1;1;1;;1;1;1;2;2;1;2;2;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;4;0;4;5000;03;03;03;03;;03;1250.0;02;02;02;02;;02;1;2;98;0;0;0;00000
392851;1;1;2014;1;43;S;2;488;1;;2;1;;1;1;1;1;;1;1;1;2;2;1;2;2;1;2;0;1;2;2;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;8800;06;06;06;06;;06;8800.0;10;10;10;10;;10;1;0;98;0;0;0;10010
390644;1;1;2014;1;43;S;2;488;1;;2;2;;1;1;1;1;;1;1;2;2;2;1;2;2;2;2;0;1;2;2;2;0;2;0;2;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;4;2;2;3150;02;02;02;02;;02;787.5;01;01;01;01;;01;1;2;98;0;0;0;00000
395265;1;1;2014;1;43;S;2;510;1;;3;1;;4;2;1;1;;1;1;1;1;1;1;2;3;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;2;3;6900;05;05;05;04;;05;1380.0;02;02;02;02;;02;1;0;98;0;0;0;00000
393936;1;1;2014;1;43;S;2;561;1;;3;2;;4;1;1;1;;1;1;1;2;1;1;2;3;3;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;0;5;6580;04;05;05;04;;04;1316.0;02;02;02;02;;02;1;2;98;0;0;0;00000
401626;1;1;2014;1;43;S;2;535;1;;3;1;;2;1;1;1;;1;1;1;2;1;1;2;3;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;8400;06;06;06;06;;05;2100.0;04;04;03;04;;04;1;0;98;0;0;0;00000
395454;1;1;2014;1;43;S;2;532;1;;4;1;;2;2;1;1;;1;1;1;1;1;1;2;4;2;1;1;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;3870;02;02;02;02;;02;1290.0;02;02;02;02;;02;1;2;98;0;0;0;00000
401073;1;1;2014;1;43;S;2;513;1;;4;1;;4;1;1;1;;1;1;1;1;2;1;2;4;3;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;5;1;4;15400;09;09;09;09;;09;3080.0;06;06;06;06;;06;1;4;2;3;0;0;00010
396865;1;1;2014;1;43;S;2;573;1;;2;2;;4;1;1;1;;1;1;1;1;2;1;2;2;1;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;5100;03;04;03;03;;04;2550.0;05;05;05;05;;05;1;2;98;0;0;0;00000
403075;1;1;2014;1;43;S;2;538;1;;3;1;;4;1;1;1;;1;1;1;1;2;1;2;3;2;2;0;1;2;2;2;0;2;0;4;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;0;5;8370;06;06;06;06;;05;1674.0;03;03;03;03;;02;3;4;98;0;0;0;00000
393861;1;1;2014;1;43;S;2;550;1;;2;1;;4;1;1;1;;1;1;1;2;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;5150;03;04;03;03;;04;2575.0;05;05;05;05;;05;1;2;98;0;0;0;00000
394702;1;1;2014;1;43;S;2;593;1;;2;1;;4;1;1;1;;1;2;1;3;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;9000;06;06;06;06;;06;3000.0;06;06;05;05;;05;2;0;1;0;0;0;00000
396416;1;1;2014;1;43;S;2;475;1;;1;1;;4;1;1;1;;1;1;1;2;2;2;2;1;1;2;0;1;1;1;2;0;2;0;3;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;4;2;2;2900;01;02;02;01;;02;725.0;01;01;01;01;;01;1;0;98;0;0;0;00000
396352;1;1;2014;1;43;S;2;595;1;;2;2;;4;2;1;1;;1;1;1;2;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;5400;03;04;04;03;;04;2700.0;05;05;05;05;;05;1;0;98;0;0;0;00000
406110;1;1;2014;1;43;S;2;665;1;;2;1;;4;1;1;1;;1;1;1;3;2;2;2;2;1;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;13000;08;08;08;08;;08;6500.0;09;09;09;09;;09;1;0;98;0;0;0;00010
397873;1;1;2014;1;43;S;2;519;1;;3;1;;5;1;1;1;;1;1;1;3;2;2;2;3;1;2;0;1;1;1;2;0;2;0;6;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;8000;05;06;06;05;;05;4000.0;07;07;07;07;;07;2;1;98;0;0;0;10000
388508;1;1;2014;1;43;S;2;552;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;4;2;0;1;2;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;0;5;9200;06;07;06;06;;06;1840.0;03;04;03;03;;03;1;0;98;0;0;0;10010
392164;1;1;2014;1;43;S;2;464;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;1;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;3;2;12000;08;08;08;07;;07;2400.0;04;05;04;04;;04;2;0;1;0;0;0;00000
389192;1;1;2014;1;43;S;2;515;1;;4;1;;3;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;2;1;2;0;2;0;8;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;10000;07;07;07;06;;06;3333.3332519531;06;07;06;06;;06;2;3;1;0;0;0;00000
392961;1;1;2014;1;43;S;2;535;1;;4;1;;2;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;3000;02;02;02;01;;02;750.0;01;01;01;01;;01;1;0;4;0;0;0;10000
391673;1;1;2014;1;43;S;2;443;1;;3;1;;4;1;2;1;;1;2;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;6;;2;;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;4;3;1;2290;01;01;01;01;;01;572.5;01;01;01;01;;01;1;0;98;0;0;0;00010
388147;1;1;2014;1;43;S;2;626;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;12000;08;08;08;07;;07;4000.0;07;07;07;07;;07;2;0;98;0;0;0;10010
391444;1;1;2014;1;43;S;2;464;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;3;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;5000;03;03;03;03;;03;1250.0;02;02;02;02;;02;1;2;98;0;0;0;10000
393243;1;1;2014;1;43;S;2;550;1;;3;1;;4;1;1;1;;1;1;1;2;2;2;2;3;1;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;6000;04;04;04;04;;04;6000.0;09;09;09;09;;09;1;0;98;0;0;0;00010
391872;1;1;2014;1;43;S;2;484;1;;2;1;;5;1;1;1;;1;1;1;2;2;2;2;2;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;2;3;11500;07;08;08;07;;07;2300.0;04;04;04;04;;04;2;0;98;0;0;0;10000
394974;1;1;2014;1;43;S;2;620;1;;3;1;;4;1;1;1;;1;1;1;3;2;1;2;3;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;2500;01;01;01;01;;01;2500.0;05;05;04;05;;04;1;0;98;0;0;0;00000
394172;1;1;2014;1;43;S;2;592;1;;3;1;;3;1;1;1;;1;1;1;2;2;1;2;3;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;1;2;14000;08;09;09;08;;08;4666.6665039063;08;08;08;08;;08;2;0;1;0;0;0;10100
395894;1;1;2014;1;43;S;2;642;1;;3;1;;4;1;1;1;;1;1;1;2;2;1;2;3;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;1;2;2;2;3;0;3;6100;04;04;04;04;;04;2033.3333740234;04;04;03;04;;03;2;0;1;3;0;0;10000
402402;1;1;2014;1;43;S;2;601;1;;5;1;;3;1;1;1;;1;1;1;2;2;1;2;5;3;1;1;1;1;1;2;0;1;1;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;5;1;4;23900;10;10;10;10;;10;4780.0;08;08;08;08;;08;2;0;1;3;4;0;10000
402627;1;1;2014;1;43;S;2;589;1;;3;1;;4;1;1;1;;1;1;1;2;2;1;2;3;1;2;0;1;2;2;2;0;2;0;6;;1;;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;2;2;1;2;2;2;2;0;2;5100;03;04;03;03;;04;2550.0;05;05;05;05;;05;1;0;2;0;0;0;00000
404979;1;1;2014;1;43;S;2;603;1;;3;1;;4;1;1;1;;1;1;1;2;2;1;2;3;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;14100;08;09;09;08;;08;3525.0;06;07;06;06;;06;2;1;3;0;0;0;10000
398061;1;1;2014;1;43;S;2;603;1;;15;1;;1;1;1;1;;1;1;1;2;2;1;2;5;3;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;4;1;3;22000;10;10;10;10;;10;5500.0;08;09;08;08;;08;2;0;3;1;0;0;10010
399972;1;1;2014;1;43;S;2;592;2;;3;1;;2;1;1;1;;1;1;1;3;2;1;2;3;2;2;0;1;1;2;2;0;2;0;2;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;1;2;4300;03;03;03;02;;03;1433.3333740234;02;03;02;02;;02;2;1;98;0;0;0;10000
400406;1;1;2014;1;43;S;2;585;1;;2;1;;2;1;1;1;;1;1;1;3;2;2;2;2;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;7500;05;05;05;05;;05;1875.0;03;04;03;03;;03;1;2;98;0;0;0;10000
402194;1;1;2014;1;43;S;2;664;1;;1;1;;3;1;1;1;;1;1;1;3;2;2;2;1;1;2;0;1;2;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;6100;04;04;04;04;;04;3050.0;06;06;06;06;;06;1;0;98;0;0;0;00000
405866;1;1;2014;1;43;S;2;546;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;4;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;3000;02;02;02;01;;02;3000.0;06;06;05;05;;05;1;0;98;0;0;0;00000
397573;1;1;2014;1;43;S;2;555;1;;2;1;;4;1;1;1;;1;1;2;3;2;2;2;2;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;0;5;5000;03;03;03;03;;03;1000.0;01;02;01;01;;01;1;0;98;0;0;0;00000
400347;1;1;2014;1;43;S;2;523;1;;2;1;;4;1;1;1;;1;1;1;3;2;2;2;2;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;6500;04;05;05;04;;04;1625.0;03;03;03;03;;02;1;2;98;0;0;0;10000
392792;1;1;2014;1;43;S;2;586;1;;3;1;;4;1;1;1;;1;1;1;1;2;1;2;3;2;1;1;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;7800;05;06;05;05;;05;1950.0;03;04;03;03;;03;3;0;1;2;0;0;00000
387472;1;1;2014;1;43;S;2;580;1;;4;1;;4;1;1;1;;1;1;1;1;2;1;2;4;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;0;2;10000;07;07;07;06;;07;5000.0;08;08;08;08;;08;1;2;98;0;0;0;00000
387623;1;1;2014;1;43;S;2;578;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;6000;04;04;04;04;;04;2000.0;03;04;03;03;;03;1;0;2;3;0;0;10000
