CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V2_02;V2_03;V21_01;V22_01;V3;V4;V5_02;V5_03;V6;V7;V8;V9;V10;V11_01;V11_02;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;V5_01;V21_02;V21_03;V22_02;V22_03;V2_01
TQRMNORPYHMKPUCDEIJAH00891905;2025;4;1;1;1;S;33;2271;1;;3;1;;1;1;1;1;;1;1;1;1;1;2;2;3;1;2;0;1;1;1;2;0;2;0;3;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;750000;2;;2;2;;2;750000;7;;7;7;;8;2749;1;0;98;0;0;0;2;2;2;2;2;1
TQRMNOQTQHMKRLCDEIJAH00889651;2025;4;1;1;1;S;33;888;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;12;;12;12;;12;0;12;;12;12;;12;0;1;2;98;0;0;0;2;1;2;1;2;2
TQRMNOSRSHMKSRCDEIJAH00892778;2025;4;1;1;1;S;33;1812;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;2;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;850000;3;;3;3;;3;850000;8;;7;7;;8;2233;1;0;97;0;0;0;2;2;2;2;2;1
TQRMNOSRTHMKSRCDEIJAH00889688;2025;4;1;1;1;S;33;1385;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;1480000;6;;5;5;;5;493333,33;5;;5;5;;5;3410;2;0;97;0;0;0;2;2;2;2;2;1
TQRMNOSRUHMKSRCDEIJAH00890265;2025;4;1;1;1;S;33;3715;1;;5;1;;1;1;1;1;;1;1;1;1;2;2;2;5;4;2;0;1;1;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;1;5;1850000;7;;6;7;;7;308333,33;3;;2;3;;3;8602;1;2;5;6;0;0;2;2;2;2;2;1
TQRMNOSRVHMKSRCDEIJAH00891455;2025;4;1;1;1;S;33;1732;1;;5;1;;4;1;1;1;;1;1;1;1;2;2;2;5;3;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;0;0;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;5;0;5;0;12;;12;12;;12;0;12;;12;12;;12;0;97;0;2;3;4;5;2;2;2;2;2;0
TQRMNOSRWHMKSRCDEIJAH00893150;2025;4;1;1;1;S;33;1818;4;;1;2;;1;1;1;2;;1;2;1;1;1;2;2;4;1;2;0;1;1;1;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1410000;5;;5;5;;5;705000;7;;7;7;;7;3856;2;0;98;0;0;0;2;2;2;2;2;1
TQRMNOUWQHMKSRCDEIJAH00895481;2025;4;1;1;1;S;33;2198;2;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;4759000;10;;10;10;;10;2379500;10;;10;10;;10;4454;2;1;98;0;0;0;2;2;2;2;2;0
TQRMNOPQTHMKTMCDEIJAH00889530;2025;4;1;1;1;S;33;3235;1;;5;1;;3;1;1;1;;1;1;1;1;2;2;2;5;2;1;1;1;1;1;2;0;2;0;1;;1;;1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;0;12;;12;12;;12;0;12;;12;12;;12;0;2;0;98;0;0;0;2;2;2;2;2;0
TQRMNOPQWHMKTMCDEIJAH00888447;2025;4;1;1;1;S;33;1991;1;;6;1;;3;1;1;1;;1;1;1;1;2;2;2;6;3;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;0;12;;12;12;;12;0;12;;12;12;;12;0;1;2;3;4;0;0;2;2;2;2;2;0
TQRMNOPQXHMKTMCDEIJAH00890692;2025;4;1;1;1;S;33;2676;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;;2;;1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;1;4;1400000;5;;5;5;;5;280000;2;;2;2;;2;5641;2;0;3;4;0;0;2;2;2;2;2;0
TQRMNORPUHMKTMCDEIJAH00896666;2025;4;1;1;1;S;33;1787;2;;3;1;;9;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;0;0;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;0;12;;12;12;;12;0;12;;12;12;;12;0;1;0;98;0;0;0;2;2;2;2;2;0
TQRMNORPVHMKTMCDEIJAH00893499;2025;4;1;1;1;S;33;1832;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;2;1;2;0;2;0;1;;1;;1;1;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;0;12;;12;12;;12;0;12;;12;12;;12;0;1;0;98;0;0;0;2;2;2;2;2;1
