CODUSU;NRO_HOGAR;REALIZADA;ANO4;TRIMESTRE;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;IDIMPH
125095;1;1;2008;4;43;S;2;667;2;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2;;2;850.0;02;02;02;02;;01;425.0;03;03;03;03;;02;2;0;1;0;0;0;00000
126127;1;1;2008;4;43;S;2;380;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;6;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2.0;2;700.0;01;01;01;01;;01;175.0;01;01;01;01;;01;1;2;98;0;0;0;00000
126487;1;1;2008;4;43;S;2;433;2;;3;1;;9;2;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;3;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;;3;2200.0;05;06;05;05;;04;733.33;05;05;05;05;;04;1;0;98;0;0;0;10010
126740;1;1;2008;4;43;S;2;329;2;;2;1;;4;1;1;1;;1;1;1;1;1;2;2;2;2;2;0;1;1;2;2;0;2;0;6;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;1;2;2;2;3;1.0;2;3500.0;08;08;08;07;;07;1166.67;07;08;07;07;;06;1;0;2;0;0;0;00000
126853;1;1;2008;4;43;S;2;552;1;;2;2;;4;1;1;1;;1;2;2;3;2;1;2;2;1;2;0;1;2;2;2;0;2;0;8;;2;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;;2;850.0;02;02;02;02;;02;425.0;03;03;03;03;;02;1;0;2;0;0;0;00000
128267;1;1;2008;4;43;S;2;310;1;;4;1;;4;1;1;1;;1;1;1;2;2;2;2;4;4;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;;6;750.0;01;02;02;01;;01;125.0;01;01;01;01;;01;1;0;98;0;0;0;00000
128287;1;1;2008;4;43;S;2;405;1;;5;1;;4;1;1;1;;1;1;1;1;2;2;2;5;2;2;0;1;2;2;2;0;1;1;8;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;;2;1573.0;04;04;04;04;;03;786.5;05;06;05;05;;04;1;2;98;0;0;0;00000
128312;1;1;2008;4;43;S;2;405;1;;4;1;;2;1;1;1;;1;1;1;1;2;1;1;4;1;2;0;1;1;1;2;0;2;0;3;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;2;3470.0;08;08;08;07;;07;1735.0;09;09;09;09;;08;1;2;98;0;0;0;00010
128457;1;1;2008;4;43;S;2;524;1;;1;2;;4;2;2;1;;1;1;2;3;2;2;2;1;1;2;0;2;2;2;0;0;0;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;;5;1680.0;04;04;04;04;;03;336.0;02;02;02;02;;01;1;4;3;0;0;0;10100
128808;1;1;2008;4;43;S;2;392;2;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;4;2.0;2;2260.0;06;06;06;05;;04;565.0;04;04;04;04;;03;1;0;97;0;0;0;10110
128990;1;1;2008;4;43;S;2;577;2;;2;1;;9;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;1;1;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;;1;3500.0;08;08;08;07;;07;3500.0;10;10;10;10;;10;1;0;96;0;0;0;00000
129155;1;1;2008;4;43;S;2;754;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;;3;2500.0;06;06;06;06;;05;833.33;06;06;06;06;;05;1;0;2;0;0;0;00000
129508;1;1;2008;4;43;S;2;507;1;;4;1;;2;1;1;1;;1;1;1;1;2;2;2;4;2;1;1;1;1;2;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;3;;3;3700.0;08;08;08;08;;08;1233.33;08;08;08;07;;07;2;0;1;0;0;0;00000
130035;1;1;2008;4;43;S;2;613;2;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;;2;5300.0;09;09;09;09;;09;2650.0;10;10;10;10;;09;1;2;98;0;0;0;00010
130058;1;1;2008;4;43;S;2;442;1;;4;1;;4;1;1;1;;1;1;1;2;2;2;2;4;3;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;;6;2500.0;06;06;06;06;;05;416.67;03;03;02;02;;02;1;2;98;0;0;0;00000
130340;1;1;2008;4;43;S;2;549;1;;2;1;;4;1;1;1;;1;1;1;3;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;3;1.0;2;4000.0;08;08;08;08;;08;1333.33;08;08;08;08;;07;2;0;1;0;0;0;00000
130413;1;1;2008;4;43;S;2;719;1;;3;1;;2;1;1;1;;1;1;1;2;1;1;2;3;3;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;;3;1200.0;03;03;03;02;;02;400.0;02;03;02;02;;02;2;0;3;0;0;0;10000
130577;1;1;2008;4;43;S;2;318;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;1;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;;4;2698.0;06;07;06;06;;05;674.5;05;05;04;04;;03;1;4;2;3;0;0;00000
130781;1;1;2008;4;43;S;2;400;1;;3;1;;4;2;1;1;;1;1;1;3;2;1;2;3;2;2;0;1;1;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;8;2.0;6;3500.0;08;08;08;07;;07;437.5;03;03;03;03;;02;2;3;4;0;0;0;00000
