CODUSU;ANO4;TRIMESTRE;IX_TOT;AGLOMERADO;IV1;IV3;IV4;IV5;IV6;IV7;IV8;IV10;IV11;II1;II2;II7;II8;II9
125095;2008;3;1;2;2;1;1;1;1;1;1;1;1;3;2;3;1;1
125766;2008;3;1;2;2;1;1;1;1;1;1;1;1;3;1;1;1;1
125798;2008;3;1;2;2;1;4;1;1;1;1;1;1;2;1;1;1;1
125830;2008;3;2;2;2;1;4;1;1;1;1;1;1;3;2;1;1;1
125880;2008;3;2;2;1;1;4;1;1;1;1;1;1;3;1;3;1;1
126280;2008;3;1;2;3;1;4;1;1;1;1;1;1;3;1;4;2;2
126747;2008;3;2;2;2;1;4;1;1;1;1;1;1;4;2;3;2;1
127209;2008;3;3;2;1;1;4;1;1;1;1;1;1;2;2;3;1;1
127693;2008;3;9;2;1;2;5;1;1;1;1;1;1;4;4;1;2;1
128009;2008;3;3;2;1;1;1;1;1;1;1;1;1;4;1;1;1;1
128267;2008;3;6;2;1;1;4;1;1;1;1;1;2;4;4;1;2;1
128287;2008;3;2;2;1;1;4;1;1;1;1;1;1;5;2;8;1;1
128312;2008;3;2;2;1;1;2;1;1;1;1;1;1;4;1;3;1;1
128808;2008;3;4;2;2;1;4;1;1;1;1;1;1;4;2;1;1;1
129003;2008;3;3;2;2;1;2;1;1;1;1;1;1;3;2;1;1;1
129367;2008;3;1;2;1;1;4;1;1;1;1;1;1;5;1;1;1;1
129625;2008;3;2;2;2;1;1;1;1;1;1;1;1;1;1;3;1;1
129835;2008;3;2;2;1;1;4;1;1;1;1;1;1;3;2;1;1;1
130035;2008;3;2;2;2;1;2;1;1;1;1;1;1;3;2;1;1;1
130094;2008;3;2;2;2;1;2;2;1;1;1;1;1;1;1;3;1;1
130132;2008;3;3;2;1;1;4;1;1;1;1;1;1;5;3;1;1;1
130340;2008;3;3;2;1;1;4;1;1;1;1;1;3;2;1;1;1;1
130764;2008;3;2;2;1;1;4;1;1;1;1;1;1;2;2;6;1;1
130770;2008;3;1;2;1;1;1;1;1;1;1;1;1;4;1;1;1;1
130801;2008;3;1;2;2;1;2;1;1;1;1;1;1;4;1;1;1;1
130801;2008;3;2;2;2;1;2;1;1;1;1;1;1;0;0;0;0;0
130804;2008;3;4;2;1;1;4;1;1;1;1;1;3;4;2;1;1;1
131666;2008;3;5;2;1;1;2;1;1;1;1;1;1;5;2;1;1;1
132681;2008;3;2;2;1;1;4;1;1;1;1;1;1;4;3;1;2;1
132681;2008;3;2;2;1;1;4;1;1;1;1;1;1;0;0;0;0;0
132938;2008;3;12;2;1;2;2;1;1;1;1;1;2;2;2;1;2;1
133132;2008;3;8;2;1;2;4;2;1;1;1;2;3;2;2;2;2;1
134329;2008;3;1;2;1;1;1;1;1;1;1;1;1;2;2;6;1;1
