CODUSU;ANO4;TRIMESTRE;IX_TOT;AGLOMERADO;IV1;IV3;IV4;IV5;IV6;IV7;IV8;IV10;IV11;II1;II2;II7;II8;II9
350762;2012;2;1;2;2;1;2;1;1;1;1;1;1;1;1;2;1;1
353343;2012;2;3;2;2;1;2;1;1;1;1;1;1;2;2;6;1;1
353843;2012;2;3;2;2;1;2;1;1;1;1;1;1;3;1;3;1;1
352002;2012;2;1;2;2;1;2;1;1;1;1;1;1;1;1;3;1;1
354400;2012;2;1;2;2;1;2;1;1;1;1;1;1;2;1;3;1;1
326019;2012;2;5;2;2;1;9;1;1;1;1;1;1;3;3;1;1;1
330755;2012;2;2;2;2;1;9;1;1;1;1;1;1;3;1;3;1;1
326464;2012;2;4;2;2;1;9;1;1;1;1;1;1;4;3;3;1;1
328109;2012;2;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1
329833;2012;2;2;2;2;1;9;1;1;1;1;1;1;3;2;3;1;1
328310;2012;2;2;2;2;1;1;1;1;1;1;1;1;2;1;3;1;1
329125;2012;2;1;2;2;1;2;1;1;1;1;1;1;2;1;3;1;1
330805;2012;2;2;2;2;1;9;1;1;1;1;1;1;2;1;3;1;1
320362;2012;2;2;2;2;1;4;1;1;1;1;1;1;3;1;3;1;1
319300;2012;2;2;2;2;1;4;1;1;1;1;1;1;1;1;3;1;1
323282;2012;2;4;2;2;1;9;1;1;1;1;1;1;2;2;3;1;1
324677;2012;2;1;2;2;1;2;1;1;1;1;1;1;1;1;3;1;1
322173;2012;2;1;2;2;1;9;1;1;1;1;1;1;1;1;3;1;1
320978;2012;2;1;2;2;1;9;1;1;1;1;1;1;1;1;3;1;1
349853;2012;2;1;2;1;1;5;1;1;1;1;1;1;2;1;1;1;1
352204;2012;2;2;2;1;1;1;1;1;1;1;1;1;4;1;1;1;1
350880;2012;2;1;2;1;1;1;1;1;1;1;1;1;4;1;1;1;1
349520;2012;2;3;2;2;1;1;1;1;1;1;1;1;3;2;1;1;1
349632;2012;2;2;2;1;4;4;1;1;1;1;1;1;2;1;3;1;1
351173;2012;2;2;2;1;1;4;1;1;1;1;1;1;1;1;3;1;1
353666;2012;2;3;2;1;1;1;1;1;1;1;1;1;2;2;3;1;1
344650;2012;2;2;2;2;1;2;1;1;1;1;1;1;4;2;1;1;1
345827;2012;2;2;2;2;1;1;1;1;1;1;1;1;2;1;1;1;1
344503;2012;2;4;2;2;1;2;1;1;1;1;1;1;3;2;3;1;1
348910;2012;2;4;2;2;1;1;1;1;1;1;1;1;2;2;3;1;1
348569;2012;2;1;2;2;1;2;1;1;1;1;1;1;2;1;3;1;1
330612;2012;2;2;2;2;1;1;1;1;1;1;1;1;2;1;3;1;1
328178;2012;2;2;2;2;1;1;1;1;1;1;1;1;3;2;2;1;1
326745;2012;2;1;2;4;1;5;1;2;1;1;1;1;1;1;3;1;3
328985;2012;2;1;2;2;2;1;1;1;1;1;1;1;2;1;6;1;1
326236;2012;2;1;2;2;1;1;1;1;1;1;1;1;2;1;3;1;1
328638;2012;2;2;2;2;1;5;1;1;1;1;1;1;2;1;3;1;1
330066;2012;2;2;2;2;1;1;1;1;1;1;1;1;2;2;3;1;1
328743;2012;2;2;2;1;1;2;1;1;1;1;1;1;2;2;3;1;1
329718;2012;2;2;2;2;1;1;1;1;1;1;1;1;3;2;3;1;1
325736;2012;2;2;2;2;1;1;1;1;1;1;1;1;1;1;3;1;1
327399;2012;2;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1
329672;2012;2;2;2;2;1;2;1;1;1;1;1;1;2;2;3;1;1
330877;2012;2;3;2;2;1;3;1;1;1;1;1;1;3;2;1;1;1
327827;2012;2;1;2;2;1;1;1;1;1;1;1;1;3;1;3;1;1
347543;2012;2;1;2;2;1;9;1;1;1;1;1;1;3;1;1;1;1
348828;2012;2;1;2;2;1;2;1;1;1;1;1;1;2;1;1;1;1
344608;2012;2;2;2;2;1;9;1;1;1;1;1;1;2;1;3;1;1
329893;2012;2;1;2;1;1;4;1;1;1;1;1;1;2;1;1;1;1
329242;2012;2;1;2;2;1;9;1;1;1;1;1;1;3;1;3;1;1
328125;2012;2;2;2;2;1;4;1;1;1;1;1;1;2;1;3;1;1
329736;2012;2;1;2;2;1;2;1;1;1;1;1;1;4;1;1;1;1
325242;2012;2;2;2;2;1;9;1;1;1;1;1;1;3;1;1;1;1
325301;2012;2;1;2;2;1;9;1;1;1;1;1;1;2;1;3;1;1
323316;2012;2;3;2;1;1;4;1;1;1;1;1;1;7;3;3;1;1
321930;2012;2;3;2;2;1;9;1;1;1;1;1;1;3;2;3;1;1
324960;2012;2;2;2;2;1;9;1;1;1;1;1;1;3;2;2;1;1
323519;2012;2;1;2;2;1;9;1;1;1;1;1;1;3;1;2;1;1
322628;2012;2;1;2;2;1;2;1;1;1;1;1;1;2;1;1;1;1
323598;2012;2;2;2;2;1;9;1;1;1;1;1;1;3;1;2;1;1
319642;2012;2;1;2;2;1;9;1;1;1;1;1;1;1;1;3;1;1
321292;2012;2;1;2;2;1;2;1;1;1;1;1;1;2;1;3;1;1
352781;2012;2;1;2;2;1;4;1;1;1;1;1;1;3;1;1;1;1
350138;2012;2;3;2;2;1;9;1;1;1;1;1;1;3;2;3;1;1
354917;2012;2;2;2;1;1;1;1;1;1;1;1;1;3;1;1;1;1
351100;2012;2;2;2;2;1;1;1;1;1;1;1;1;2;2;3;1;1
350009;2012;2;1;2;2;1;1;1;1;1;1;1;1;2;1;3;1;1
350664;2012;2;1;2;2;1;2;1;1;1;1;1;1;2;1;5;1;1
350121;2012;2;2;2;2;1;1;1;1;1;1;1;1;3;1;1;1;1
347546;2012;2;2;2;2;1;2;1;1;1;1;1;1;2;1;6;1;1
346105;2012;2;2;2;1;1;4;1;1;1;1;1;1;5;2;1;1;1
346434;2012;2;2;2;2;1;9;1;1;1;1;1;1;3;2;1;1;1
343781;2012;2;1;2;1;1;2;1;1;1;1;1;1;2;1;3;1;1
347797;2012;2;1;2;2;1;1;1;1;1;1;1;1;2;1;3;1;1
325327;2012;2;2;2;2;1;4;1;1;1;1;1;1;2;2;3;1;1
329072;2012;2;1;2;2;1;2;1;1;1;1;1;1;3;1;2;1;1
325108;2012;2;2;2;2;1;9;1;1;1;1;1;1;2;2;3;1;1
325099;2012;2;1;2;2;1;2;1;1;1;1;1;1;1;1;3;1;1
326257;2012;2;1;2;2;1;9;1;1;1;1;1;1;2;1;2;1;1
353580;2012;2;2;2;1;1;1;1;1;1;1;1;1;2;2;3;1;1
354937;2012;2;3;2;2;1;4;1;1;1;1;1;1;3;3;3;1;1
354507;2012;2;2;2;1;1;4;1;1;1;1;1;1;2;2;3;1;1
350573;2012;2;3;2;2;1;2;1;1;1;1;1;1;2;2;3;1;1
350465;2012;2;4;2;2;1;1;1;1;1;1;1;1;2;2;3;1;1
344370;2012;2;3;2;1;1;4;1;1;1;1;1;1;3;2;1;1;1
349326;2012;2;1;2;1;1;4;1;1;1;1;1;1;3;1;1;1;1
347444;2012;2;1;2;1;1;4;1;1;1;1;1;1;3;1;1;1;1
346116;2012;2;5;2;1;1;4;1;1;1;1;1;1;4;3;1;1;1
343566;2012;2;2;2;1;1;4;1;1;1;1;1;1;3;1;1;1;1
343624;2012;2;2;2;1;1;4;1;1;1;1;1;1;3;1;1;1;1
348871;2012;2;3;2;1;1;1;1;1;1;1;1;1;3;2;1;1;1
322383;2012;2;3;2;1;1;4;1;1;1;1;1;1;4;3;6;1;1
319956;2012;2;1;2;1;1;9;1;1;1;1;1;1;3;1;1;1;1
323022;2012;2;1;2;1;1;1;1;1;1;1;1;1;3;1;1;1;1
321698;2012;2;2;2;2;1;1;1;1;1;1;1;1;2;1;1;1;1
319220;2012;2;2;2;2;1;2;1;1;1;1;1;1;3;1;3;1;1
320314;2012;2;1;2;2;1;9;1;1;1;1;1;1;3;1;1;1;1
320293;2012;2;3;2;2;1;9;1;1;1;1;1;1;3;2;1;1;1
355390;2012;2;2;2;1;1;3;1;1;1;1;1;1;4;1;1;1;1
355102;2012;2;5;2;1;1;3;1;1;1;1;1;1;4;3;1;1;1
352079;2012;2;1;2;2;1;9;1;1;1;1;1;1;3;1;1;1;1
352907;2012;2;3;2;2;1;1;1;1;1;1;1;1;2;2;3;1;1
352363;2012;2;1;2;2;1;4;1;1;1;1;1;1;1;1;3;1;1
354854;2012;2;1;2;1;1;4;1;1;1;1;1;1;1;1;3;1;1
349729;2012;2;4;2;1;1;3;1;1;1;1;1;1;6;3;1;1;1
348101;2012;2;2;2;2;1;1;1;1;1;1;1;1;2;1;1;1;1
349358;2012;2;2;2;2;1;4;1;1;1;1;1;1;2;1;1;1;1
347469;2012;2;2;2;2;1;1;1;1;1;1;1;1;3;2;3;1;1
347977;2012;2;2;2;1;1;1;1;1;1;1;1;1;3;2;1;1;1
347891;2012;2;1;2;2;1;1;1;1;1;1;1;1;2;1;1;1;1
344386;2012;2;3;2;2;1;1;1;1;1;1;1;1;2;2;1;1;1
332843;2012;2;1;2;1;1;2;1;1;1;1;1;1;2;1;3;1;1
334922;2012;2;2;2;2;1;4;1;1;1;1;1;1;3;2;1;1;1
337220;2012;2;3;2;1;1;1;1;1;1;1;1;1;4;3;1;1;1
331504;2012;2;4;2;1;1;4;1;1;1;1;1;1;3;2;1;1;1
331754;2012;2;2;2;1;1;3;1;1;1;1;1;1;5;2;1;1;1
332347;2012;2;1;2;2;1;1;1;1;1;1;1;1;3;1;3;1;1
324884;2012;2;1;2;1;1;1;1;1;1;1;1;1;4;1;1;1;1
323567;2012;2;2;2;2;1;9;1;1;1;1;1;1;3;2;1;1;1
321674;2012;2;2;2;1;1;5;1;1;1;1;1;1;4;2;1;1;1
320483;2012;2;2;2;2;1;9;1;1;1;1;1;1;4;2;1;1;1
319867;2012;2;1;2;2;1;4;1;1;1;1;1;1;1;1;4;1;1
323967;2012;2;2;2;1;1;1;1;1;1;1;1;1;5;1;1;1;1
320109;2012;2;2;2;1;1;4;1;1;1;1;1;1;3;1;3;1;1
324264;2012;2;1;2;2;1;1;1;1;1;1;1;1;3;1;1;1;1
351416;2012;2;5;2;1;1;4;1;1;1;1;1;1;3;3;1;1;1
355294;2012;2;2;2;1;1;4;1;1;1;1;1;1;4;1;1;1;1
355382;2012;2;1;2;1;1;1;1;1;1;1;1;1;2;1;3;1;1
350870;2012;2;1;2;1;2;4;1;1;1;1;1;1;3;1;4;1;1
344154;2012;2;5;2;1;1;3;1;1;1;1;1;1;5;3;1;1;1
344452;2012;2;4;2;1;1;3;1;1;1;1;1;1;4;3;1;1;1
346005;2012;2;2;2;1;1;4;1;1;1;1;1;1;3;1;1;1;1
348373;2012;2;1;2;2;1;2;1;1;1;1;1;1;1;1;3;1;1
329211;2012;2;2;2;1;1;4;1;1;1;1;1;1;3;2;1;1;1
326100;2012;2;3;2;1;1;4;1;1;1;1;1;1;4;2;1;1;1
326984;2012;2;1;2;2;1;4;1;1;1;1;1;1;1;1;3;1;1
326329;2012;2;2;2;1;1;3;1;1;1;1;1;1;2;1;6;1;1
325641;2012;2;1;2;2;1;9;1;1;1;1;1;1;1;1;3;1;1
330324;2012;2;1;2;2;1;9;1;1;1;1;1;1;2;1;3;1;1
323529;2012;2;5;2;1;1;4;1;1;1;1;1;1;3;2;1;1;1
323047;2012;2;2;2;1;1;4;1;1;1;1;1;1;2;1;1;1;1
319772;2012;2;1;2;2;1;4;1;1;1;1;1;1;2;1;1;1;1
321348;2012;2;2;2;1;1;4;1;1;1;1;1;1;3;2;1;1;1
319234;2012;2;1;2;1;1;5;1;1;1;1;1;1;3;2;1;1;1
347515;2012;2;1;2;1;1;1;1;1;1;1;1;1;2;2;1;1;1
344418;2012;2;1;2;1;1;4;1;1;1;1;1;1;2;1;1;1;1
343962;2012;2;2;2;2;1;1;1;1;1;1;1;1;3;2;1;1;1
349459;2012;2;1;2;2;1;2;1;1;1;1;1;1;1;1;3;1;1
343896;2012;2;2;2;2;1;1;1;1;1;1;1;1;2;1;3;1;1
327445;2012;2;2;2;1;1;4;1;1;1;1;1;1;3;1;1;1;1
326670;2012;2;3;2;1;1;4;1;1;1;1;1;1;3;2;1;1;1
329504;2012;2;3;2;1;1;4;1;1;1;1;1;1;5;2;8;1;1
325642;2012;2;4;2;1;1;4;1;1;1;1;1;1;3;2;8;1;1
327620;2012;2;3;2;1;1;4;1;1;1;1;1;1;5;2;1;1;1
325088;2012;2;3;2;1;1;4;1;1;1;1;1;1;4;2;6;1;1
324391;2012;2;3;2;2;1;1;1;1;1;1;1;1;3;2;3;1;1
319518;2012;2;1;2;2;1;1;1;1;1;1;1;1;3;1;1;1;1
320491;2012;2;8;2;1;1;4;1;1;1;1;1;1;5;3;6;1;1
323166;2012;2;3;2;2;1;2;1;1;1;1;1;1;2;1;3;1;1
321825;2012;2;1;2;2;1;1;1;1;1;1;1;1;2;1;3;1;1
325019;2012;2;1;2;2;1;9;1;1;1;1;1;1;1;1;3;1;1
323232;2012;2;1;2;2;1;9;1;1;1;1;1;1;2;1;2;1;1
319079;2012;2;1;2;1;1;4;1;1;1;1;1;1;2;1;3;1;1
353468;2012;2;3;2;1;1;4;1;1;1;1;1;1;2;2;1;1;1
353977;2012;2;2;2;2;1;1;1;1;1;1;1;1;3;2;3;1;1
352183;2012;2;2;2;1;1;4;1;1;1;1;1;1;2;1;1;1;1
354235;2012;2;2;2;1;1;4;1;1;1;1;1;1;3;2;1;1;1
352365;2012;2;1;2;2;1;4;1;1;1;1;1;1;1;1;1;1;1
352683;2012;2;1;2;2;1;4;1;1;1;1;1;1;1;1;3;1;1
354619;2012;2;2;2;2;1;4;1;1;1;1;1;1;1;1;3;1;1
353463;2012;2;2;2;2;1;4;1;1;1;1;1;1;1;1;3;1;1
344983;2012;2;2;2;2;1;4;1;1;1;1;1;1;3;1;3;1;1
348919;2012;2;1;2;1;1;4;1;1;1;1;1;1;1;1;1;1;1
349050;2012;2;1;2;1;1;3;1;1;1;1;1;1;3;1;1;1;1
346242;2012;2;1;2;2;1;9;1;1;1;1;1;1;2;1;3;1;1
334412;2012;2;3;2;2;1;2;1;1;1;1;1;1;3;2;3;1;1
335523;2012;2;2;2;1;1;2;1;1;1;1;1;1;2;2;3;1;1
331746;2012;2;3;2;1;1;1;1;1;1;1;1;1;3;2;1;1;1
334232;2012;2;5;2;1;1;4;1;1;1;1;1;1;4;3;1;1;1
336807;2012;2;2;2;2;1;1;1;1;1;1;1;1;1;1;3;1;1
345857;2012;2;1;2;1;1;5;1;1;1;1;1;1;2;1;1;1;1
347557;2012;2;4;2;1;1;1;1;1;1;1;1;1;5;3;1;1;1
346681;2012;2;2;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1
344534;2012;2;4;2;1;1;3;1;1;1;1;1;1;5;3;1;1;1
345528;2012;2;1;2;2;1;4;1;1;1;1;1;1;2;1;1;1;1
343912;2012;2;4;2;1;1;1;1;1;1;1;1;1;3;3;1;1;1
344942;2012;2;2;2;1;1;1;1;1;1;1;1;1;5;2;1;1;1
324133;2012;2;2;2;1;1;3;2;1;2;1;1;2;2;2;1;1;1
320687;2012;2;2;2;1;1;3;1;1;1;1;1;2;4;1;1;1;1
321287;2012;2;4;2;1;1;3;1;1;1;1;1;2;4;3;1;1;1
323613;2012;2;5;2;1;1;4;1;1;1;1;1;2;3;2;4;1;1
323180;2012;2;2;2;1;1;3;1;1;1;1;1;1;4;2;1;1;1
319854;2012;2;3;2;1;1;4;1;1;2;1;1;2;3;2;1;1;1
320927;2012;2;5;2;1;1;4;2;1;2;1;2;1;2;2;1;2;1
354510;2012;2;1;2;1;1;4;1;1;1;1;1;1;3;1;3;1;1
350662;2012;2;3;2;2;1;3;1;1;1;1;1;1;3;2;1;1;1
350746;2012;2;1;2;1;1;3;1;1;1;1;1;1;3;1;1;1;1
353403;2012;2;4;2;1;1;4;1;1;1;1;1;1;4;3;1;1;1
355515;2012;2;5;2;1;1;3;1;1;1;1;1;1;6;4;1;1;1
328372;2012;2;4;2;1;1;4;1;1;1;1;1;1;4;3;1;1;1
326218;2012;2;1;2;1;1;4;1;1;1;1;1;1;3;2;1;1;1
327217;2012;2;6;2;1;1;3;1;1;1;1;1;1;6;3;1;1;1
325591;2012;2;4;2;1;1;4;1;1;1;1;1;1;3;2;1;1;1
330723;2012;2;4;2;1;1;4;1;1;1;1;1;1;4;3;1;1;1
326629;2012;2;2;2;1;1;4;1;1;1;1;1;3;3;1;2;1;1
327887;2012;2;3;2;1;1;4;1;1;1;1;1;1;3;2;3;1;1
327831;2012;2;3;2;1;1;4;1;1;1;1;1;1;5;3;1;1;1
330743;2012;2;4;2;1;1;4;1;1;1;1;1;1;4;3;3;1;1
325377;2012;2;4;2;1;1;1;1;1;1;1;1;1;4;3;2;1;1
321307;2012;2;1;2;2;1;2;1;1;1;1;1;1;2;1;3;1;1
323093;2012;2;2;2;2;1;9;1;1;1;1;1;1;4;2;3;1;1
323564;2012;2;3;2;1;1;3;1;1;1;1;1;1;4;2;1;1;1
323639;2012;2;1;2;1;1;4;1;1;1;1;1;1;2;1;1;1;1
324024;2012;2;1;2;2;1;9;1;1;1;1;1;1;3;1;3;1;1
320006;2012;2;1;2;2;1;9;1;1;1;1;1;1;3;2;1;1;1
353418;2012;2;2;2;1;1;4;1;1;1;1;1;1;3;2;1;1;1
354504;2012;2;2;2;1;1;3;1;1;1;1;1;1;3;2;1;1;1
