CODUSU;ANO4;TRIMESTRE;IX_TOT;AGLOMERADO;IV1;IV3;IV4;IV5;IV6;IV7;IV8;IV10;IV11;II1;II2;II7;II8;II9
352978;2013;3;1;2;1;1;4;1;1;1;1;1;1;1;1;3;1;1
350729;2013;3;3;2;2;1;4;1;1;1;1;1;1;3;2;3;1;1
350762;2013;3;1;2;2;1;2;1;1;1;1;1;1;1;1;2;1;1
353343;2013;3;3;2;2;1;2;1;1;1;1;1;1;2;2;6;1;1
353843;2013;3;3;2;2;1;2;1;1;1;1;1;1;3;1;3;1;1
352002;2013;3;1;2;2;1;2;1;1;1;1;1;1;1;1;3;1;1
354400;2013;3;1;2;2;1;2;1;1;1;1;1;1;2;1;3;1;1
376518;2013;3;3;2;2;1;9;1;1;1;1;1;1;3;2;4;1;1
377583;2013;3;2;2;2;1;9;1;1;1;1;1;1;3;1;1;1;1
375644;2013;3;1;2;2;1;9;1;1;1;1;1;1;3;1;1;1;1
374798;2013;3;1;2;2;1;9;1;1;1;1;1;1;4;1;1;1;1
378158;2013;3;2;2;2;1;9;1;1;1;1;1;1;3;2;3;1;1
375975;2013;3;3;2;2;1;9;1;1;1;1;1;1;4;2;1;1;1
376609;2013;3;4;2;1;1;2;1;1;1;1;1;1;2;1;6;1;1
355363;2013;3;1;2;2;1;1;1;1;1;1;1;1;3;1;1;1;1
349853;2013;3;1;2;1;1;5;1;1;1;1;1;1;2;1;1;1;1
352204;2013;3;2;2;1;1;1;1;1;1;1;1;1;4;1;1;1;1
350880;2013;3;2;2;1;1;1;1;1;1;1;1;1;4;1;1;1;1
349520;2013;3;1;2;2;1;1;1;1;1;1;1;1;3;2;1;1;1
349632;2013;3;2;2;1;4;4;1;1;1;1;1;1;2;1;3;1;1
351173;2013;3;2;2;1;1;4;1;1;1;1;1;1;1;1;3;1;1
353666;2013;3;3;2;1;1;1;1;1;1;1;1;1;2;2;3;1;1
351285;2013;3;1;2;2;1;2;1;1;1;1;1;1;3;1;3;1;1
357348;2013;3;2;2;2;1;2;1;1;1;1;1;1;2;2;3;1;1
357677;2013;3;3;2;2;1;2;1;1;1;1;1;1;4;3;3;1;1
355877;2013;3;2;2;2;1;2;1;1;1;1;1;1;3;2;3;1;1
377631;2013;3;2;2;2;1;2;1;1;1;1;1;1;2;1;1;1;1
374788;2013;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1
374061;2013;3;3;2;2;1;2;1;1;1;1;1;1;4;2;1;1;1
356422;2013;3;2;2;2;1;2;1;1;1;1;1;1;2;1;3;1;1
359312;2013;3;1;2;2;1;2;1;1;1;1;1;1;4;1;3;1;1
375233;2013;3;3;2;2;1;9;1;1;1;1;1;1;2;1;5;4;1
375316;2013;3;1;2;2;1;9;1;1;1;1;1;1;1;1;3;1;1
374158;2013;3;1;2;2;1;2;1;1;1;1;1;1;2;1;3;1;1
352424;2013;3;2;2;2;1;2;1;1;1;1;1;1;3;2;2;1;1
352781;2013;3;1;2;2;1;4;1;1;1;1;1;1;3;1;1;1;1
352781;2013;3;1;2;2;1;4;1;1;1;1;1;1;0;0;0;0;0
354917;2013;3;1;2;1;1;1;1;1;1;1;1;1;3;1;1;1;1
351100;2013;3;2;2;2;1;1;1;1;1;1;1;1;2;2;3;1;1
354971;2013;3;4;2;1;1;4;1;1;1;1;1;1;3;2;3;1;1
350664;2013;3;1;2;2;1;2;1;1;1;1;1;1;2;1;5;1;1
350121;2013;3;2;2;2;1;1;1;1;1;1;1;1;3;1;1;1;1
356172;2013;3;1;2;2;1;2;1;1;1;1;1;1;2;1;3;1;1
357626;2013;3;3;2;2;1;2;1;1;1;1;1;1;2;2;3;1;1
374205;2013;3;1;2;2;1;2;1;1;1;1;1;1;2;1;1;1;1
374444;2013;3;1;2;2;1;2;1;1;1;1;1;1;1;1;3;1;1
379173;2013;3;1;2;2;1;2;1;1;1;1;1;1;4;1;1;1;1
376882;2013;3;2;2;2;1;2;1;1;1;1;1;1;3;1;3;1;1
353580;2013;3;2;2;1;1;1;1;1;1;1;1;1;2;2;3;1;1
354937;2013;3;3;2;2;1;4;1;1;1;1;1;1;3;3;3;1;1
350297;2013;3;1;2;2;1;2;1;1;1;1;1;1;2;1;3;1;1
350573;2013;3;2;2;2;1;2;1;1;1;1;1;1;3;1;1;1;1
350465;2013;3;4;2;2;1;1;1;1;1;1;1;1;2;2;3;1;1
349868;2013;3;1;2;2;1;2;1;1;1;1;1;1;2;1;3;1;1
356294;2013;3;4;2;1;1;1;1;1;1;1;1;1;2;2;3;1;1
356707;2013;3;1;2;1;1;5;1;1;1;1;1;1;3;1;1;1;1
359670;2013;3;2;2;1;9;1;1;1;1;1;1;1;3;3;1;1;1
359781;2013;3;5;2;1;1;5;1;1;1;1;1;1;3;3;1;2;1
357706;2013;3;1;2;1;1;5;1;1;1;1;1;1;4;2;1;2;1
355102;2013;3;5;2;1;1;3;1;1;1;1;1;1;4;3;1;1;1
353305;2013;3;1;2;2;1;9;1;1;1;1;1;1;1;1;3;1;1
352079;2013;3;1;2;2;1;9;1;1;1;1;1;1;3;1;1;1;1
352907;2013;3;2;2;2;1;1;1;1;1;1;1;1;2;2;3;1;1
352363;2013;3;1;2;2;1;4;1;1;1;1;1;1;1;1;3;1;1
349729;2013;3;4;2;1;1;3;1;1;1;1;1;1;6;3;1;1;1
355988;2013;3;3;2;1;1;4;1;1;1;1;1;1;2;2;3;1;1
358773;2013;3;3;2;2;1;2;1;1;1;1;1;1;3;2;3;1;1
361241;2013;3;2;2;2;1;2;1;1;1;1;1;1;1;1;3;1;1
357495;2013;3;2;2;3;1;3;1;1;1;1;1;1;1;1;6;1;3
360233;2013;3;1;2;2;2;2;1;1;1;1;1;1;1;1;3;1;1
356353;2013;3;1;2;2;1;2;1;1;1;1;1;1;2;1;2;1;1
379586;2013;3;3;2;2;1;9;1;1;1;1;1;1;3;2;3;1;1
377057;2013;3;1;2;2;1;9;1;1;1;1;1;1;2;1;1;1;1
378565;2013;3;1;2;2;1;2;1;1;1;1;1;1;3;1;1;1;1
374632;2013;3;1;2;2;1;9;1;1;1;1;1;1;2;1;1;1;1
