CODUSU;ANO4;TRIMESTRE;IX_TOT;AGLOMERADO;IV1;IV3;IV4;IV5;IV6;IV7;IV8;IV10;IV11;II1;II2;II7;II8;II9
352978;2013;2;1;2;1;1;4;1;1;1;1;1;1;1;1;3;1;1
353843;2013;2;3;2;2;1;2;1;1;1;1;1;1;3;1;3;1;1
352002;2013;2;1;2;2;1;2;1;1;1;1;1;1;1;1;3;1;1
354400;2013;2;1;2;2;1;2;1;1;1;1;1;1;2;1;3;1;1
376518;2013;2;3;2;2;1;9;1;1;1;1;1;1;3;2;4;1;1
377583;2013;2;2;2;2;1;9;1;1;1;1;1;1;3;1;1;1;1
375644;2013;2;1;2;2;1;9;1;1;1;1;1;1;3;1;1;1;1
374798;2013;2;1;2;2;1;9;1;1;1;1;1;1;4;1;1;1;1
378158;2013;2;2;2;2;1;9;1;1;1;1;1;1;3;2;3;1;1
375975;2013;2;3;2;2;1;9;1;1;1;1;1;1;4;2;1;1;1
374472;2013;2;3;2;2;1;9;1;1;1;1;1;1;2;2;3;1;1
371460;2013;2;4;2;1;1;1;1;1;1;1;1;1;6;4;1;1;1
369532;2013;2;1;2;1;1;2;1;1;1;1;1;1;3;1;3;1;1
369862;2013;2;2;2;2;1;1;1;1;1;1;1;1;2;1;1;1;1
370492;2013;2;2;2;2;1;2;1;1;1;1;1;1;1;1;3;1;1
368051;2013;2;1;2;2;1;4;1;1;1;1;1;1;1;1;3;1;1
368369;2013;2;1;2;2;1;2;1;1;1;1;1;1;2;1;1;1;1
355363;2013;2;1;2;2;1;1;1;1;1;1;1;1;3;1;1;1;1
349853;2013;2;2;2;1;1;5;1;1;1;1;1;1;2;1;1;1;1
352204;2013;2;2;2;1;1;1;1;1;1;1;1;1;4;1;1;1;1
350880;2013;2;2;2;1;1;1;1;1;1;1;1;1;4;1;1;1;1
349520;2013;2;3;2;2;1;1;1;1;1;1;1;1;3;2;1;1;1
351173;2013;2;2;2;1;1;4;1;1;1;1;1;1;1;1;3;1;1
353666;2013;2;3;2;1;1;1;1;1;1;1;1;1;2;2;3;1;1
351285;2013;2;1;2;2;1;2;1;1;1;1;1;1;3;1;3;1;1
344650;2013;2;2;2;2;1;2;1;1;1;1;1;1;4;2;1;1;1
347839;2013;2;2;2;2;1;9;1;1;1;1;1;1;3;2;1;1;1
345827;2013;2;2;2;2;1;1;1;1;1;1;1;1;2;1;1;1;1
344503;2013;2;4;2;2;1;2;1;1;1;1;1;1;3;2;3;1;1
348910;2013;2;4;2;2;1;1;1;1;1;1;1;1;2;2;3;1;1
346564;2013;2;1;2;2;1;9;1;1;1;1;1;1;3;1;1;1;1
348569;2013;2;2;2;2;1;2;1;1;1;1;1;1;2;2;1;1;1
377631;2013;2;2;2;2;1;2;1;1;1;1;1;1;2;1;1;1;1
374788;2013;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1
377387;2013;2;1;2;2;1;2;1;1;1;1;1;1;1;1;1;1;1
378308;2013;2;2;2;2;2;1;1;1;1;1;1;1;3;1;1;1;1
368000;2013;2;2;2;2;1;2;1;1;1;1;1;1;3;2;3;1;1
368683;2013;2;1;2;1;1;9;1;1;1;1;1;1;3;1;2;1;1
374449;2013;2;1;2;2;1;2;1;1;1;1;1;1;2;1;3;1;1
372180;2013;2;4;2;2;1;2;1;1;1;1;1;1;4;3;3;1;1
367962;2013;2;1;2;2;1;2;1;1;1;1;1;1;2;1;3;1;1
344056;2013;2;2;2;2;1;1;1;1;1;1;1;1;3;2;3;1;1
347543;2013;2;1;2;2;1;9;1;1;1;1;1;1;3;1;1;1;1
343469;2013;2;1;2;2;1;9;1;1;1;1;1;1;2;1;3;1;1
348195;2013;2;1;2;2;1;1;1;1;1;1;1;1;3;1;3;1;1
348828;2013;2;2;2;2;1;2;1;1;1;1;1;1;2;1;1;1;1
378353;2013;2;1;2;2;1;9;1;1;1;1;1;1;2;1;3;1;1
375233;2013;2;2;2;2;1;9;1;1;1;1;1;1;2;1;5;4;1
377571;2013;2;1;2;2;1;9;1;1;1;1;1;1;2;1;1;1;1
375316;2013;2;1;2;2;1;9;1;1;1;1;1;1;1;1;3;1;1
369123;2013;2;3;2;1;1;4;1;1;1;1;1;1;5;2;1;1;1
369089;2013;2;2;2;2;1;4;1;1;1;1;1;1;3;2;3;1;1
373559;2013;2;1;2;2;1;9;1;1;1;1;1;1;2;1;1;1;1
369811;2013;2;2;2;2;1;2;1;1;1;1;1;1;3;1;3;1;1
368059;2013;2;1;2;2;1;2;1;1;1;1;1;1;2;1;2;1;1
372258;2013;2;1;2;2;1;2;1;1;1;1;1;1;2;1;3;1;1
352781;2013;2;1;2;2;1;4;1;1;1;1;1;1;3;1;1;1;1
352781;2013;2;1;2;2;1;4;1;1;1;1;1;1;0;0;0;0;0
354917;2013;2;1;2;1;1;1;1;1;1;1;1;1;3;1;1;1;1
354971;2013;2;4;2;1;1;4;1;1;1;1;1;1;3;2;3;1;1
350664;2013;2;1;2;2;1;2;1;1;1;1;1;1;2;1;5;1;1
350121;2013;2;2;2;2;1;1;1;1;1;1;1;1;3;1;1;1;1
346105;2013;2;2;2;1;1;4;1;1;1;1;1;1;5;2;1;1;1
345929;2013;2;2;2;1;1;4;1;1;1;1;1;1;3;2;3;1;1
346434;2013;2;2;2;2;1;9;1;1;1;1;1;1;3;2;1;1;1
343781;2013;2;1;2;1;1;2;1;1;1;1;1;1;2;1;3;1;1
346804;2013;2;2;2;2;1;9;1;1;1;1;1;1;3;1;3;1;1
347797;2013;2;1;2;2;1;1;1;1;1;1;1;1;2;1;3;1;1
374205;2013;2;1;2;2;1;2;1;1;1;1;1;1;2;1;1;1;1
374444;2013;2;1;2;2;1;2;1;1;1;1;1;1;1;1;3;1;1
379173;2013;2;1;2;2;1;2;1;1;1;1;1;1;4;1;1;1;1
376882;2013;2;2;2;2;1;2;1;1;1;1;1;1;3;1;3;1;1
353580;2013;2;2;2;1;1;1;1;1;1;1;1;1;2;2;3;1;1
354937;2013;2;3;2;2;1;4;1;1;1;1;1;1;3;3;3;1;1
354507;2013;2;2;2;1;1;4;1;1;1;1;1;1;2;2;3;1;1
350573;2013;2;2;2;2;1;2;1;1;1;1;1;1;3;1;1;1;1
350465;2013;2;4;2;2;1;1;1;1;1;1;1;1;2;2;3;1;1
344370;2013;2;3;2;1;1;4;1;1;1;1;1;1;3;2;1;1;1
349326;2013;2;1;2;1;1;4;1;1;1;1;1;1;3;1;1;1;1
345607;2013;2;1;2;1;1;1;1;1;1;1;1;1;3;1;1;1;1
347444;2013;2;1;2;1;1;4;1;1;1;1;1;1;3;1;1;1;1
346116;2013;2;6;2;1;1;4;1;1;1;1;1;1;4;3;1;1;1
343566;2013;2;2;2;1;1;4;1;1;1;1;1;1;3;1;1;1;1
343624;2013;2;2;2;1;1;4;1;1;1;1;1;1;3;1;1;1;1
343650;2013;2;2;2;1;1;4;1;1;1;1;1;1;4;2;1;1;1
348871;2013;2;2;2;1;1;1;1;1;1;1;1;1;3;2;1;1;1
347377;2013;2;1;2;1;1;1;1;1;1;1;1;1;3;1;1;1;1
368470;2013;2;2;2;2;1;2;1;1;1;1;1;1;2;1;1;1;1
368104;2013;2;2;2;1;1;2;1;1;1;1;1;1;2;1;3;1;1
368342;2013;2;2;2;1;1;4;1;1;1;1;1;1;5;1;1;1;1
371867;2013;2;2;2;1;1;3;1;1;1;1;1;1;3;1;1;1;1
373038;2013;2;5;2;1;1;2;1;1;1;1;1;1;4;3;1;1;1
370763;2013;2;2;2;2;1;9;1;1;1;1;1;1;3;2;3;1;1
355390;2013;2;2;2;1;1;3;1;1;1;1;1;1;4;1;1;1;1
355102;2013;2;5;2;1;1;3;1;1;1;1;1;1;4;3;1;1;1
353305;2013;2;1;2;2;1;9;1;1;1;1;1;1;1;1;3;1;1
352079;2013;2;1;2;2;1;9;1;1;1;1;1;1;3;1;1;1;1
352907;2013;2;2;2;2;1;1;1;1;1;1;1;1;2;2;3;1;1
352363;2013;2;1;2;2;1;4;1;1;1;1;1;1;1;1;3;1;1
349729;2013;2;4;2;1;1;3;1;1;1;1;1;1;6;3;1;1;1
348101;2013;2;2;2;2;1;1;1;1;1;1;1;1;2;1;1;1;1
347469;2013;2;2;2;2;1;1;1;1;1;1;1;1;3;2;3;1;1
347977;2013;2;2;2;1;1;1;1;1;1;1;1;1;3;2;1;1;1
347891;2013;2;2;2;2;1;1;1;1;1;1;1;1;2;1;1;1;1
344386;2013;2;3;2;2;1;1;1;1;1;1;1;1;2;2;1;1;1
344126;2013;2;2;2;2;1;1;1;1;1;1;1;1;3;1;3;1;1
347472;2013;2;2;2;2;1;1;1;1;1;1;1;1;3;1;2;1;1
378611;2013;2;5;2;1;1;4;1;1;1;1;1;1;4;2;1;1;1
379586;2013;2;3;2;2;1;9;1;1;1;1;1;1;3;2;3;1;1
377057;2013;2;1;2;2;1;9;1;1;1;1;1;1;2;1;1;1;1
378565;2013;2;1;2;2;1;2;1;1;1;1;1;1;3;1;1;1;1
374632;2013;2;1;2;2;1;9;1;1;1;1;1;1;2;1;1;1;1
377267;2013;2;2;2;2;1;9;1;1;1;1;1;1;2;1;1;1;1
372480;2013;2;1;2;2;1;1;1;1;1;1;1;1;2;1;1;1;1
368163;2013;2;2;2;2;1;9;1;1;1;1;1;1;2;1;3;1;1
370964;2013;2;2;2;2;1;4;1;1;1;1;1;1;2;1;1;1;1
371775;2013;2;5;2;2;1;1;1;1;1;1;1;1;2;1;3;1;1
373446;2013;2;4;2;1;1;1;1;1;1;1;1;1;2;2;1;1;1
369680;2013;2;1;2;4;1;1;1;1;1;1;1;1;1;1;3;1;1
