CODUSU;ANO4;TRIMESTRE;IX_TOT;AGLOMERADO;IV1;IV3;IV4;IV5;IV6;IV7;IV8;IV10;IV11;II1;II2;II7;II8;II9
301476;2010;3;1;17;1;1;3;1;1;1;1;1;1;1;1;1;1;1
303295;2010;3;1;29;2;1;9;1;1;1;1;1;1;1;1;2;1;1
302425;2010;3;4;17;1;3;1;1;1;1;1;1;1;4;4;1;1;1
304926;2010;3;2;23;1;1;3;1;1;1;1;1;1;5;2;1;1;1
307588;2010;3;1;3;2;1;9;1;1;1;1;1;1;4;3;1;1;1
302755;2010;3;3;17;1;1;1;1;1;1;1;1;1;2;2;3;1;1
300937;2010;3;3;17;1;1;1;1;1;1;1;1;1;2;2;1;1;1
301257;2010;3;3;36;1;1;1;1;1;1;1;1;1;5;2;1;1;1
301487;2010;3;2;7;1;1;4;1;1;1;1;1;1;7;1;1;2;1
300886;2010;3;6;23;1;1;3;1;1;1;1;1;1;5;4;1;1;1
309409;2010;3;1;3;2;1;9;1;1;1;1;1;1;2;1;3;1;1
305024;2010;3;6;23;1;1;3;1;1;1;1;1;1;4;3;1;1;1
306295;2010;3;5;17;1;1;2;1;1;1;1;1;1;4;3;1;1;1
304158;2010;3;4;36;1;1;1;1;1;1;1;1;2;3;3;1;1;1
302239;2010;3;4;29;1;1;2;1;1;1;1;1;1;5;3;1;1;1
302239;2010;3;1;29;1;1;2;1;1;1;1;1;1;0;0;0;0;0
300848;2010;3;2;17;1;1;3;1;1;1;1;1;1;4;1;1;1;1
310468;2010;3;2;3;2;1;9;1;1;1;1;1;1;3;2;3;1;1
301234;2010;3;5;23;1;1;3;1;1;1;1;1;1;5;3;1;1;1
305120;2010;3;4;36;1;1;3;1;1;1;1;1;2;3;2;3;1;1
302015;2010;3;1;7;3;1;4;1;1;1;1;1;1;1;1;3;2;3
301981;2010;3;5;23;1;1;3;1;1;1;1;1;1;4;3;1;1;1
302098;2010;3;1;17;1;1;2;1;1;1;1;1;1;3;1;1;1;1
302704;2010;3;1;36;1;1;3;1;1;1;1;1;2;2;1;3;1;1
305153;2010;3;2;7;1;1;2;1;1;1;1;1;1;4;1;1;2;1
301358;2010;3;1;2;1;1;9;1;1;1;1;1;1;4;1;3;1;1
300990;2010;3;4;23;1;1;3;1;1;1;1;1;1;4;3;1;1;1
301777;2010;3;2;29;1;1;4;1;1;1;1;1;1;3;2;1;1;1
307695;2010;3;1;3;2;1;9;1;1;1;1;1;1;3;2;1;1;1
301229;2010;3;6;23;1;1;3;1;1;1;1;1;1;5;3;3;1;1
304874;2010;3;5;36;1;1;1;1;1;1;1;1;1;4;3;3;2;1
305935;2010;3;7;29;1;1;4;1;1;1;1;1;1;4;4;1;1;1
311040;2010;3;2;3;2;1;9;1;1;1;1;1;1;4;3;1;1;1
302785;2010;3;6;23;1;1;3;1;1;1;1;1;1;4;3;3;1;1
303656;2010;3;5;36;1;1;1;1;1;1;1;1;3;4;3;1;1;1
305376;2010;3;4;29;1;1;4;1;1;1;1;1;1;1;1;3;1;1
301049;2010;3;5;29;2;1;9;1;1;1;1;1;1;3;3;4;1;1
301049;2010;3;1;29;2;1;9;1;1;1;1;1;1;0;0;0;0;0
303857;2010;3;2;36;2;1;1;1;1;1;1;1;3;3;2;3;1;1
304669;2010;3;3;2;2;1;1;1;1;1;1;1;1;3;2;3;1;1
302573;2010;3;1;36;2;1;1;1;1;1;1;1;2;2;1;3;1;1
303831;2010;3;2;29;2;1;4;1;1;1;1;1;1;1;1;6;1;1
305330;2010;3;1;36;2;1;9;1;1;1;1;1;2;1;1;1;1;1
303724;2010;3;2;7;2;1;9;1;1;1;1;1;1;3;2;1;2;1
302366;2010;3;1;2;2;1;2;1;1;1;1;1;1;3;1;3;1;1
256199;2010;3;2;19;1;1;1;1;1;1;1;1;1;4;2;1;1;1
307369;2010;3;5;29;2;1;2;1;1;1;1;1;1;5;3;1;1;1
280609;2010;3;1;3;2;1;9;1;1;1;1;1;1;3;1;1;1;1
307599;2010;3;1;17;1;1;3;1;1;1;1;1;1;3;2;1;1;1
264777;2010;3;4;19;2;1;1;1;1;1;1;1;2;4;3;1;1;1
306997;2010;3;1;7;2;1;9;1;1;1;1;1;1;5;1;1;2;1
200266;2010;3;2;19;1;1;4;1;1;1;1;1;1;8;2;1;1;1
307685;2010;3;1;7;2;1;9;1;1;1;1;1;1;2;1;3;2;1
311138;2010;3;2;36;1;1;1;1;1;1;1;1;1;4;1;1;1;1
312409;2010;3;3;17;2;1;9;1;1;1;1;1;1;4;3;1;1;1
310272;2010;3;2;7;2;1;9;1;1;1;1;1;1;4;1;6;2;1
202672;2010;3;5;3;1;1;9;1;1;1;1;1;1;4;3;3;1;1
308353;2010;3;4;29;2;1;2;1;1;1;1;1;1;4;3;1;1;1
130258;2010;3;2;19;1;1;1;1;1;1;1;1;1;3;2;1;1;1
311189;2010;3;2;23;1;1;1;1;1;1;1;1;1;4;2;1;1;1
306959;2010;3;4;17;2;1;9;1;1;1;1;1;1;4;3;1;1;1
273507;2010;3;2;19;2;1;9;1;1;1;1;1;1;4;2;2;1;1
181378;2010;3;4;19;2;1;9;1;1;1;1;1;1;4;3;1;1;1
307346;2010;3;2;7;1;1;4;1;1;1;1;1;1;4;1;1;2;1
197281;2010;3;1;19;2;1;1;1;1;1;1;1;1;4;1;1;1;1
239496;2010;3;4;19;2;1;9;1;1;1;1;1;2;4;3;3;1;1
308129;2010;3;1;7;1;1;4;1;1;1;1;1;1;6;1;6;2;1
308095;2010;3;2;17;1;1;3;1;1;1;1;1;1;5;2;1;1;1
197334;2010;3;2;3;2;1;9;1;1;1;1;1;1;3;2;1;1;1
308818;2010;3;4;29;1;1;2;1;1;1;1;1;1;2;2;3;1;1
311267;2010;3;2;36;2;1;1;1;1;1;1;1;1;3;2;3;1;1
307470;2010;3;1;7;3;1;4;1;1;1;1;1;1;1;1;3;2;1
307102;2010;3;4;23;1;1;1;1;1;1;1;1;1;6;3;1;1;1
307890;2010;3;4;29;2;1;3;1;1;1;1;1;1;3;3;1;1;1
236616;2010;3;1;3;2;1;9;1;1;1;1;1;1;3;1;1;1;1
310876;2010;3;3;17;1;1;3;1;1;1;1;1;1;4;3;1;1;1
308899;2010;3;4;23;1;1;1;1;1;1;1;1;1;6;3;1;1;1
309770;2010;3;2;36;2;1;1;1;1;1;1;1;1;2;1;3;1;1
311059;2010;3;5;29;1;1;2;1;1;1;1;1;1;6;4;1;1;1
311490;2010;3;2;7;2;1;9;1;1;1;1;1;1;4;2;1;2;1
307161;2010;3;2;23;1;1;1;1;1;1;1;1;1;4;1;1;1;1
309971;2010;3;1;29;2;1;9;1;1;1;1;1;1;3;1;1;1;1
309971;2010;3;1;29;2;1;9;1;1;1;1;1;1;0;0;0;0;0
310783;2010;3;2;17;2;1;9;1;1;1;1;1;1;4;2;1;1;1
309945;2010;3;3;17;1;1;1;1;1;1;1;1;1;3;3;3;1;1
311444;2010;3;1;23;2;1;1;1;1;1;1;1;1;2;1;6;1;1
307529;2010;3;5;23;1;1;1;1;2;1;1;1;1;1;1;6;2;3
309838;2010;3;3;29;2;1;9;1;1;1;1;1;1;4;2;3;1;1
217917;2010;3;1;3;2;1;9;1;1;1;1;1;1;2;1;3;1;1
213291;2010;3;1;3;2;1;9;1;1;1;1;1;1;3;2;3;1;1
308480;2010;3;6;29;2;1;9;1;1;1;1;1;1;5;3;1;1;1
267076;2010;3;1;3;2;1;9;1;1;1;1;1;1;2;1;1;1;1
162371;2010;3;2;7;2;1;9;1;1;1;1;1;1;3;1;2;2;1
247520;2010;3;2;23;2;1;9;1;1;1;1;1;1;3;2;3;1;1
301207;2010;3;7;19;1;1;2;1;1;1;1;1;1;4;3;1;1;1
212601;2010;3;2;23;1;1;2;1;1;1;1;1;1;4;2;3;1;1
129661;2010;3;1;2;2;1;9;1;1;1;1;1;1;1;1;2;1;1
205576;2010;3;3;29;2;1;9;1;1;1;1;1;1;3;2;3;1;1
132464;2010;3;3;2;2;1;9;2;1;1;1;1;1;3;1;3;1;1
143392;2010;3;4;3;2;1;9;1;1;1;1;1;1;5;3;3;1;1
304396;2010;3;1;19;1;1;1;1;1;1;1;1;1;7;1;1;1;1
304396;2010;3;1;19;1;1;1;1;1;1;1;1;1;0;0;0;0;0
178412;2010;3;6;23;1;1;1;1;1;1;1;1;1;4;3;3;1;1
234802;2010;3;1;29;2;1;9;1;1;1;1;1;1;1;1;3;1;1
132222;2010;3;1;7;2;1;2;1;1;1;1;1;1;3;1;1;2;1
213119;2010;3;2;23;1;1;2;1;1;1;1;1;1;3;2;3;1;1
243798;2010;3;1;36;2;1;9;1;1;1;1;1;1;1;1;1;1;1
304512;2010;3;3;19;1;1;1;1;1;1;1;1;1;6;2;1;1;1
305237;2010;3;1;19;1;1;1;1;1;1;1;1;1;3;1;1;1;1
235738;2010;3;1;2;2;1;9;2;1;1;1;1;1;2;1;2;1;1
267204;2010;3;2;17;1;1;1;1;1;1;1;1;1;4;2;1;1;1
282581;2010;3;2;3;2;1;9;1;1;1;1;1;1;2;1;1;1;1
235350;2010;3;1;36;2;1;9;1;1;1;1;1;1;2;1;3;1;1
228687;2010;3;2;36;2;1;9;1;1;1;1;1;1;2;1;3;1;1
165984;2010;3;4;36;1;1;9;1;1;1;1;1;1;3;2;1;1;1
206508;2010;3;5;23;1;1;3;1;1;1;1;1;1;4;3;1;1;1
229503;2010;3;3;29;2;1;2;1;1;1;1;1;1;5;3;1;1;1
207417;2010;3;2;23;1;1;3;1;1;1;1;1;1;4;2;1;1;1
162117;2010;3;1;2;2;1;2;1;1;1;1;1;1;3;1;1;1;1
262210;2010;3;2;3;1;1;4;1;1;1;1;1;1;3;2;3;1;1
171283;2010;3;5;2;1;1;1;1;1;1;1;1;1;6;6;3;1;1
145996;2010;3;2;2;2;1;2;1;1;1;1;1;1;2;2;3;1;1
204385;2010;3;1;7;2;1;9;1;1;1;1;1;1;1;1;3;2;1
250560;2010;3;4;17;1;1;3;1;1;1;1;1;1;4;3;1;1;1
163218;2010;3;2;3;2;1;4;1;1;1;1;1;1;4;1;1;1;1
210117;2010;3;2;17;1;1;3;1;1;1;1;1;1;3;2;1;1;1
157308;2010;3;2;3;2;1;9;1;1;1;1;1;1;1;1;3;2;1
232737;2010;3;1;7;2;1;2;1;1;1;1;1;1;2;1;3;2;1
214362;2010;3;2;17;1;1;1;1;1;1;1;1;1;1;1;1;1;1
226896;2010;3;3;17;1;1;3;1;1;1;1;1;1;4;3;1;1;1
201489;2010;3;1;29;2;1;9;1;1;1;1;1;1;2;2;1;1;1
201489;2010;3;1;29;2;1;9;1;1;1;1;1;1;0;0;0;0;0
248529;2010;3;2;29;2;1;9;1;1;1;1;1;1;5;2;1;1;1
222421;2010;3;1;29;4;1;4;1;1;1;1;1;1;1;1;3;1;2
282191;2010;3;5;17;1;1;3;1;1;1;1;1;1;4;3;1;1;1
141110;2010;3;1;17;1;1;4;1;1;1;1;1;1;4;1;1;1;1
128762;2010;3;1;14;1;1;4;1;1;1;1;1;1;2;2;1;1;1
194594;2010;3;2;29;2;1;9;1;1;1;1;1;1;1;1;3;1;1
150961;2010;3;2;23;1;1;2;1;1;1;1;1;1;4;2;1;1;1
227071;2010;3;2;2;2;1;9;1;1;1;1;1;1;1;1;3;1;1
244661;2010;3;2;23;1;1;2;1;1;1;1;1;1;4;1;1;1;1
172551;2010;3;1;14;1;1;4;1;1;1;1;1;1;3;1;1;1;1
222501;2010;3;2;2;1;1;9;1;1;1;1;1;1;2;2;1;1;1
176282;2010;3;4;14;1;1;4;1;1;1;1;1;1;4;2;3;1;1
155214;2010;3;3;23;1;1;2;1;1;1;1;1;1;3;2;1;1;1
228336;2010;3;1;17;2;1;1;1;1;1;1;1;1;2;2;3;1;1
207512;2010;3;2;14;2;1;1;1;1;1;1;1;1;3;2;1;1;1
251997;2010;3;3;23;1;1;3;1;1;1;1;1;1;6;3;1;1;1
160109;2010;3;2;14;2;1;2;1;1;1;1;1;1;3;1;1;1;1
130578;2010;3;2;14;2;1;2;1;1;1;1;1;1;2;1;5;1;1
285612;2010;3;4;14;1;1;4;1;1;1;1;1;1;4;3;1;1;1
164583;2010;3;2;23;2;1;9;1;1;1;1;1;1;3;1;1;1;1
300849;2010;3;1;3;2;1;9;1;1;1;1;1;1;1;1;3;1;1
188823;2010;3;2;2;1;1;9;1;1;1;1;1;1;4;2;1;1;1
151479;2010;3;2;23;1;1;3;1;1;1;1;1;1;3;2;4;1;1
210570;2010;3;4;23;1;1;2;1;1;1;1;1;1;3;2;1;1;1
242848;2010;3;1;17;1;1;1;1;1;1;1;1;1;3;1;1;1;1
301687;2010;3;1;3;2;1;9;1;1;1;1;1;1;1;1;3;1;1
302411;2010;3;3;3;2;1;9;1;1;1;1;1;1;2;1;3;1;1
253778;2010;3;1;7;2;1;9;1;1;1;1;1;1;4;1;3;2;1
304710;2010;3;6;3;2;1;9;1;1;1;1;1;1;4;3;3;1;1
194086;2010;3;1;17;2;1;1;1;1;1;1;1;1;2;1;3;1;1
305301;2010;3;3;3;2;1;9;1;1;1;1;1;1;2;1;3;1;1
277990;2010;3;2;17;2;1;1;2;1;1;1;1;1;1;1;3;1;1
131949;2010;3;1;2;2;1;2;1;1;1;1;1;1;0;0;0;0;0
214024;2010;3;3;2;2;1;2;1;1;1;1;1;1;2;2;3;1;1
247837;2010;3;1;7;1;1;5;1;1;1;1;1;1;4;1;2;2;1
220680;2010;3;2;29;2;2;2;1;1;1;1;1;1;1;1;3;1;1
286205;2010;3;2;7;2;1;4;1;1;1;1;1;1;5;2;3;2;1
251766;2010;3;2;17;2;1;1;1;1;1;1;1;1;1;1;3;1;1
142375;2010;3;3;2;2;1;4;1;1;1;1;1;1;2;1;2;1;1
202415;2010;3;1;17;2;1;1;1;1;1;1;1;1;1;1;3;1;1
