"CODUSU";"ANO4";"TRIMESTRE";"NRO_HOGAR";"REALIZADA";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4"
"TQRMNOSRWHKMLOCDEFMDB00652779";2021;2;1;1;43;"N";6;176;1;"";1;1;"";4;1;1;1;"";1;2;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;0;"12";"12";"12";"";"12";"12";0;"12";"12";"12";"";"12";"12";0;1;0;98;0;0;0
"TQRMNOPQSHMMLPCDEFMDB00698578";2021;2;1;1;43;"N";6;272;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;2;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;4;1;3;172000;"10";"10";"10";"";"10";"10";43000;"8";"9";"8";"";"9";"9";430;2;1;98;0;0;0
"TQRMNOPXXHMMLPCDEFMDB00698579";2021;2;1;1;43;"N";6;97;1;"";3;1;"";2;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;52000;"5";"5";"5";"";"5";"6";26000;"6";"7";"6";"";"7";"6";138;2;0;1;0;0;0
"TQRMNOPUYHJNKOCDEHJGH00658556";2021;2;3;1;40;"S";23;137;2;"";2;1;"";4;1;2;1;"";1;2;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;2;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;1;0;1;0;"0";"0";"0";"0";"";"0";0;"0";"0";"0";"0";"";"0";136;1;0;98;0;0;0
"TQRMNOSWSHLMKSCDEGLDF00708542";2021;2;1;1;41;"N";15;154;1;"";1;1;"";2;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;1;1;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;85000;"7";"8";"8";"";"8";"9";42500;"8";"9";"10";"";"9";"10";182;1;0;2;0;0;0
"TQRMNOSWUHLMKSCDEGLDF00708543";2021;2;1;1;41;"N";15;289;1;"";5;1;"";4;1;1;1;"";1;1;1;1;2;2;2;5;3;1;1;1;1;1;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;2;1;2;2;2;2;3;2;1;15000;"1";"1";"1";"";"1";"1";5000;"1";"1";"1";"";"1";"1";333;1;0;98;0;0;0
"TQRMNOSQVHKLKTCDEGJBF00653682";2021;2;1;1;43;"S";13;767;1;"";6;1;"";1;1;1;1;"";1;1;1;1;2;2;2;6;2;1;1;1;2;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;4;0;4;315000;"10";"10";"10";"10";"";"10";78750;"10";"10";"10";"10";"";"10";769;2;0;98;0;0;0
"TQRMNORQRHLOKTCDEGJBF00708544";2021;2;1;1;43;"S";13;832;1;"";3;1;"";2;1;1;1;"";1;1;1;3;2;2;1;3;1;2;0;1;2;2;2;0;2;0;6;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;0;1;23000;"2";"2";"2";"2";"";"2";23000;"6";"6";"6";"5";"";"6";828;1;0;97;0;0;0
"TQRMNOQPSHKKLNCDEGJBF00653676";2021;2;1;1;43;"S";13;1232;2;"";3;1;"";9;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;140000;"9";"10";"10";"9";"";"9";70000;"10";"10";"10";"10";"";"10";1317;1;2;98;0;0;0
"TQRMNOQQXHLLLOCDEGJBF00708545";2021;2;1;1;43;"S";13;500;2;"";2;1;"";9;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;30000;"2";"2";"2";"2";"";"3";30000;"7";"7";"7";"7";"";"7";510;1;0;98;0;0;0
"TQRMNOPVVHMOLRCDEGJBF00698644";2021;2;1;1;43;"S";13;497;1;"";3;2;"";2;2;1;1;"";1;1;1;2;2;2;2;3;2;2;0;1;2;2;2;0;2;0;3;"";2;"";1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;1;2;1;2;2;2;2;6;1;5;54200;"5";"5";"5";"5";"";"5";9033,33;"2";"2";"2";"2";"";"2";514;1;0;3;1;0;0
"TQRMNORVPHLLLQCDEGJBF00708546";2021;2;1;1;43;"S";13;829;1;"";4;1;"";2;1;1;1;"";1;1;1;1;2;2;2;4;2;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2;1;2;2;2;2;3;0;3;39000;"3";"3";"3";"3";"";"3";13000;"3";"3";"3";"3";"";"3";834;1;2;98;0;0;0
"TQRMNOSTUHJKLOCDEGJBF00708547";2021;2;1;1;43;"S";13;926;1;"";3;1;"";1;2;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;3;"";1;"";1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;1;0;1;25000;"2";"2";"2";"2";"";"2";25000;"6";"6";"6";"6";"";"6";955;1;0;98;0;0;0
"TQRMNOPRRHLOLSCDEGJBF00708548";2021;2;1;1;43;"S";13;676;1;"";4;1;"";2;1;1;1;"";1;1;1;2;2;2;2;4;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;0;2;564500;"10";"10";"10";"10";"";"10";282250;"10";"10";"10";"10";"";"10";716;1;0;98;0;0;0
"TQRMNOSRSHJOLQCDEGJBF00661110";2021;2;1;1;43;"S";13;722;1;"";2;1;"";2;1;1;1;"";1;1;1;2;2;2;2;2;1;2;0;1;1;1;2;0;2;0;6;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;1;2;150000;"9";"10";"10";"9";"";"10";50000;"9";"9";"9";"9";"";"9";723;1;2;97;0;0;0
"TQRMNOPYVHMMLUCDEGJBF00701224";2021;2;1;1;43;"S";13;698;1;"";2;1;"";2;1;1;1;"";1;1;1;2;2;2;2;2;2;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;1;2;2;2;4;0;4;163000;"10";"10";"10";"10";"";"10";40750;"8";"9";"8";"8";"";"8";716;1;0;98;0;0;0
"TQRMNOPWYHLMLTCDEGJBF00708549";2021;2;1;1;43;"S";13;692;1;"";3;1;"";2;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;6;"";1;"";1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;1;2;2;2;2;2;2;1;0;1;20000;"1";"1";"1";"1";"";"2";20000;"5";"5";"5";"5";"";"5";706;1;0;98;0;0;0
"TQRMNOQQVHJMLTCDEGJBF00657787";2021;2;1;1;43;"S";13;650;2;"";3;1;"";2;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;2;2;1;2;0;2;0;6;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;48000;"4";"4";"5";"4";"";"5";24000;"6";"6";"6";"6";"";"6";671;2;0;98;0;0;0
