CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4
TQRMNOSPYHKOLQCDEGNFJ00789611;2022;4;1;1;44;N;17;356;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;2;2;2;0;0;0;0;9;pagando terreno y vivienda;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;4;1;3;400000;10;10;9;;10;10;100000;8;9;8;;9;8;558;1;2;98;0;0;0
TQRMNOQXUHMOLQCDEGNFJ00713295;2022;4;1;1;44;N;17;239;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;2;2;2;0;0;0;0;1;;1;;1;1;1;2;2;2;2;1;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;5;1;4;0;12;12;12;;12;12;0;12;12;12;;12;12;0;2;0;4;0;0;0
TQRMNORRSHJMKMCDEOJAH00794456;2022;4;1;1;44;N;93;40;2;;1;1;;2;2;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;5;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;0;12;12;12;;12;12;0;12;12;12;;12;12;0;1;0;98;0;0;0
TQRMNOSVUHLMKNCDEOJAH00720329;2022;4;1;1;44;N;93;95;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;1;2;0;1;2;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;92000;3;4;2;;4;2;92000;8;8;7;;9;8;108;1;0;98;0;0;0
TQRMNOSQWHJOKNCDEOJAH00794457;2022;4;1;1;44;N;93;89;1;;3;1;;3;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;50000;1;1;1;;1;1;16666,67;1;1;1;;1;1;112;1;0;96;0;0;0
TQRMNOQVVHJLKOCDEOJAH00794458;2022;4;1;1;44;N;93;155;1;;5;1;;2;1;1;1;;1;1;1;1;2;2;2;5;2;2;0;1;2;2;2;0;2;0;4;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;90000;3;3;2;;4;2;45000;5;5;3;;5;3;213;1;0;98;0;0;0
TQRMNOQVSHKMKPCDEOJAH00793041;2022;4;1;1;44;N;93;99;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;80000;3;3;2;;3;2;20000;1;2;1;;2;1;117;2;0;98;0;0;0
TQRMNOQPXHKKKQCDEOJAH00793105;2022;4;1;1;44;N;93;138;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;3;0;3;120000;5;5;3;;5;3;40000;4;4;3;;4;3;180;1;0;98;0;0;0
TQRMNOPYWHMMKPCDEOJAH00712961;2022;4;1;1;44;N;93;44;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;120000;5;5;3;;5;4;60000;6;7;5;;7;5;48;1;0;98;0;0;0
TQRMNOSUQHMNKQCDEOJAH00713341;2022;4;1;1;44;N;93;80;1;;5;1;;1;1;1;1;;1;1;1;1;2;2;2;5;1;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;115000;4;5;3;;5;3;57500;6;6;4;;7;5;101;1;0;98;0;0;0
