CODUSU;ANO4;TRIMESTRE;IX_TOT;AGLOMERADO;IV1;IV3;IV4;IV5;IV6;IV7;IV8;IV10;IV11;II1;II2;II7;II8;II9
392831;2014;1;3;2;1;1;4;1;1;1;1;1;2;4;3;1;2;1
388065;2014;1;4;2;1;2;4;2;1;1;1;1;2;2;1;4;2;1
389449;2014;1;4;2;1;2;4;2;1;1;1;1;2;3;3;1;2;1
387903;2014;1;5;2;1;1;4;1;1;1;1;1;2;3;3;1;2;1
388712;2014;1;1;2;1;1;4;1;1;1;1;1;2;1;1;1;1;1
393223;2014;1;1;2;1;1;4;2;1;1;1;1;2;1;1;1;1;1
389137;2014;1;2;2;1;1;4;1;1;1;1;1;1;4;1;1;1;1
399163;2014;1;3;2;1;1;3;1;1;1;1;1;2;4;2;1;1;1
401506;2014;1;1;2;1;1;2;1;1;1;1;1;3;2;1;6;1;1
395481;2014;1;4;2;1;1;3;1;1;1;1;1;2;3;2;1;1;1
402733;2014;1;5;2;1;1;4;1;1;1;1;1;2;3;3;1;2;1
399343;2014;1;1;2;1;1;4;1;1;1;1;1;2;4;1;1;1;1
394081;2014;1;4;2;1;2;4;2;1;1;1;1;2;4;3;1;1;1
392072;2014;1;1;2;1;1;4;1;1;1;1;1;1;3;1;2;1;1
388942;2014;1;4;2;1;1;3;1;1;1;1;1;1;8;3;1;1;1
390059;2014;1;2;2;1;1;1;1;1;1;1;1;1;3;1;1;1;1
393099;2014;1;4;2;1;1;4;1;1;1;1;1;2;3;2;1;1;1
393019;2014;1;2;2;1;1;4;1;1;1;1;2;3;1;1;3;1;1
392240;2014;1;4;2;1;1;4;1;1;1;1;1;2;2;2;1;2;1
392851;2014;1;1;2;1;1;1;1;1;1;1;1;2;2;1;1;2;1
390644;2014;1;4;2;1;2;1;1;1;1;1;2;2;2;2;2;2;1
395265;2014;1;5;2;1;1;4;2;1;1;1;1;1;3;2;1;1;1
393936;2014;1;5;2;1;2;4;1;1;1;1;1;2;3;3;1;2;1
401626;2014;1;4;2;1;1;2;1;1;1;1;1;2;3;2;1;1;1
395454;2014;1;3;2;1;1;2;2;1;1;1;1;1;4;2;1;2;1
401073;2014;1;5;2;1;1;4;1;1;1;1;1;1;4;3;1;1;1
396865;2014;1;2;2;1;2;4;1;1;1;1;1;1;2;1;1;1;1
403075;2014;1;5;2;1;1;4;1;1;1;1;1;1;3;2;4;1;1
393861;2014;1;2;2;1;1;4;1;1;1;1;1;2;2;2;1;2;1
