CODUSU;ANO4;TRIMESTRE;IX_TOT;AGLOMERADO;IV1;IV3;IV4;IV5;IV6;IV7;IV8;IV10;IV11;II1;II2;II7;II8;II9
355606;2013;4;5;2;1;2;1;1;1;1;1;1;3;3;1;1;2;1
355643;2013;4;3;2;1;1;4;1;1;1;1;1;1;3;2;1;1;1
355660;2013;4;3;2;1;1;1;1;1;1;1;1;1;2;1;4;1;1
355718;2013;4;2;2;1;1;4;1;1;1;1;1;1;3;1;1;1;1
355739;2013;4;3;2;2;1;4;1;1;1;1;1;1;3;1;3;1;1
355749;2013;4;3;2;2;1;4;2;1;1;1;1;3;3;2;1;1;1
355797;2013;4;1;2;1;1;1;1;1;1;1;1;1;3;1;3;1;1
355801;2013;4;2;2;2;1;4;1;1;1;1;1;1;2;1;1;1;1
355805;2013;4;3;2;1;1;5;1;1;1;1;1;1;4;1;1;1;1
355855;2013;4;1;2;1;1;4;1;1;1;1;1;1;2;1;1;1;1
355857;2013;4;1;2;2;1;9;1;1;1;1;1;1;2;1;3;1;1
355877;2013;4;2;2;2;1;2;1;1;1;1;1;1;3;2;3;1;1
355953;2013;4;5;2;2;1;4;1;1;1;1;1;1;2;2;1;1;1
355984;2013;4;3;2;1;1;1;1;1;1;1;1;1;3;2;1;1;1
355988;2013;4;3;2;1;1;4;1;1;1;1;1;1;2;2;3;1;1
356159;2013;4;2;2;1;1;2;1;1;1;1;1;1;3;2;1;2;1
356172;2013;4;1;2;2;1;2;1;1;1;1;1;1;2;1;3;1;1
356294;2013;4;4;2;1;1;1;1;1;1;1;1;1;2;2;3;1;1
356353;2013;4;1;2;2;1;2;1;1;1;1;1;1;2;1;2;1;1
356403;2013;4;5;2;1;1;4;1;1;1;1;1;2;3;3;1;1;1
356422;2013;4;1;2;2;1;2;1;1;1;1;1;1;2;1;4;1;1
356507;2013;4;1;2;2;1;9;1;1;1;1;1;1;2;1;3;1;1
356540;2013;4;3;2;2;1;3;1;1;1;1;1;1;3;2;3;1;1
356620;2013;4;3;2;1;1;4;1;1;1;1;1;1;5;3;1;1;1
356688;2013;4;2;2;1;1;4;1;1;1;1;1;1;3;2;1;1;1
356704;2013;4;5;2;1;1;4;1;1;1;1;1;1;3;2;1;1;1
356707;2013;4;1;2;1;1;5;1;1;1;1;1;1;3;1;1;1;1
356775;2013;4;5;2;1;1;4;1;2;1;1;1;2;1;1;1;2;3
356816;2013;4;1;2;2;1;9;1;1;1;1;1;1;2;1;3;1;1
356873;2013;4;2;2;1;1;4;1;1;1;1;1;1;3;1;1;1;1
356894;2013;4;6;2;1;1;4;1;1;1;1;1;1;4;3;1;1;1
356962;2013;4;3;2;1;1;3;1;1;1;1;1;1;5;2;3;1;1
357005;2013;4;1;2;1;1;4;2;1;1;1;1;1;2;1;6;1;1
357193;2013;4;2;2;1;1;4;1;1;1;1;1;1;3;1;1;1;1
357220;2013;4;2;2;2;1;4;1;1;1;1;1;1;3;2;3;1;1
357227;2013;4;1;2;1;1;4;1;1;1;1;1;1;3;1;1;1;1
357272;2013;4;3;2;2;1;4;1;1;1;1;1;1;3;2;1;1;1
357330;2013;4;3;2;2;2;2;1;1;1;1;1;1;3;2;1;1;1
357334;2013;4;2;2;1;1;4;1;1;1;1;1;1;3;1;1;1;1
357348;2013;4;2;2;2;1;2;1;1;1;1;1;1;2;2;3;1;1
357495;2013;4;2;2;3;1;3;1;1;1;1;1;1;1;1;6;1;3
357556;2013;4;3;2;2;1;9;1;1;1;1;1;1;3;2;3;1;1
357626;2013;4;3;2;2;1;2;1;1;1;1;1;1;2;2;3;1;1
