CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4
"TQRMNOPRWHMKMTCDEIIAD00632820";2020;2;2;1;1;;32;1302;2;;3;1;;9;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;2;2;2;0;0;0;0;2;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;25000;"03";"  ";"03";;;"02";25000;"08";"  ";"08";;;"05";1745;1;0;98;0;0;0
"TQRMNORSQHMKMTCDEIIAD00638500";2020;2;1;1;1;;32;1302;1;;4;1;;2;1;1;1;;1;1;1;1;2;2;2;4;1;2;0;2;1;2;2;0;2;0;2;;3;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;20000;"02";"  ";"02";;;"01";20000;"07";"  ";"07";;;"04";1829;1;0;98;0;0;0
"TQRMNOPVVHLLMRCDEIIAD00644974";2020;2;1;1;1;;32;3354;1;;4;1;;2;1;1;1;;1;1;1;1;2;2;2;4;1;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;"12";"  ";"12";;;"12";0;"12";"  ";"12";;;"12";0;2;0;98;0;0;0
"TQRMNOPWXHMKMUCDEIIAD00633017";2020;2;1;1;1;;32;5697;1;;5;1;;2;1;1;1;;1;1;1;1;2;2;2;5;4;2;0;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;4;1;3;32800;"04";"  ";"04";;;"02";8200;"03";"  ";"03";;;"01";7414;2;0;98;0;0;0
"TQRMNOSRWHKKMSCDEIIAD00655802";2020;2;1;1;1;;32;3158;2;;3;1;;3;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;4;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;5;2;3;0;"12";"  ";"12";;;"12";0;"12";"  ";"12";;;"12";0;1;0;98;0;0;0
"TQRMNOSRYHKKMSCDEIIAD00655766";2020;2;1;1;1;;32;1856;1;;3;1;;3;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;"12";"  ";"12";;;"12";0;"12";"  ";"12";;;"12";0;1;2;98;0;0;0
"TQRMNOSSPHKKMSCDEIIAD00655767";2020;2;1;1;1;;32;1856;1;;3;1;;3;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;40000;"05";"  ";"05";;;"03";40000;"09";"  ";"09";;;"07";2210;97;0;98;0;0;0
"TQRMNOPQSHMKNLCDEIIAD00632901";2020;2;1;1;1;;32;2648;2;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;13600;"01";"  ";"01";;;"01";13600;"05";"  ";"05";;;"02";3623;1;0;98;0;0;0
"TQRMNOPPYHKMNUCDEIIAD00655739";2020;2;1;1;1;;32;1808;1;;5;1;;3;1;1;1;;1;1;1;1;2;2;2;5;1;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;0;"12";"  ";"12";;;"12";0;"12";"  ";"12";;;"12";0;1;2;96;0;0;0
"TQRMNOQQPHKMOLCDEIIAD00655780";2020;2;1;1;1;;32;3791;2;;4;1;;2;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;1;2;2;2;2;3;0;3;71000;"08";"  ";"08";;;"06";23666,67;"08";"  ";"08";;;"05";6473;2;0;1;0;0;0
"TQRMNOQRUHKMOLCDEIIAD00655677";2020;2;1;1;1;;32;5571;2;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;8;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;55800;"07";"  ";"07";;;"05";13950;"05";"  ";"05";;;"02";10829;1;2;98;0;0;0
"TQRMNOSSVHKMOLCDEIIAD00655740";2020;2;1;1;1;;32;3547;2;;3;1;;9;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;82000;"09";"  ";"09";;;"07";82000;"10";"  ";"10";;;"10";5567;1;0;98;0;0;0
"TQRMNOQPQHLMMMCDEIJAH00639274";2020;2;1;1;1;;33;9639;1;;2;2;;1;1;1;2;;1;1;2;2;2;1;2;2;1;2;0;1;2;2;2;0;2;0;6;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;22800;"03";"  ";"03";;;"03";5700;"02";"  ";"02";;;"02";12812;2;0;98;0;0;0
