CODUSU;ANO4;TRIMESTRE;IX_TOT;AGLOMERADO;IV1;IV3;IV4;IV5;IV6;IV7;IV8;IV10;IV11;II1;II2;II7;II8;II9
125471;2005;3;2;2;2;1;1;1;1;1;1;1;1;4;2;1;1;1
125569;2005;3;3;2;1;1;3;1;1;1;1;1;1;3;2;1;1;1
126155;2005;3;3;2;2;1;2;1;1;1;1;1;1;3;2;1;1;1
126214;2005;3;1;2;1;1;4;1;1;1;1;1;1;2;1;1;1;1
126284;2005;3;1;2;2;1;2;1;1;1;1;1;1;2;1;3;1;1
127062;2005;3;7;2;1;1;4;1;1;1;1;1;2;3;3;1;2;1
127600;2005;3;4;2;1;1;4;1;1;1;1;1;2;3;2;1;1;1
128141;2005;3;4;2;1;1;3;1;1;1;1;1;1;3;2;1;1;1
128165;2005;3;4;2;1;1;4;1;1;2;1;1;2;3;2;8;1;1
128627;2005;3;4;2;1;1;4;1;1;1;1;1;1;5;1;3;1;1
128950;2005;3;1;2;1;1;5;1;1;1;1;1;1;3;1;1;1;1
129095;2005;3;2;2;2;1;2;1;1;1;1;1;1;2;1;1;1;1
129207;2005;3;4;2;2;1;1;1;1;1;1;1;1;5;2;1;1;1
129747;2005;3;2;2;1;1;4;1;1;1;1;1;1;3;2;1;1;1
129794;2005;3;4;2;2;1;1;1;1;1;1;1;1;2;2;3;2;1
130185;2005;3;5;2;1;1;4;1;1;1;1;1;2;4;3;1;1;1
130203;2005;3;2;2;2;1;1;1;1;1;1;1;1;1;1;3;1;1
130426;2005;3;2;2;1;2;3;1;1;1;1;2;2;2;1;1;2;1
130481;2005;3;3;2;1;1;5;1;1;1;1;1;1;3;1;3;1;1
130882;2005;3;1;2;1;1;3;1;1;1;1;1;1;5;2;1;1;1
131425;2005;3;1;2;2;1;2;1;1;1;1;1;1;2;1;2;1;1
131882;2005;3;5;2;1;1;4;1;1;1;1;1;2;4;4;1;2;1
132241;2005;3;4;2;1;1;5;1;1;1;1;1;1;4;2;3;1;1
132312;2005;3;4;2;1;1;4;1;1;1;1;1;1;4;2;1;1;1
132397;2005;3;2;2;1;1;4;1;1;1;1;1;1;3;1;1;1;1
132634;2005;3;8;2;1;1;4;1;1;1;1;1;1;3;3;7;2;1
133080;2005;3;4;2;1;1;4;1;1;1;1;1;2;3;2;1;2;1
133324;2005;3;1;2;1;1;4;1;1;1;1;1;1;4;1;1;1;1
133764;2005;3;5;2;1;1;4;1;1;1;1;1;2;2;2;1;2;1
134014;2005;3;4;2;1;1;3;1;1;1;1;1;2;4;2;1;1;1
134338;2005;3;2;2;2;1;2;1;1;1;1;1;1;2;1;3;1;1
134557;2005;3;4;2;1;1;1;1;1;1;1;1;1;3;2;4;2;1
134638;2005;3;2;2;1;1;4;1;1;1;1;1;1;2;1;1;1;1
135121;2005;3;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1
135329;2005;3;1;2;1;1;4;1;1;1;1;1;1;2;1;1;1;1
135358;2005;3;1;2;2;1;4;1;1;1;1;1;1;1;1;4;1;1
135424;2005;3;4;2;1;1;3;1;1;1;1;1;1;3;2;1;1;1
135632;2005;3;4;2;2;1;2;1;1;1;1;1;1;6;3;1;1;1
135731;2005;3;6;2;1;1;2;2;1;1;1;1;3;4;2;1;1;1
135821;2005;3;6;2;1;1;3;1;1;1;1;1;2;4;4;1;1;1
135919;2005;3;3;2;1;1;3;1;1;1;1;1;1;2;2;1;1;1
136292;2005;3;3;2;1;1;1;1;1;1;1;1;1;3;2;1;1;1
136623;2005;3;3;2;1;1;2;1;1;1;1;1;1;2;1;1;1;1
136713;2005;3;2;2;1;2;4;1;1;1;1;1;1;2;1;2;2;1
136734;2005;3;2;2;1;1;2;2;1;1;1;1;1;2;1;1;2;1
137452;2005;3;3;2;2;1;3;1;1;2;1;1;9;3;2;1;1;1
137477;2005;3;2;2;1;1;4;1;1;1;1;1;1;1;1;3;1;1
137489;2005;3;2;2;1;1;1;1;1;1;1;1;1;4;2;3;1;1
137781;2005;3;1;2;1;1;3;1;1;1;1;1;1;2;1;1;1;1
137960;2005;3;5;2;1;1;2;1;1;1;1;1;1;3;2;1;1;1
138720;2005;3;1;2;1;1;1;1;1;1;1;1;1;3;1;1;1;1
139915;2005;3;3;2;2;1;9;1;1;1;1;1;1;3;2;3;1;1
140060;2005;3;6;2;1;1;3;1;1;1;1;1;1;4;3;1;1;1
140411;2005;3;2;2;1;1;4;1;1;1;1;1;1;5;1;2;1;1
140916;2005;3;3;2;1;1;4;1;1;1;1;1;1;3;2;3;1;1
140961;2005;3;3;2;1;1;4;1;1;2;1;1;2;1;1;1;2;1
141180;2005;3;1;2;2;1;2;1;1;1;1;1;1;3;1;6;1;1
141363;2005;3;3;2;2;1;1;1;1;1;1;1;1;3;2;3;1;1
141961;2005;3;2;2;2;1;2;1;1;1;1;1;1;3;2;1;1;1
142146;2005;3;5;2;1;1;4;1;1;1;1;1;1;5;4;1;1;1
142337;2005;3;5;2;1;1;5;1;1;1;1;1;1;3;2;1;1;1
142811;2005;3;1;2;2;1;9;1;1;1;1;1;1;4;1;1;1;1
142865;2005;3;5;2;1;1;4;1;1;1;1;1;1;2;2;1;2;1
143043;2005;3;2;2;1;1;3;1;1;2;1;1;2;3;1;1;1;1
143835;2005;3;5;2;1;1;3;1;1;1;1;1;1;5;4;1;1;1
143884;2005;3;1;2;2;1;2;1;1;1;1;1;1;1;1;3;1;1
144368;2005;3;6;2;1;1;4;1;1;1;1;1;3;2;2;1;2;1
144713;2005;3;1;2;1;1;1;1;1;1;1;1;1;4;1;1;1;1
145400;2005;3;2;2;1;1;1;1;1;1;1;1;1;3;1;1;1;1
145496;2005;3;3;2;1;1;5;1;1;1;1;1;1;4;2;1;1;1
145826;2005;3;2;2;1;1;4;1;1;1;1;1;1;3;1;1;1;1
145943;2005;3;4;2;1;1;4;2;1;1;1;1;3;3;2;1;2;1
146182;2005;3;4;2;1;1;1;1;1;1;1;1;1;4;2;1;1;1
146224;2005;3;1;2;2;1;9;1;1;1;1;1;1;2;1;1;1;1
146243;2005;3;2;2;2;0;0;0;0;0;0;0;0;2;1;2;1;1
147196;2005;3;3;2;1;1;5;1;1;1;1;1;1;4;2;1;1;1
147237;2005;3;1;2;1;1;4;1;1;1;1;1;2;3;1;1;1;1
147263;2005;3;4;2;1;1;1;2;1;2;1;1;1;3;1;1;1;1
147886;2005;3;4;2;2;1;2;1;1;1;1;1;1;3;2;1;1;1
148200;2005;3;1;2;1;1;3;1;1;1;1;1;1;2;1;1;1;1
148262;2005;3;3;2;2;1;4;1;1;1;1;1;1;3;1;1;1;1
148450;2005;3;2;2;2;1;2;1;1;1;1;1;1;3;1;1;1;1
149310;2005;3;2;2;2;1;9;1;1;1;1;1;1;1;1;3;1;1
149962;2005;3;1;2;2;1;2;1;1;1;1;1;1;2;1;2;1;1
150161;2005;3;4;2;1;1;4;1;1;1;1;1;1;3;2;1;1;1
150877;2005;3;2;2;2;1;2;1;1;1;1;1;1;3;2;1;1;1
150968;2005;3;2;2;1;1;1;1;1;1;1;1;1;3;1;1;1;1
151410;2005;3;2;2;1;1;1;1;1;1;1;1;1;3;1;4;1;1
151431;2005;3;4;2;1;1;1;1;1;1;1;1;1;3;1;3;1;1
152127;2005;3;3;2;1;1;4;1;1;1;1;1;1;2;2;1;2;1
152175;2005;3;7;2;1;1;4;1;1;1;1;1;2;4;3;1;2;1
153281;2005;3;6;2;1;1;3;1;1;1;1;1;1;4;3;1;1;1
153298;2005;3;4;2;1;1;4;1;1;1;1;1;2;3;3;1;1;1
153398;2005;3;4;2;1;1;4;1;1;1;1;1;1;4;2;4;1;1
153594;2005;3;2;2;1;1;4;1;1;1;1;1;1;3;1;1;1;1
153613;2005;3;1;2;1;1;4;1;1;2;1;1;2;3;1;1;1;1
153868;2005;3;5;2;1;1;5;1;1;1;1;1;1;8;3;1;1;1
154206;2005;3;2;2;2;1;9;1;1;1;1;1;1;5;1;1;1;1
154471;2005;3;2;2;1;1;1;1;1;1;1;1;1;4;1;1;1;1
154801;2005;3;5;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1
154845;2005;3;1;2;2;1;2;1;1;1;1;1;1;4;1;6;1;1
154966;2005;3;3;2;1;1;4;1;1;2;1;1;2;3;2;3;1;1
155021;2005;3;3;2;1;1;4;1;1;1;1;1;1;5;3;1;1;1
155109;2005;3;2;2;1;1;4;1;1;1;1;1;1;4;2;3;1;1
155178;2005;3;4;2;2;1;4;1;1;1;1;1;1;2;2;3;1;1
155212;2005;3;3;2;2;1;2;1;1;1;1;1;1;3;2;1;1;1
155478;2005;3;2;2;1;2;5;2;1;1;1;1;0;2;2;2;2;1
155634;2005;3;3;2;1;1;1;1;1;1;1;1;1;3;2;1;1;1
155643;2005;3;4;2;1;0;4;1;1;1;1;1;1;4;2;1;1;1
