CODUSU;ANO4;TRIMESTRE;IX_TOT;AGLOMERADO;IV1;IV3;IV4;IV5;IV6;IV7;IV8;IV10;IV11;II1;II2;II7;II8;II9
386698;2015;1;1;38;1;1;4;1;1;1;1;1;1;3;1;1;1;1
386699;2015;1;3;25;1;1;2;2;1;1;1;1;1;3;2;1;2;1
386702;2015;1;5;33;2;1;9;1;1;1;1;1;1;3;2;3;2;1
386703;2015;1;3;6;1;1;4;2;1;1;1;1;3;2;2;1;2;1
386708;2015;1;1;4;1;1;2;1;1;1;1;1;1;5;1;1;1;1
386710;2015;1;3;33;1;1;2;1;1;1;1;1;1;3;2;1;1;1
386713;2015;1;4;19;1;2;4;2;1;1;1;1;1;3;3;1;2;1
386715;2015;1;3;32;2;1;2;1;1;1;1;1;1;3;2;1;1;1
386716;2015;1;7;31;1;1;4;1;1;1;1;1;1;1;1;1;1;1
386717;2015;1;2;27;1;1;1;1;1;1;1;1;1;3;2;1;1;1
386718;2015;1;3;14;1;1;2;1;1;1;1;1;1;3;1;1;2;1
386719;2015;1;5;6;1;1;4;1;1;1;1;1;2;6;5;2;2;1
386720;2015;1;5;8;1;4;5;1;1;1;1;1;1;3;3;1;2;1
386721;2015;1;1;26;1;1;1;1;1;1;1;1;1;4;1;1;1;1
386723;2015;1;1;3;2;1;9;1;1;1;1;1;1;2;1;1;1;1
386724;2015;1;3;29;1;2;4;1;1;1;1;1;1;2;2;9;1;1
386725;2015;1;7;31;2;1;4;1;1;1;1;1;1;4;3;1;1;1
386727;2015;1;4;5;1;1;4;1;1;1;1;1;3;3;2;1;2;1
386729;2015;1;4;19;1;1;2;2;1;1;1;1;1;4;3;1;2;1
386730;2015;1;1;32;2;1;1;1;1;1;1;1;1;2;1;3;1;1
386733;2015;1;3;36;2;1;1;1;1;1;1;1;1;3;3;1;1;1
386734;2015;1;5;33;1;1;1;1;1;1;1;1;1;4;3;1;1;1
386735;2015;1;2;33;2;1;9;1;1;1;1;1;1;3;1;3;1;1
386736;2015;1;3;33;1;1;1;2;1;2;1;1;2;4;3;1;1;1
386737;2015;1;3;38;2;1;9;2;1;1;1;1;1;2;1;3;1;1
386739;2015;1;6;10;2;1;1;1;1;1;1;1;1;4;2;3;1;1
386741;2015;1;3;13;1;1;2;1;1;1;1;1;2;2;2;1;1;1
386743;2015;1;2;10;1;1;1;1;1;1;1;1;1;4;2;1;1;1
386744;2015;1;2;14;1;1;3;1;1;1;1;1;1;4;1;1;1;1
386745;2015;1;1;9;1;1;1;1;1;1;1;1;1;3;2;1;1;1
386746;2015;1;5;3;1;1;4;1;1;1;1;1;2;2;2;1;1;1
386747;2015;1;3;6;1;1;2;1;1;1;1;1;1;4;2;6;1;1
386749;2015;1;4;17;1;1;3;1;1;1;1;1;1;4;3;3;1;1
386750;2015;1;3;32;2;1;9;1;1;1;1;1;1;1;1;1;1;1
386751;2015;1;1;26;1;1;1;1;1;1;1;1;1;3;1;1;1;1
386752;2015;1;5;18;1;1;1;1;1;1;1;1;1;3;3;1;1;1
386753;2015;1;3;9;1;1;4;1;1;1;1;1;1;4;3;1;1;1
386754;2015;1;1;38;1;1;4;1;1;1;1;1;1;2;1;1;1;1
386759;2015;1;1;30;1;1;1;1;1;1;1;1;1;2;1;1;1;1
