CODUSU;ANO4;TRIMESTRE;IX_TOT;AGLOMERADO;IV1;IV3;IV4;IV5;IV6;IV7;IV8;IV10;IV11;II1;II2;II7;II8;II9
125133;2006;3;5;2;1;1;5;1;1;1;1;1;1;4;3;1;1;1
125175;2006;3;1;2;1;1;2;1;1;1;1;1;1;5;1;1;1;1
126214;2006;3;2;2;1;1;4;1;1;1;1;1;1;2;1;1;1;1
127031;2006;3;2;2;2;1;2;1;1;1;1;1;1;2;1;3;1;1
128066;2006;3;1;2;1;1;4;1;1;1;1;1;1;2;1;1;2;1
128163;2006;3;5;2;1;2;4;2;2;1;1;2;3;2;2;2;2;1
128165;2006;3;4;2;1;1;4;1;1;2;1;1;2;3;2;8;1;1
128627;2006;3;5;2;1;1;4;1;1;1;1;1;1;5;1;3;1;1
128950;2006;3;1;2;1;1;5;1;1;1;1;1;1;3;1;1;1;1
129095;2006;3;2;2;2;1;2;1;1;1;1;1;1;2;1;1;1;1
129207;2006;3;4;2;2;1;1;1;1;1;1;1;1;5;2;1;1;1
129558;2006;3;3;2;1;1;4;1;1;1;1;1;1;3;2;1;1;1
131239;2006;3;2;2;1;1;4;1;1;1;1;1;2;3;1;1;2;1
131424;2006;3;4;2;1;1;4;1;1;1;1;1;1;4;3;1;1;1
131935;2006;3;2;2;2;1;2;1;1;1;1;1;1;3;1;1;1;1
131973;2006;3;4;2;1;1;4;1;1;1;1;1;1;4;3;1;1;1
132046;2006;3;1;2;1;1;5;1;1;1;1;1;1;4;1;3;1;1
132312;2006;3;3;2;1;1;4;1;1;1;1;1;1;4;2;1;1;1
132397;2006;3;2;2;1;1;4;1;1;1;1;1;1;3;1;1;1;1
132778;2006;3;5;2;1;1;4;1;1;1;1;1;1;4;3;1;1;1
133080;2006;3;4;2;1;1;4;1;1;1;1;1;2;3;2;1;2;1
133324;2006;3;1;2;1;1;4;1;1;1;1;1;1;4;1;1;1;1
133764;2006;3;5;2;1;1;4;1;1;1;1;1;2;2;2;1;2;1
133943;2006;3;2;2;2;1;2;1;1;1;1;1;1;3;2;3;1;1
134014;2006;3;5;2;1;1;3;1;1;1;1;1;2;4;2;1;1;1
134090;2006;3;3;2;1;1;3;1;1;2;1;1;2;3;1;4;2;1
134638;2006;3;2;2;1;1;4;1;1;1;1;1;1;2;1;1;1;1
134993;2006;3;2;2;1;1;1;1;1;1;1;2;1;1;1;1;2;1
135092;2006;3;3;2;1;1;4;1;1;1;1;1;1;4;2;1;2;1
135121;2006;3;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1
135424;2006;3;4;2;1;1;3;1;1;1;1;1;1;3;2;1;1;1
135543;2006;3;3;2;2;1;2;1;1;1;1;1;1;2;1;3;1;1
135821;2006;3;6;2;1;1;3;1;1;1;1;1;2;4;4;1;1;1
135885;2006;3;2;2;1;1;4;1;1;2;1;1;3;3;1;4;2;1
136568;2006;3;2;2;1;1;1;1;1;1;1;1;1;2;1;3;1;1
136910;2006;3;2;2;1;1;3;1;1;1;1;1;1;3;1;3;1;1
137332;2006;3;1;2;1;1;4;1;1;1;1;1;1;3;1;1;1;1
137444;2006;3;3;2;1;1;4;1;1;1;1;1;1;4;2;1;1;1
137452;2006;3;3;2;2;1;3;1;1;2;1;1;9;3;2;1;1;1
137477;2006;3;1;2;1;1;4;1;1;1;1;1;1;1;1;3;1;1
137489;2006;3;2;2;1;1;1;1;1;1;1;1;1;4;2;3;1;1
137535;2006;3;3;2;1;1;5;1;1;1;1;1;1;3;1;3;1;1
137960;2006;3;6;2;1;1;2;1;1;1;1;1;1;3;2;1;1;1
138759;2006;3;3;2;1;1;1;1;1;1;1;1;1;4;2;1;1;1
138974;2006;3;1;2;1;1;4;1;1;1;1;1;1;2;1;3;1;1
139331;2006;3;2;2;1;1;4;1;1;1;1;1;2;3;1;1;1;1
139761;2006;3;1;2;1;1;4;1;1;1;1;1;1;3;1;1;1;1
140060;2006;3;6;2;1;1;3;1;1;1;1;1;1;4;3;1;1;1
140315;2006;3;2;2;2;1;4;1;1;1;1;1;1;2;1;3;1;1
140916;2006;3;2;2;1;1;4;1;1;1;1;1;1;3;2;3;1;1
142091;2006;3;8;2;1;1;4;1;1;1;1;1;1;5;3;8;2;1
142255;2006;3;1;2;1;1;4;1;1;1;1;1;1;3;2;6;1;1
142627;2006;3;2;2;2;1;1;1;1;1;1;1;1;2;1;3;1;1
142811;2006;3;1;2;2;1;9;1;1;1;1;1;1;4;1;1;1;1
142865;2006;3;6;2;1;1;4;1;1;1;1;1;1;2;2;1;2;1
143043;2006;3;2;2;1;1;3;1;1;2;1;1;2;3;1;1;1;1
143633;2006;3;4;2;1;2;4;1;1;1;1;1;2;2;2;1;1;1
143835;2006;3;5;2;1;1;3;1;1;1;1;1;1;5;4;1;1;1
143884;2006;3;1;2;2;1;2;1;1;1;1;1;1;1;1;3;1;1
143963;2006;3;5;2;1;1;4;1;1;1;1;1;1;6;3;1;1;1
144179;2006;3;2;2;1;1;5;1;1;1;1;1;1;2;1;3;1;1
144964;2006;3;3;2;1;1;4;1;1;1;1;1;1;4;2;1;1;1
145400;2006;3;2;2;1;1;1;1;1;1;1;1;1;3;1;1;1;1
145679;2006;3;5;2;1;1;2;1;1;1;1;1;1;5;3;1;1;1
146224;2006;3;1;2;2;1;9;1;1;1;1;1;1;2;1;1;1;1
147329;2006;3;1;2;2;1;1;1;1;1;1;1;1;1;1;6;1;1
147431;2006;3;2;2;1;1;5;1;1;1;1;1;1;3;1;1;1;1
147770;2006;3;2;2;2;1;2;1;1;1;1;1;1;1;1;3;1;1
147886;2006;3;3;2;2;1;2;1;1;1;1;1;1;3;2;1;1;1
147939;2006;3;4;2;1;1;1;1;1;1;1;1;1;3;2;3;1;1
148181;2006;3;3;2;1;1;4;1;1;1;1;1;1;3;2;6;1;1
148290;2006;3;3;2;1;1;3;1;1;2;1;1;2;3;2;1;1;1
148675;2006;3;6;2;2;1;4;1;1;1;1;1;1;3;3;1;1;1
149100;2006;3;2;2;1;1;4;1;1;1;1;1;1;4;1;1;1;1
149243;2006;3;5;2;1;1;3;1;1;1;1;1;1;10;4;1;1;1
149962;2006;3;1;2;2;1;2;1;1;1;1;1;1;2;1;2;1;1
150161;2006;3;4;2;1;1;4;1;1;1;1;1;1;3;2;1;1;1
150445;2006;3;6;2;1;1;4;1;1;1;1;1;1;6;3;1;1;1
150829;2006;3;4;2;1;1;3;1;1;1;1;1;1;2;2;1;1;1
150877;2006;3;2;2;2;1;2;1;1;1;1;1;1;3;2;1;1;1
151034;2006;3;4;2;1;2;4;1;1;1;1;1;3;2;2;3;1;1
151410;2006;3;2;2;1;1;1;1;1;1;1;1;1;3;1;4;1;1
