CODUSU;NRO_HOGAR;REALIZADA;ANO4;TRIMESTRE;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;IDIMPH
380032;1;1;2014;3;40;N;25;120;1;;3;1;;1;2;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;7;1;6;22100;09;10;10;;10;10;3157.1428571429;05;06;07;;06;07;2;0;3;4;0;0;10100
380033;1;1;2014;3;44;N;17;209;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;3700;02;02;01;;02;02;3700.0;06;06;04;;07;06;1;0;98;0;0;0;00000
380034;1;1;2014;3;42;S;10;503;1;;6;1;;1;1;1;1;;1;1;1;1;2;2;2;6;3;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;6;1;5;37600;10;10;10;10;;10;6266.6666666667;08;09;09;08;;09;2;0;3;0;0;0;00000
380035;1;1;2014;3;1;S;33;995;2;;3;1;;9;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;4;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;5500;03;;03;03;;03;5500.0;08;;08;08;;09;1;0;98;0;0;0;00000
380038;1;1;2014;3;43;S;4;532;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;5;0;5;10000;06;06;06;06;;06;2000.0;03;03;03;03;;03;2;0;4;0;0;0;10000
380039;1;1;2014;3;43;N;3;234;1;;1;1;;1;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;6000;03;04;03;;04;04;6000.0;08;08;08;;09;08;1;0;98;0;0;0;00000
380040;1;1;2014;3;42;N;27;390;1;;2;1;;1;2;1;1;;1;1;1;3;2;2;2;2;2;2;0;1;2;2;2;0;2;0;3;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;1;8;19380;09;09;09;;09;09;2153.3333333333;04;04;04;;04;05;2;4;6;0;0;0;00000
380041;1;1;2014;3;43;N;36;112;2;;2;1;;9;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;3;;1;;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;0;2;6000;04;04;04;;04;04;3000.0;05;05;05;;06;05;1;2;98;0;0;0;00000
380042;1;1;2014;3;40;S;23;221;1;;7;1;;3;1;1;1;;1;1;1;1;2;1;2;7;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;58000;10;10;10;10;;10;19333.333333333;10;10;10;10;;10;97;0;98;0;0;0;00000
380044;1;1;2014;3;44;N;93;58;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;2;2;2;0;2;0;6;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;5000;03;03;02;;03;02;5000.0;08;08;06;;08;07;1;0;98;0;0;0;00000
