CODUSU;ANO4;TRIMESTRE;IX_TOT;AGLOMERADO;IV1;IV3;IV4;IV5;IV6;IV7;IV8;IV10;IV11;II1;II2;II7;II8;II9
393378;2015;2;6;8;1;1;4;1;1;1;1;1;1;2;1;1;2;1
393382;2015;2;1;32;2;1;9;1;1;1;1;1;1;2;1;1;1;1
393384;2015;2;2;8;2;1;1;1;1;1;1;1;1;2;2;3;2;1
393386;2015;2;6;29;1;1;4;1;1;1;1;1;2;4;3;1;1;1
393388;2015;2;3;3;1;1;2;1;1;1;1;1;1;3;2;1;1;1
393390;2015;2;5;32;1;1;1;1;1;1;1;1;1;3;2;1;1;1
393392;2015;2;4;33;1;1;3;1;1;1;1;1;1;4;3;1;1;1
393396;2015;2;1;93;1;1;4;1;1;1;1;1;1;4;1;1;1;1
393398;2015;2;3;23;1;1;2;1;1;1;1;1;1;4;3;3;1;1
393398;2015;2;1;23;1;1;2;1;1;1;1;1;1;1;1;3;1;2
393398;2015;2;1;23;1;1;2;1;1;1;1;1;1;1;1;3;1;2
393402;2015;2;3;27;1;1;1;1;1;1;1;1;1;4;3;1;1;1
393404;2015;2;8;25;1;2;5;2;1;1;1;2;1;4;3;6;2;1
393410;2015;2;3;32;2;1;2;1;1;1;1;1;1;1;1;2;2;3
393411;2015;2;2;31;1;1;4;1;1;1;1;1;1;2;2;1;1;1
393412;2015;2;2;10;1;1;1;1;1;1;1;1;1;3;1;1;1;2
393415;2015;2;3;7;1;2;4;2;1;1;1;3;4;2;1;1;2;1
393421;2015;2;3;30;1;1;1;1;1;1;1;1;1;3;2;1;1;1
393425;2015;2;4;31;2;1;4;1;1;1;1;1;1;4;4;1;1;1
393426;2015;2;4;9;1;2;4;1;2;1;1;2;3;1;1;7;2;1
393429;2015;2;3;23;2;1;3;1;1;1;1;1;1;4;1;3;1;1
393434;2015;2;3;25;1;1;1;1;1;1;1;1;1;2;2;8;2;1
393437;2015;2;3;33;2;2;4;1;1;2;1;2;3;1;1;3;2;1
393440;2015;2;2;27;1;1;1;1;1;1;1;1;2;4;2;1;1;1
393443;2015;2;4;10;1;2;1;1;1;1;1;1;2;2;2;1;1;1
393444;2015;2;1;3;2;1;2;1;1;1;1;1;1;3;1;1;1;1
393445;2015;2;4;26;1;1;4;1;1;1;1;1;1;4;3;1;1;1
393447;2015;2;1;33;1;1;1;1;1;1;1;1;2;2;1;4;1;1
393452;2015;2;2;32;2;1;9;1;1;1;1;1;1;2;1;1;1;1
393463;2015;2;4;5;1;1;4;1;1;1;1;1;3;3;2;1;2;1
393472;2015;2;2;38;1;1;4;1;1;1;1;1;1;3;2;1;1;1
393473;2015;2;5;3;1;1;4;1;1;1;1;1;1;4;3;1;1;1
393476;2015;2;3;22;1;1;2;1;1;1;1;2;2;2;2;1;2;1
393477;2015;2;4;33;2;2;4;1;1;2;1;2;2;4;3;1;2;1
393479;2015;2;7;6;2;1;4;2;1;1;1;1;3;5;4;2;2;1
393482;2015;2;7;27;1;1;7;2;1;1;1;1;2;3;3;1;2;1
393483;2015;2;1;27;1;1;1;1;1;1;1;1;3;4;3;1;1;1
393484;2015;2;1;14;1;1;4;1;1;1;1;1;1;3;1;1;1;1
393485;2015;2;3;9;1;1;2;1;1;1;1;1;1;3;2;1;2;1
393486;2015;2;4;33;2;2;2;1;1;1;1;1;1;3;2;4;1;1
393495;2015;2;3;13;1;1;2;1;1;1;1;1;2;5;3;1;1;1
393496;2015;2;3;33;1;1;2;1;1;2;1;1;2;3;2;1;1;1
393497;2015;2;5;9;1;1;1;1;1;1;1;1;1;2;2;1;1;1
393500;2015;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1
393505;2015;2;4;29;1;3;4;2;2;1;1;2;1;3;3;6;2;3
393512;2015;2;3;33;1;2;4;1;1;2;1;1;2;3;2;1;1;1
393516;2015;2;4;8;1;1;4;1;1;1;1;1;2;2;2;4;2;1
393519;2015;2;2;23;1;2;2;1;2;1;1;3;4;1;1;1;2;1
393527;2015;2;1;38;1;1;1;1;1;1;1;1;1;3;1;3;1;1
393530;2015;2;5;18;1;1;1;1;1;1;1;1;1;3;3;1;1;1
393531;2015;2;3;91;1;1;2;1;1;1;1;1;2;3;2;3;1;1
393538;2015;2;2;27;1;1;1;1;1;1;1;1;2;4;2;1;1;1
393539;2015;2;5;38;1;2;2;1;1;1;1;1;1;4;3;1;1;1
393541;2015;2;4;5;1;1;4;1;1;1;1;1;1;4;3;1;1;1
393542;2015;2;1;4;1;1;2;1;1;1;1;1;1;2;1;1;1;1
393543;2015;2;3;12;1;1;4;1;1;1;1;1;1;2;2;1;2;1
393544;2015;2;3;33;1;1;2;1;1;1;1;1;1;5;2;1;1;1
393548;2015;2;2;36;1;1;1;1;1;1;1;1;1;3;1;1;1;1
393550;2015;2;1;91;2;1;9;1;1;1;1;1;1;3;1;1;1;1
