"CODUSU";"ANO4";"TRIMESTRE";"NRO_HOGAR";"REALIZADA";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4"
"TQRMNOSQVHLNKSCDEIJAH00651304";2020;4;1;1;1;"SI";33;3015;1;"";3;1;"";4;2;1;1;"";1;1;1;2;1;2;2;3;2;2;0;1;2;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;46000;"5";"";"5";"5";"";"6";23000;"7";"";"7";"7";"";"8";4899;2;0;98;0;0;0
"TQRMNOQPQHMMKRCDEGGFB00641941";2020;4;1;1;42;"SI";10;452;1;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;36000;"4";"4";"4";"4";"";"4";18000;"5";"5";"6";"5";"";"6";494;2;0;98;0;0;0
"TQTMNOQPVHLONNCDEIJAH00655859";2020;4;1;1;1;"SI";33;10142;2;"";1;1;"";2;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;3;"";2;"";1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;1;25000;"3";"";"3";"3";"";"3";12500;"4";"";"4";"4";"";"5";9926;1;0;98;0;0;0
"TQRMNORWVHJKNPCDEIJAH00692981";2020;4;1;1;1;"SI";33;490;1;"";3;1;"";3;1;1;2;"";1;1;1;1;2;2;2;3;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;36700;"4";"";"4";"4";"";"4";18350;"6";"";"6";"6";"";"7";669;1;2;98;0;0;0
"TQRMNOPUYHKMNNCDEIJAH00663389";2020;4;1;1;1;"SI";33;2153;2;"";2;2;"";2;2;1;2;"";1;1;2;2;2;2;2;2;2;2;0;2;2;2;0;0;0;0;4;"";2;"";1;1;1;2;1;2;2;1;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;5;1;4;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;1;0;98;0;0;0
"TQRMNOQRVHJONQCDEIJAH00693117";2020;4;1;1;1;"SI";33;1113;1;"";3;1;"";3;1;1;1;"";1;1;1;2;2;2;2;3;2;2;0;1;2;1;2;0;2;0;2;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;30000;"3";"";"3";"3";"";"3";15000;"4";"";"4";"4";"";"5";1438;98;0;98;0;0;0
"TQRMNORYWHMMNLCDEIJAH00645486";2020;4;1;1;1;"SI";33;2397;1;"";1;1;"";3;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;1;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;31000;"3";"";"3";"3";"";"4";31000;"8";"";"8";"8";"";"9";2177;97;0;98;0;0;0
"TQRMNORURHLNNPCDEIJAH00651309";2020;4;1;1;1;"SI";33;140;1;"";3;1;"";2;1;1;1;"";1;1;1;2;2;2;2;3;2;2;0;2;2;2;0;0;0;0;4;"";4;"electrico";1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;1;2;2;2;1;0;1;30000;"3";"";"3";"3";"";"3";30000;"8";"";"8";"8";"";"9";216;1;0;98;0;0;0
"TQRMNOPWUHLMNQCDEIJAH00651310";2020;4;1;1;1;"SI";33;1083;1;"";3;1;"";2;1;1;2;"";1;1;1;2;1;2;2;3;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;18200;"2";"";"2";"2";"";"2";18200;"6";"";"6";"6";"";"6";1105;1;0;98;0;0;0
"TQRMNOPYTHKMNRCDEIJAH00663591";2020;4;1;1;1;"SI";33;2367;1;"";5;1;"";3;1;1;2;"";1;1;1;2;2;2;2;5;3;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;19900;"2";"";"2";"2";"";"2";6633,33;"2";"";"2";"2";"";"2";2725;1;0;98;0;0;0
"TQRMNORRVHJMOLCDEIJAH00693041";2020;4;1;1;1;"SI";33;2343;1;"";2;1;"";2;1;1;2;"";1;1;1;2;1;2;2;2;2;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;5;1;4;44000;"5";"";"5";"5";"";"6";8800;"2";"";"3";"3";"";"3";6094;2;3;1;0;0;0
"TQRMNOTQRHLMNTCDEIJAH00651314";2020;4;1;1;1;"SI";33;12234;1;"";4;1;"";3;1;1;1;"";1;1;1;1;2;1;2;4;3;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;1;1;1;2;2;2;3;0;3;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;1;0;98;0;0;0
"TQRMNOQVPHJMLNCDEIOAH00696003";2020;4;1;1;43;"NO";38;137;1;"";1;1;"";4;2;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;22800;"2";"2";"2";"";"2";"2";7600;"2";"2";"2";"";"2";"2";149;2;0;98;0;0;0
"TQRMNORUQHKMKUCDEFIAH00665033";2020;4;1;1;43;"SI";2;704;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;3;2;1;1;1;2;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;0;2;0;"12";"12";"12";"12";"";"12";0;"12";"12";"12";"12";"";"12";0;1;0;98;0;0;0
"TQRMNOQRYHLMLNCDEFIAH00646648";2020;4;1;1;43;"SI";2;1120;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;1;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;1;1;43000;"5";"5";"5";"5";"";"4";21500;"6";"6";"6";"6";"";"6";2239;1;0;98;0;0;0
"TQRMNOQWWHLMLOCDEFIAH00646739";2020;4;1;1;43;"SI";2;547;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;4;0;4;120000;"10";"10";"10";"9";"";"9";30000;"8";"8";"8";"8";"";"7";609;1;2;4;0;0;0
"TQRMNORXRHMMLNCDEFIAH00640491";2020;4;1;1;43;"SI";2;569;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;3;3;2;0;1;1;2;2;0;2;0;1;"";2;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;4;0;4;81500;"8";"9";"8";"8";"";"8";20375;"6";"6";"6";"6";"";"6";3077;1;2;98;0;0;0
"TQRMNORXQHMMLOCDEFIAH00640492";2020;4;1;1;43;"SI";2;497;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;2;2;2;2;2;2;1;0;1;20000;"2";"2";"2";"2";"";"1";20000;"6";"6";"6";"6";"";"5";919;1;0;98;0;0;0
"TQSMNORSWHLOLRCDEFIAH00652150";2020;4;1;1;43;"SI";2;733;1;"";3;1;"";4;1;1;1;"";1;1;1;2;2;2;2;3;1;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;15000;"1";"1";"1";"1";"";"1";15000;"4";"4";"4";"4";"";"4";1524;1;0;98;0;0;0
"TQRMNOSXRHMOTLCDEIJAH00645412";2020;4;1;1;1;"SI";33;5939;2;"";2;1;"";2;2;1;1;"";1;1;2;1;1;1;1;2;2;2;0;2;1;2;2;0;2;0;2;"";1;"";1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;4;1;3;40000;"5";"";"5";"5";"";"5";10000;"3";"";"3";"3";"";"4";9536;2;0;98;0;0;0
"TQRMNOSSUHKKSMCDEIJAH00693150";2020;4;1;1;1;"SI";33;2409;2;"";3;1;"";2;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;0;2;121200;"10";"";"9";"10";"";"10";60600;"10";"";"10";"10";"";"10";3722;1;0;2;0;0;0
"TQRMNOSQTHMKTNCDEIJAH00645818";2020;4;1;1;1;"SI";33;2264;2;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;70000;"7";"";"7";"7";"";"8";70000;"10";"";"10";"10";"";"10";2356;1;0;98;0;0;0
"TQRMNOPYQHLNTPCDEIJAH00650734";2020;4;1;1;1;"SI";33;947;1;"";4;1;"";1;1;1;1;"";1;1;1;1;2;2;2;4;3;2;0;2;2;2;0;0;0;0;1;"";2;"";1;1;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;2;0;98;0;0;0
"TQRMNOQWTHMMTRCDEIJAH00645854";2020;4;1;1;1;"SI";33;1609;1;"";4;1;"";4;1;1;2;"";1;1;1;1;2;2;2;4;1;1;1;1;2;1;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;2;2;2;0;2;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;2;0;97;0;0;0
"TQRMNORQVHKLSPCDEIJAH00663239";2020;4;1;1;1;"SI";33;3009;1;"";3;1;"";3;1;1;1;"";1;1;1;1;2;1;2;3;2;2;0;1;1;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;130000;"10";"";"9";"10";"";"10";43333,33;"9";"";"9";"9";"";"9";7492;2;0;1;3;0;0
"TQRMNOPRPHJMMPCDEGJBF00675436";2020;4;1;1;43;"SI";13;812;1;"";2;1;"";1;1;1;1;"";1;1;1;2;2;2;2;2;2;2;0;1;1;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;3;0;3;87000;"8";"9";"9";"8";"";"9";29000;"8";"8";"7";"8";"";"8";938;1;0;96;0;0;0
"TQRMNOSUSHMLLPCDEIMBF00646134";2020;4;1;1;43;"NO";36;344;2;"";3;1;"";9;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;1;2;2;1;2;2;2;2;1;0;1;40000;"5";"5";"5";"";"5";"5";40000;"9";"9";"9";"";"9";"9";390;1;0;97;0;0;0
"TQRMNOPXPHMMLQCDEIMBF00646092";2020;4;1;1;43;"NO";36;211;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;35000;"4";"4";"4";"";"4";"4";17500;"5";"5";"5";"";"5";"5";221;2;0;98;0;0;0
"TQRMNOSVUHLLKMCDEFJAH00665450";2020;4;2;1;43;"NO";3;722;2;"";2;1;"";9;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;2;2;2;1;0;1;52000;"6";"6";"6";"";"6";"6";52000;"10";"10";"10";"";"10";"10";1038;1;0;98;0;0;0
"TQRMNOPQWHKMKMCDEFJAH00665898";2020;4;1;1;43;"NO";3;197;2;"";2;1;"";9;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;0;"12";"12";"12";"";"12";"12";0;"12";"12";"12";"";"12";"12";0;1;0;98;0;0;0
"TQRMNORWQHLMKNCDEFJAH00652360";2020;4;1;1;43;"NO";3;294;1;"";3;1;"";2;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;0;2;36500;"4";"4";"4";"";"4";"4";18250;"6";"6";"5";"";"6";"4";381;1;2;98;0;0;0
"TQRMNORQVHLMKOCDEFJAH00646862";2020;4;1;1;43;"NO";3;168;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;24000;"2";"2";"2";"";"2";"2";24000;"7";"7";"7";"";"7";"7";239;1;0;98;0;0;0
"TQRMNOQSRHLMKPCDEFJAH00646847";2020;4;1;1;43;"NO";3;205;2;"";2;1;"";9;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;"12";"12";"12";"";"12";"12";0;"12";"12";"12";"";"12";"12";0;1;2;98;0;0;0
"TQRMNORSSHMOKOCDEFJAH00640607";2020;4;1;1;43;"NO";3;362;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;8;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;73000;"8";"8";"8";"";"8";"8";24333,33;"7";"7";"7";"";"7";"7";802;1;0;1;3;0;0
"TQRMNORXRHLMKQCDEFJAH00652353";2020;4;1;1;43;"NO";3;157;1;"";4;1;"";1;1;1;1;"";1;1;1;1;2;2;2;4;3;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;0;2;0;"12";"12";"12";"";"12";"12";0;"12";"12";"12";"";"12";"12";0;1;0;98;0;0;0
"TQRMNORXUHKLKNCDEFJAH00659542";2020;4;1;1;43;"NO";3;343;1;"";4;1;"";4;1;1;1;"";1;1;1;1;2;2;2;4;2;2;0;1;2;1;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;1;3;105000;"9";"9";"9";"";"9";"9";26250;"7";"7";"7";"";"8";"7";654;1;0;98;0;0;0
"TQRMNORRVHKOKOCDEFJAH00665945";2020;4;1;1;43;"NO";3;214;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;88000;"8";"9";"9";"";"9";"9";44000;"9";"9";"9";"";"9";"9";475;2;0;98;0;0;0
"TQRMNOPRXHLOKSCDEFJAH00646849";2020;4;1;1;43;"NO";3;582;1;"";4;1;"";1;1;1;1;"";1;1;1;1;2;2;2;4;3;1;1;1;1;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;14500;"1";"1";"1";"";"1";"1";4833,33;"1";"1";"1";"";"1";"1";1712;2;0;98;0;0;0
"TQRMNOQQVHKOLOCDEGIBJ00660939";2020;4;1;1;41;"NO";12;199;1;"";5;1;"";4;1;1;1;"";1;1;1;1;2;2;2;5;4;2;0;1;2;1;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;5;0;5;76000;"8";"8";"9";"";"8";"9";15200;"5";"5";"6";"";"5";"6";210;1;2;3;4;5;0
"TQRMNOQQWHKOLOCDEGIBJ00660940";2020;4;1;1;41;"NO";12;188;1;"";3;1;"";4;2;1;1;"";1;1;1;1;2;1;2;3;2;2;0;1;2;2;2;0;2;0;2;"";2;"";1;1;1;2;2;2;2;1;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;9;2;7;85700;"8";"9";"9";"";"9";"9";9522,22;"3";"2";"3";"";"2";"4";191;1;5;2;4;7;0
"TQRMNOUTYHKOLPCDEGIBJ00660927";2020;4;1;1;41;"NO";12;408;1;"";3;2;"";4;2;1;1;"";1;1;1;2;2;2;2;3;3;2;0;1;1;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;1;2;2;1;2;2;2;2;6;0;6;18800;"2";"2";"2";"";"2";"3";3133,33;"1";"1";"1";"";"1";"1";394;1;2;3;4;0;0
