CODUSU;ANO4;TRIMESTRE;IX_TOT;AGLOMERADO;IV1;IV3;IV4;IV5;IV6;IV7;IV8;IV10;IV11;II1;II2;II7;II8;II9
125113;2009;1;5;2;1.0;1.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;4;3;1;1;1
125119;2009;1;2;2;2.0;1.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;2;1;1;1;1
125631;2009;1;2;2;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;4;3;1;1;1
126697;2009;1;9;2;1.0;1.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;4;3;1;2;1
126853;2009;1;2;2;1.0;2.0;4.0;1.0;1.0;1.0;1.0;2.0;3.0;2;1;8;2;1
127147;2009;1;1;2;2.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;3;1;1;1;1
127226;2009;1;8;2;1.0;3.0;1.0;2.0;1.0;1.0;1.0;2.0;3.0;3;2;1;2;1
128457;2009;1;4;2;1.0;2.0;4.0;2.0;2.0;1.0;1.0;2.0;3.0;1;1;1;2;1
129149;2009;1;1;2;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2;1;3;1;1
129155;2009;1;3;2;1.0;1.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;2;2;1;1;1
129508;2009;1;3;2;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;4;2;1;2;1
129842;2009;1;1;2;1.0;1.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;2;1;1;1;1
130038;2009;1;2;2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;2;1;1;1
130058;2009;1;6;2;1.0;1.0;4.0;1.0;1.0;1.0;1.0;1.0;2.0;4;3;1;1;1
130413;2009;1;3;2;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;2.0;3;3;1;2;1
130892;2009;1;2;2;1.0;1.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;5;2;1;1;1
132378;2009;1;3;2;1.0;1.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;3;2;1;2;1
132746;2009;1;3;2;2.0;1.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;3;2;1;1;1
133810;2009;1;2;2;2.0;1.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;3;2;3;1;1
134205;2009;1;7;2;1.0;2.0;4.0;2.0;2.0;2.0;1.0;2.0;3.0;3;3;4;2;1
134578;2009;1;2;2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;2;3;1;1
134661;2009;1;3;2;1.0;1.0;4.0;1.0;1.0;1.0;1.0;1.0;2.0;3;2;1;2;1
134897;2009;1;3;2;2.0;1.0;9.0;1.0;1.0;1.0;1.0;1.0;1.0;3;2;1;1;1
135258;2009;1;2;2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3;2;1;1;1
137307;2009;1;3;2;1.0;1.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;4;2;1;2;1
137446;2009;1;4;2;1.0;2.0;1.0;1.0;1.0;2.0;1.0;1.0;3.0;5;3;1;2;1
137736;2009;1;4;2;1.0;1.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;3;3;1;1;1
138523;2009;1;4;2;1.0;1.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;4;2;2;1;1
138601;2009;1;3;2;1.0;2.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;3;2;1;1;1
138976;2009;1;4;2;1.0;1.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;4;3;1;1;1
139208;2009;1;5;2;1.0;2.0;4.0;2.0;2.0;1.0;1.0;2.0;3.0;3;3;2;2;1
139524;2009;1;1;2;2.0;1.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;2;1;3;1;1
139529;2009;1;4;2;1.0;1.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;2;2;1;1;1
139673;2009;1;2;2;1.0;1.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;4;2;1;1;1
139850;2009;1;6;2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;3;2;1;1;1
139988;2009;1;1;2;1.0;1.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;4;1;1;1;1
140536;2009;1;2;2;2.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;3;1;1;1;1
140850;2009;1;5;2;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;2.0;3;3;1;2;1
141290;2009;1;1;2;4.0;1.0;4.0;1.0;2.0;1.0;1.0;1.0;1.0;1;1;3;1;2
142398;2009;1;5;2;1.0;1.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;3;2;1;1;1
142419;2009;1;3;2;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2;2;3;1;1
142815;2009;1;3;2;1.0;1.0;4.0;1.0;2.0;1.0;2.0;0.0;0.0;3;2;2;1;4
143688;2009;1;4;2;1.0;1.0;3.0;2.0;1.0;1.0;1.0;1.0;2.0;1;1;1;2;1
144550;2009;1;4;2;1.0;1.0;1.0;2.0;1.0;2.0;1.0;1.0;3.0;2;2;1;2;1
144646;2009;1;1;2;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2;1;3;1;1
146291;2009;1;2;2;1.0;1.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;4;2;1;1;1
