ingreso,PDF,log_ingreso,log_1-CDF
-0.193851817935,0.297172381309,,-0.153151180573
8.69237107678,0.000468164794007,0.939138258049,-0.149188615518
11.5898281024,0.000468164794007,1.06407699466,-0.149475373192
27.8155874457,0.00187540533273,1.44428823637,-0.154601750028
39.6951612506,0.00375081066546,1.59873757049,-0.156933470804
48.5965631557,0.00703016114887,1.68660555619,-0.161337836629
63.2983404841,0.011251882765,1.80139232411,-0.168481388896
89.3267604438,0.00749832594288,1.950981584,-0.173307986341
120.445059741,0.013122894247,2.08078899137,-0.181886341925
168.203416705,0.0224982732167,2.22583481335,-0.19699947452
231.231861857,0.0307010432759,2.36404767609,-0.218509836054
322.932948058,0.0766262300585,2.50911235728,-0.277362435952
421.547323274,0.099140430984,2.62484633598,-0.367680411868
570.16087443,0.101945025897,2.75599741185,-0.48555987757
784.716274847,0.112954587795,2.89471265988,-0.669658515164
1060.59319985,0.0914008826367,3.02554883825,-0.911638845795
1439.40301543,0.0541372937746,3.15818240816,-1.1647775385
1888.99225563,0.0403044630978,3.27623017743,-1.55095776413
2631.17864543,0.0192189227333,3.42015033577,-2.05047239139
3576.5206558,0.0049201241878,3.55346073761,-2.39982282716
4610.57849198,0.0028111856894,3.66375541999,-2.93125383395
6538.59468776,0.000936878819355,3.81548441729,-3.62961344538
9967.25216804,0.000469263256687,3.9985754459,-inf
