ingreso,PDF,log_ingreso,log_1-CDF
-0.255427865799,0.330775698107,,-0.17442829666
3.51779740479,0.00046468401487,0.546270824174,-0.175687827088
10.5533922144,0.00046511627907,1.02339207889,-0.173774479102
20.4559919089,0.00116257456557,1.31082054324,-0.175485736015
28.1423792384,0.000697242154405,1.44936081117,-0.175939552818
35.1779740479,0.00116214230137,1.54627082417,-0.176697016563
51.1050530694,0.0146435981672,1.70846384361,-0.186356410454
66.3192755739,0.00697328607245,1.82163977363,-0.191032839186
90.1909134629,0.00697306994035,1.95516278553,-0.19576002442
126.321852695,0.0292904383159,2.10147848661,-0.216198541773
172.16366551,0.0144125529524,2.23594150058,-0.226619892806
227.356856985,0.0392826575603,2.35670805687,-0.25636338359
321.167138279,0.135052087836,2.50673110201,-0.377672233849
421.974788382,0.0771749373217,2.62528650406,-0.466056678668
565.697400217,0.11459864269,2.75258418285,-0.643331457399
763.56787838,0.0906540157344,2.88284765029,-0.86428817891
1043.01493902,0.0660169015302,3.01829052884,-1.15079407196
1411.29559948,0.040679087058,3.14961798737,-1.52307903675
1914.43560194,0.0195258061727,3.28204076207,-1.98045331169
2661.96755046,0.00557923402784,3.4252027571,-2.31147986177
3712.74201098,0.00325408489669,3.56969477225,-2.78860111649
5135.984211,0.000697458286505,3.71062367996,-3.03171128436
6543.10317292,0.00092936802974,3.81578376839,-3.33284226699
9237.73598499,0.00046490014697,3.96556554593,-inf
