ingreso,PDF,log_ingreso,log_1-CDF
-0.17354560872,0.282185111162,,-0.14398753782
5.8414709115,0.000950570342205,0.766522218399,-0.144356495706
9.90510284993,0.000712476393718,0.995858989408,-0.144706756033
15.2386197691,0.000950570342205,1.18294563276,-0.145220763617
20.3181596922,0.000949667616334,1.30788436937,-0.145345114535
27.0739477898,0.00166304673592,1.43255158707,-0.146293296111
37.0876188282,0.00641319026934,1.5692289508,-0.150211702379
50.8243615195,0.0102132148235,1.70607193152,-0.156525806037
66.2966543024,0.00807488291645,1.82149161204,-0.161583736591
97.7556315864,0.0123522237749,1.99014178598,-0.169436703466
126.134914519,0.0137780792882,2.10083531722,-0.178367027244
161.80355692,0.0161531510549,2.20898806446,-0.189076106424
234.7455662,0.0460800934502,2.3705973982,-0.221162292125
326.429020253,0.0636604541072,2.51378876153,-0.269792315945
407.625888998,0.0997600103272,2.61026175898,-0.358993492027
568.510668554,0.123273988135,2.75473861898,-0.50271825502
777.708583612,0.0897873719483,2.89081689231,-0.648846914475
1044.63954961,0.100475194899,3.01896646402,-0.906605961486
1425.20123701,0.0638971939669,3.15387619063,-1.22116229213
1973.88992149,0.0370526090583,3.29532292958,-1.63747410665
2664.12998856,0.0161531510549,3.42555541117,-2.16183420245
3638.22046988,0.00475104625928,3.56088901302,-2.66997072194
5096.47172279,0.000950344660738,3.70726961892,-2.92527073231
6476.41340188,0.000712702075186,3.81133456282,-3.32325200216
7924.08227995,0.000475285171103,3.8989489764,-inf
19543.5298539,0.000474833808167,4.29100300655,-inf
