Ano4,Mes,TRIMESTRE,CBA,CBT
2018,1,1,2197.26,5493.15
2018,2,1,2261.23,5675.69
2018,3,1,2294.56,5782.29
2018,4,2,2308.11,5908.76
2018,5,2,2418.65,6095
2018,6,2,2537.45,6343.62
2018,7,3,2627.37,6515.88
2018,8,3,2701.48,6753.7
2018,9,3,2931.88,7300.38
2018,10,4,3150.62,7845.04
2018,11,4,3276.02,8157.29
2018,12,4,3300.17,8250.42
2019,1,1,3423.03,8557.58
