ingreso,PDF,log_ingreso,log_1-CDF
-0.22745179952,0.309920931048,,-0.161101145144
6.36272319717,0.000927643784787,0.803643030174,-0.161337787993
10.8166294352,0.000463606961025,1.03409195155,-0.161685205942
13.520786794,0.000463606961025,1.13100196456,-0.161977463388
18.7700334317,0.000695302975854,1.27346504615,-0.162416150816
25.4508927887,0.000463392029657,1.4057030215,-0.162910289319
35.4721818242,0.00208612385893,1.54988790189,-0.163881741628
47.7493454479,0.00695496414085,1.67896742261,-0.168309387623
64.3615535138,0.012749943688,1.80862651825,-0.176545332481
95.4832661122,0.00672219346918,1.97992726612,-0.18095130491
125.6205728,0.0159951924152,2.09906076935,-0.191618438524
178.346457913,0.022251844541,2.25126448836,-0.206907859904
241.574839044,0.041259729943,2.38305169885,-0.23676595317
314.057679166,0.0598044382468,2.497009417,-0.284049606902
408.572635497,0.11288603823,2.61126927602,-0.390351637451
582.691827773,0.117759392071,2.76543892717,-0.53866481675
795.500037975,0.0876208559083,2.90064020471,-0.695358017684
1036.04430002,0.0920265190919,3.01537832572,-0.960015927006
1403.31874729,0.0577174546624,3.1471563271,-1.28461225489
1964.75850613,0.0299046908341,3.29330917766,-1.65715008402
2605.47371605,0.0125178178104,3.41588669637,-2.02210110151
3546.15772856,0.00579562434124,3.54975804856,-2.43083557454
4798.55374453,0.00208590892756,3.68111036333,-2.78986830537
6532.39581576,0.00139017608897,3.81507249195,-3.03302144468
8907.81247604,0.000695517907222,3.94977106585,-3.63508143601
12725.4463943,0.000463392029657,4.10467302584,-inf
