ingreso,PDF,log_ingreso,log_1-CDF
-0.248521193394,0.339461764833,,-0.180102038244
4.52981609076,0.000477326968974,0.656080570139,-0.17692125354
9.96559539967,0.000477554918816,0.998503250961,-0.183939222553
16.1779146099,0.000955109837631,1.2089225388,-0.184573229209
19.4134975318,0.000716104428382,1.28810378484,-0.181202155069
25.8846633758,0.000954653937947,1.41304252145,-0.178169227048
34.6207372651,0.00167121426601,1.53933631215,-0.18262068738
50.2210151765,0.0105033588409,1.70088548737,-0.18962280752
64.0510602595,0.00954927477758,1.80652632317,-0.196088369501
92.8179228276,0.0121748010568,1.96763184512,-0.204473705632
124.515194065,0.017426081565,2.09522234979,-0.216764750043
179.433057506,0.0322272067254,2.25390245749,-0.240454628006
242.990721871,0.0477445502892,2.38558969122,-0.278112487367
323.38863116,0.0847452546542,2.50972474807,-0.354235867441
414.680893762,0.107422274803,2.6177140259,-0.475051408367
586.062093312,0.110290339714,2.76794363198,-0.648521703764
794.714213016,0.0799718709895,2.9002109802,-0.839640790911
1048.2793886,0.0708991253565,3.02047704673,-1.13215286274
1421.17761165,0.0422540364218,3.15264835727,-1.50154582951
2017.78770937,0.0202910691531,3.30487547236,-1.95003233079
2627.29333264,0.00716161415842,3.4195085637,-2.39171630446
3478.25164112,0.00214831328514,3.54136099871,-2.71909811181
5128.39893133,0.00167075836633,3.70998180101,-3.62221402297
11648.0985191,0.000477326968974,4.06625503523,-inf
