CODUSU;ANO4;TRIMESTRE;CH04;CH06;AGLOMERADO;CH09;CH10;CH12;CH13;CH15;CH07;CAT_INAC;CAT_OCUP;PP07G1;PP07G2;PP07G3;PP07G4;PP07G_59;PP07H;PP07I;PP07J;PP07K;P47T;V3_M;T_VI;V12_M;TOT_P12;V5_M;V2_M;PP08D1;P21
127924;2005;1;1;27;32;1;1;7;2;1;1;0;3;1;1;1;1;0;1;0;1;1;1590;0;0;0;600;0;0;900;900
127924;2005;1;2;29;32;1;2;6;1;3;1;0;3;1;1;1;1;0;1;0;1;1;1400;0;0;0;0;0;0;1200;1200
128148;2005;1;1;53;32;1;2;7;1;1;2;0;2;0;0;0;0;0;0;0;0;0;2400;0;900;0;0;0;0;0;1500
128148;2005;1;2;48;32;1;2;7;1;3;2;0;3;1;1;1;1;0;1;0;1;1;1500;0;0;0;0;0;0;1000;1000
128148;2005;1;2;16;32;1;1;4;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128148;2005;1;1;13;32;1;1;4;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128301;2005;1;1;44;32;1;2;7;1;1;2;0;3;1;1;1;1;0;1;0;1;1;3000;0;0;0;0;0;0;3000;3000
128301;2005;1;2;44;32;1;2;7;1;1;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128301;2005;1;2;14;32;1;1;4;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128301;2005;1;2;11;32;1;1;2;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128301;2005;1;2;4;32;2;1;1;2;1;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128340;2005;1;2;46;32;1;2;4;1;1;3;0;3;1;2;2;2;0;2;2;1;4;600;0;0;0;0;0;0;600;600
128340;2005;1;2;19;32;1;2;7;2;1;5;0;3;2;2;2;2;5;2;2;1;4;0;0;0;0;0;0;0;0;0
128771;2005;1;1;61;32;1;2;2;1;1;2;1;0;0;0;0;0;0;0;0;0;0;350;0;350;0;0;0;350;0;0
128771;2005;1;2;44;32;1;2;2;1;3;2;0;3;1;1;1;1;0;1;0;3;1;800;0;0;0;0;0;0;800;800
128771;2005;1;2;20;32;1;1;7;2;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128771;2005;1;2;11;32;1;1;2;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128792;2005;1;2;59;32;2;3;0;0;1;5;1;0;0;0;0;0;0;0;0;0;0;290;0;290;0;0;0;290;0;0
128921;2005;1;2;33;32;1;2;4;1;1;5;0;3;1;1;1;1;0;1;0;1;1;1400;0;0;0;0;0;0;900;1400
128921;2005;1;2;60;32;1;2;2;1;1;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128921;2005;1;1;38;32;1;2;4;1;1;5;0;2;0;0;0;0;0;0;0;0;0;800;0;0;0;0;0;0;0;800
129001;2005;1;2;74;32;1;2;4;2;3;4;1;0;0;0;0;0;0;0;0;0;0;600;0;600;0;0;0;600;0;0
129272;2005;1;1;44;32;1;1;6;2;1;3;1;0;0;0;0;0;0;0;0;0;0;350;0;350;0;0;0;350;0;0
129328;2005;1;2;31;32;1;2;7;1;2;3;0;2;0;0;0;0;0;0;0;0;0;2950;0;0;0;950;0;0;0;2000
129670;2005;1;2;60;32;1;2;4;1;1;5;0;3;1;1;1;1;0;1;0;1;1;1790;0;0;0;0;0;0;1190;1190
129906;2005;1;1;74;32;1;2;2;1;5;2;1;0;0;0;0;0;0;0;0;0;0;850;0;850;0;0;0;500;0;0
129906;2005;1;2;68;32;1;2;2;1;5;2;1;0;0;0;0;0;0;0;0;0;0;930;0;930;0;0;0;550;0;0
129906;2005;1;2;88;32;1;2;2;1;4;4;1;0;0;0;0;0;0;0;0;0;0;750;0;750;0;0;0;400;0;0
129959;2005;1;2;25;32;1;1;7;2;1;5;0;3;1;1;1;1;0;1;0;1;1;1000;0;600;600;0;0;0;400;400
129959;2005;1;2;29;32;1;1;7;2;2;5;0;3;2;2;2;2;5;2;1;1;3;150;0;0;0;0;0;0;150;150
130029;2005;1;2;33;32;1;2;7;1;2;3;0;3;1;1;1;1;0;1;0;1;1;1575;0;0;0;0;0;0;1575;1575
130128;2005;1;2;52;32;1;2;6;1;1;3;0;1;0;0;0;0;0;0;0;0;0;1900;0;0;0;700;0;0;0;1200
130128;2005;1;1;23;32;1;1;6;2;1;5;0;3;1;2;1;2;0;2;2;1;1;450;0;0;0;0;0;0;450;450
130128;2005;1;1;21;32;1;2;6;2;1;5;0;3;2;2;2;2;5;2;2;1;4;450;0;0;0;0;0;0;450;450
130128;2005;1;1;27;32;1;2;6;1;1;5;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130657;2005;1;1;60;32;1;2;6;1;1;2;0;2;0;0;0;0;0;0;0;0;0;1000;0;1000;0;0;1000;0;0;0
130657;2005;1;2;60;32;1;2;4;1;1;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130657;2005;1;1;33;32;1;2;7;2;1;5;0;3;1;1;1;1;0;1;0;1;1;1735;0;0;0;0;0;0;1735;1735
130657;2005;1;1;28;32;1;2;4;1;1;5;0;3;1;1;1;1;0;1;0;1;1;750;0;0;0;0;0;0;750;750
130914;2005;1;1;25;32;1;2;4;1;1;5;0;3;1;1;1;1;0;1;0;1;1;780;0;0;0;0;0;0;780;780
130930;2005;1;2;50;32;1;1;7;2;1;3;0;1;0;0;0;0;0;0;0;0;0;1650;0;0;0;150;0;0;0;1500
130930;2005;1;2;20;32;1;1;7;2;1;5;3;0;0;0;0;0;0;0;0;0;0;50;0;0;0;50;0;0;0;0
130930;2005;1;2;16;32;1;1;4;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130931;2005;1;1;71;32;1;2;7;2;1;2;0;3;2;2;2;2;5;2;2;1;9;420;0;0;0;0;0;0;0;420
130931;2005;1;2;57;32;1;2;7;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130997;2005;1;2;63;32;1;2;4;1;1;4;1;0;0;0;0;0;0;0;0;0;0;580;0;580;300;0;0;280;0;0
131244;2005;1;1;34;32;1;2;4;1;1;1;0;3;1;1;1;1;0;1;0;3;1;1800;0;0;0;800;0;0;1000;1000
131244;2005;1;2;28;32;1;2;4;2;1;1;0;3;2;2;2;2;5;2;2;1;4;1000;0;0;0;0;0;0;600;1000
131469;2005;1;1;74;32;2;3;0;0;5;4;1;0;0;0;0;0;0;0;0;0;0;308;0;308;0;0;0;308;0;0
131685;2005;1;2;94;32;1;2;2;1;1;4;1;0;0;0;0;0;0;0;0;0;0;830;0;830;150;0;0;680;0;0
131837;2005;1;1;75;32;1;2;4;1;1;2;0;3;1;1;1;2;0;1;0;1;1;2008;0;658;0;0;0;508;900;900
131837;2005;1;2;66;32;1;2;4;1;1;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132112;2005;1;1;60;32;1;2;4;2;1;2;0;1;0;0;0;0;0;0;0;0;0;2000;0;0;0;0;0;0;0;2000
132112;2005;1;2;57;32;1;2;2;1;1;2;0;3;1;1;1;1;0;1;0;1;1;350;0;0;0;0;0;0;350;350
132112;2005;1;2;27;32;1;2;4;1;1;5;0;2;0;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0;0;500
132112;2005;1;1;25;32;1;1;4;2;1;5;0;3;1;1;1;1;0;1;0;1;1;600;0;0;0;0;0;0;600;600
