CODUSU;ANO4;TRIMESTRE;CH04;CH06;AGLOMERADO;CH09;CH10;CH12;CH13;CH15;CH07;CAT_INAC;CAT_OCUP;PP07G1;PP07G2;PP07G3;PP07G4;PP07G_59;PP07H;PP07I;PP07J;PP07K;P47T;V3_M;T_VI;V12_M;TOT_P12;V5_M;V2_M;PP08D1;P21
125111;2004;2;1;63;32;1;2;4;1;1;1;0;3;2;2;2;2;5;2;2;1;5;0;0;0;0;0;0;0;0;0
125111;2004;2;2;52;32;1;2;4;1;4;1;0;3;1;1;1;1;0;1;0;1;1;1000;0;0;0;0;0;0;1000;1000
125458;2004;2;1;26;32;1;1;4;2;1;2;0;3;1;1;1;1;0;1;0;1;1;1000;0;0;0;0;0;0;1000;1000
125458;2004;2;2;23;32;1;2;6;1;1;2;0;3;1;1;1;1;0;1;0;1;1;600;0;0;0;0;0;0;600;600
125458;2004;2;1;6;32;1;1;2;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125558;2004;2;1;54;32;1;2;2;1;1;2;0;2;0;0;0;0;0;0;0;0;0;2500;0;0;0;0;0;0;0;2500
125558;2004;2;2;51;32;1;2;7;1;1;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125558;2004;2;2;25;32;1;1;7;2;1;5;0;2;0;0;0;0;0;0;0;0;0;120;0;0;0;0;0;0;0;120
125558;2004;2;2;20;32;1;1;6;2;1;5;0;3;2;2;2;2;5;2;2;1;2;290;0;0;0;40;0;0;250;250
125584;2004;2;2;34;32;1;2;7;1;2;5;0;2;0;0;0;0;0;0;0;0;0;1200;0;0;0;700;0;0;0;500
125599;2004;2;1;55;32;1;2;4;1;1;1;0;2;0;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0;0;500
125599;2004;2;2;49;32;1;2;4;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125599;2004;2;1;16;32;1;1;4;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125599;2004;2;1;15;32;1;1;4;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125599;2004;2;2;78;32;1;2;4;1;1;4;1;0;0;0;0;0;0;0;0;0;0;230;0;230;0;0;0;230;0;0
125668;2004;2;1;70;32;1;2;2;1;1;2;1;0;0;0;0;0;0;0;0;0;0;545;0;545;0;0;0;545;0;0
125668;2004;2;2;69;32;1;2;2;1;1;2;2;0;0;0;0;0;0;0;0;0;0;200;0;200;0;0;0;0;0;0
126012;2004;2;1;32;32;1;2;4;1;1;1;0;3;1;1;1;1;0;1;0;3;1;900;0;0;0;0;0;0;900;900
126012;2004;2;2;27;32;1;2;4;1;1;1;4;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;100;0;0;0
126175;2004;2;1;76;32;1;2;7;1;1;2;0;2;0;0;0;0;0;0;0;0;0;2080;0;2000;0;0;0;2000;0;80
126175;2004;2;2;77;32;1;2;4;1;1;2;1;0;0;0;0;0;0;0;0;0;0;240;0;240;0;0;0;240;0;0
126326;2004;2;1;54;32;1;2;7;1;3;2;0;2;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;1000
126326;2004;2;2;52;32;1;2;7;1;1;2;0;2;0;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0;0;500
126326;2004;2;2;12;32;1;1;2;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126548;2004;2;1;55;32;1;2;2;1;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126548;2004;2;2;50;32;1;2;2;1;3;2;0;3;2;2;2;2;5;2;2;1;4;460;0;0;0;160;0;0;300;300
126548;2004;2;2;24;32;1;2;4;1;1;5;0;3;2;2;2;2;5;2;2;1;2;200;0;0;0;0;0;0;200;200
126548;2004;2;2;21;32;1;2;4;2;1;5;0;3;2;2;2;2;5;2;2;1;4;0;0;0;0;0;0;0;0;0
126548;2004;2;2;1;32;3;0;0;0;1;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126562;2004;2;2;60;32;1;2;2;1;2;4;1;0;0;0;0;0;0;0;0;0;0;240;0;240;0;0;0;240;0;0
126562;2004;2;1;23;32;1;1;7;2;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
127406;2004;2;2;64;32;1;2;2;2;3;4;0;2;0;0;0;0;0;0;0;0;0;150;0;0;0;0;0;0;0;150
127406;2004;2;2;48;32;2;3;0;0;3;5;6;0;0;0;0;0;0;0;0;0;0;128;0;128;0;0;128;0;0;0
127415;2004;2;2;34;32;1;2;7;1;1;5;0;3;1;1;1;1;0;1;0;1;1;700;0;0;0;0;0;0;700;700
127521;2004;2;1;41;32;1;2;2;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;1000
127521;2004;2;2;31;32;1;2;2;1;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
127539;2004;2;2;77;32;1;2;2;1;9;4;1;0;0;0;0;0;0;0;0;0;0;220;0;220;0;0;0;220;0;0
127934;2004;2;2;27;32;1;2;4;1;1;5;0;3;1;1;1;1;0;1;0;1;1;820;0;0;0;20;0;0;500;800
127934;2004;2;1;7;32;1;1;2;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128148;2004;2;1;53;32;1;2;7;1;1;2;0;2;0;0;0;0;0;0;0;0;0;1100;0;0;0;400;0;0;0;700
128148;2004;2;2;47;32;1;2;7;1;3;2;0;3;1;1;1;1;0;1;0;1;1;2030;0;900;0;80;0;0;750;750
128148;2004;2;2;15;32;1;1;4;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128148;2004;2;1;12;32;1;1;2;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128214;2004;2;1;78;32;1;2;2;2;4;2;1;0;0;0;0;0;0;0;0;0;0;900;0;900;0;0;0;900;0;0
128214;2004;2;2;73;32;1;2;2;1;1;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128301;2004;2;1;43;32;1;2;7;1;1;2;0;3;1;1;1;1;0;1;0;1;1;3000;0;0;0;0;0;0;3000;3000
