CODUSU;ANO4;TRIMESTRE;CH04;CH06;AGLOMERADO;CH09;CH10;CH12;CH13;CH15;CH07;ESTADO;CAT_INAC;CAT_OCUP;PP07G1;PP07G2;PP07G3;PP07G4;PP07G_59;PP07H;PP07I;PP07J;PP07K;P47T;V3_M;T_VI;V12_M;TOT_P12;V5_M;V2_M;PP08D1;P21
128148;2004;1;2;15;32;1;1;4;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128148;2004;1;1;12;32;1;1;2;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128301;2004;1;1;43;32;1;2;6;1;1;2;1;0;3;1;1;1;1;0;1;0;1;1;4700;0;0;0;0;0;0;3200;3200
128301;2004;1;2;43;32;1;2;6;1;1;2;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128301;2004;1;2;13;32;1;1;4;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128301;2004;1;2;10;32;1;1;2;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128301;2004;1;2;3;32;2;1;1;2;1;5;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128340;2004;1;1;46;32;1;2;2;1;1;2;1;0;3;2;2;2;2;5;2;1;1;4;500;0;0;0;0;0;0;0;500
128340;2004;1;2;55;32;1;2;4;1;1;2;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128340;2004;1;1;18;32;1;1;7;2;1;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128340;2004;1;2;21;32;1;1;7;2;1;5;1;0;3;1;1;1;2;0;2;2;3;1;500;0;0;0;0;0;0;500;500
128714;2004;1;2;78;32;1;2;4;1;1;5;3;1;0;0;0;0;0;0;0;0;0;0;1600;0;1600;0;0;0;1600;0;0
128771;2004;1;1;60;32;1;2;2;1;2;2;3;1;0;0;0;0;0;0;0;0;0;0;300;0;300;0;0;0;300;0;0
128771;2004;1;2;43;32;1;2;2;1;3;2;1;0;3;1;1;1;1;0;1;0;2;1;1000;0;0;0;0;0;0;1000;1000
128771;2004;1;2;19;32;1;1;7;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128771;2004;1;2;10;32;1;1;2;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128921;2004;1;2;32;32;1;2;4;2;1;4;1;0;3;1;1;1;1;0;1;0;1;1;620;0;0;0;0;0;0;620;620
128921;2004;1;2;59;32;1;2;2;1;3;4;3;4;0;0;0;0;0;0;0;0;0;0;100;0;100;100;0;0;0;0;0
128921;2004;1;1;37;32;1;2;4;2;1;5;1;0;3;2;2;2;2;5;2;2;1;4;800;0;0;0;0;0;0;800;800
129220;2004;1;2;44;32;1;2;7;1;1;5;1;0;3;1;1;1;1;0;1;0;1;1;540;0;0;0;140;0;0;400;400
129328;2004;1;2;30;32;1;2;7;1;2;3;1;0;2;0;0;0;0;0;0;0;0;0;2400;0;0;0;400;0;0;0;2000
129400;2004;1;1;62;32;1;2;2;1;1;2;1;0;3;2;2;2;2;5;2;2;1;4;800;0;0;0;0;0;0;800;800
129400;2004;1;2;63;32;1;2;6;2;5;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
129906;2004;1;1;71;32;1;2;2;1;5;2;3;1;0;0;0;0;0;0;0;0;0;0;345;0;345;0;0;0;230;0;0
129906;2004;1;2;67;32;1;2;2;1;5;2;3;1;0;0;0;0;0;0;0;0;0;0;525;0;525;0;0;0;350;0;0
129906;2004;1;2;87;32;1;2;2;1;4;4;3;1;0;0;0;0;0;0;0;0;0;0;300;0;300;0;0;0;200;0;0
129950;2004;1;2;34;32;1;2;6;1;1;3;1;0;3;1;1;1;1;0;1;0;1;1;850;0;0;0;0;0;0;850;850
129950;2004;1;2;14;32;1;1;4;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
129959;2004;1;2;24;32;1;1;7;2;1;5;1;0;3;1;2;2;2;0;2;2;1;4;2350;0;300;300;0;0;0;2050;2050
129959;2004;1;2;28;32;1;1;7;2;2;5;2;0;3;0;0;0;0;0;0;0;0;0;300;0;300;300;0;0;0;0;0
130128;2004;1;2;51;32;1;2;4;1;1;3;1;0;3;1;1;1;1;0;1;0;3;1;1300;0;0;0;0;0;0;1300;1300
130128;2004;1;1;22;32;1;1;6;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130128;2004;1;1;20;32;1;1;7;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130657;2004;1;1;59;32;1;2;4;1;1;2;1;0;2;0;0;0;0;0;0;0;0;0;2000;0;0;0;0;0;0;0;2000
130657;2004;1;2;59;32;1;2;4;1;1;2;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130657;2004;1;1;32;32;1;2;7;2;1;5;1;0;3;1;1;1;1;0;1;0;1;1;800;0;0;0;0;0;0;800;800
130657;2004;1;1;27;32;1;2;4;1;1;5;1;0;3;2;2;2;2;5;2;2;1;9;700;0;0;0;0;0;0;700;700
130914;2004;1;1;24;32;1;2;7;2;1;5;1;0;3;1;1;1;1;0;1;0;1;1;900;0;0;0;0;0;0;900;900
130930;2004;1;2;50;32;1;1;7;2;1;3;1;0;1;0;0;0;0;0;0;0;0;0;2500;0;0;0;0;0;0;0;2500
130930;2004;1;2;19;32;1;1;6;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;200;0;200;200;0;0;0;0;0
130930;2004;1;2;15;32;1;1;4;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;300;0;300;300;0;0;0;0;0
130931;2004;1;1;69;32;1;2;7;2;1;2;1;0;3;2;2;2;2;5;2;2;1;4;100;0;0;0;0;0;0;0;100
130931;2004;1;2;56;32;1;2;7;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131058;2004;1;1;25;32;1;1;7;2;3;5;3;3;0;0;0;0;0;0;0;0;0;0;700;0;700;700;0;0;0;0;0
131058;2004;1;2;21;32;1;1;7;2;3;5;3;3;0;0;0;0;0;0;0;0;0;0;450;0;450;450;0;0;0;0;0
131121;2004;1;1;26;32;1;2;6;1;2;5;2;0;3;0;0;0;0;0;0;0;0;0;1150;0;0;0;1150;0;0;0;0
131244;2004;1;1;33;32;1;2;4;1;1;1;1;0;3;1;1;1;1;0;1;0;1;1;1800;0;0;0;800;0;0;1000;1000
131244;2004;1;2;28;32;1;1;4;2;1;1;1;0;3;2;2;2;2;5;2;2;1;4;550;0;0;0;0;0;0;550;550
131393;2004;1;1;66;32;1;2;7;1;1;2;1;0;2;0;0;0;0;0;0;0;0;0;4200;0;0;0;0;0;0;0;4200
131393;2004;1;2;61;32;1;2;4;1;1;2;3;2;0;0;0;0;0;0;0;0;0;0;1700;0;1700;0;0;0;0;0;0
131416;2004;1;1;28;32;1;2;6;1;1;1;1;0;3;1;1;1;1;0;1;0;1;1;800;0;0;0;0;0;0;800;800
131416;2004;1;2;27;32;1;2;6;1;1;1;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131416;2004;1;2;1;32;3;0;0;0;1;5;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131548;2004;1;1;29;32;1;2;2;1;3;2;1;0;3;1;1;1;1;0;1;0;1;1;859;0;0;0;0;0;0;609;609
131548;2004;1;2;32;32;1;2;4;1;3;2;1;0;3;1;1;1;1;0;1;0;1;1;729;0;0;0;0;0;0;509;509
131548;2004;1;2;3;32;2;3;0;0;1;5;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131685;2004;1;2;92;32;1;2;2;1;1;4;3;1;0;0;0;0;0;0;0;0;0;0;425;0;425;200;0;0;225;0;0
131752;2004;1;1;56;32;1;2;4;1;1;2;1;0;3;1;1;1;1;0;1;0;1;1;600;0;0;0;0;0;0;600;600
131752;2004;1;2;55;32;1;2;2;1;1;2;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131752;2004;1;1;20;32;1;2;4;2;1;5;1;0;3;2;2;2;2;5;2;2;1;2;550;0;0;0;0;0;0;0;550
131752;2004;1;2;20;32;1;2;4;2;1;5;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131752;2004;1;2;27;32;1;2;7;2;1;5;1;0;3;1;1;1;1;0;1;0;1;1;1200;0;0;0;0;0;0;1200;1200
131752;2004;1;2;-1;32;3;0;0;0;1;5;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131837;2004;1;1;74;32;1;2;4;1;1;2;1;0;3;1;1;1;1;0;1;0;1;1;800;0;0;0;0;0;0;800;800
131837;2004;1;2;65;32;1;2;4;1;1;2;1;0;2;0;0;0;0;0;0;0;0;0;300;0;0;0;0;0;0;0;300
132112;2004;1;1;59;32;1;2;2;1;1;2;1;0;2;0;0;0;0;0;0;0;0;0;2000;0;0;0;0;0;0;0;2000
132112;2004;1;2;57;32;1;2;2;1;1;2;1;0;3;1;1;1;1;0;1;0;1;1;550;0;0;0;0;0;0;550;550
132112;2004;1;2;26;32;1;2;4;1;1;5;1;0;3;1;2;1;2;0;2;1;1;3;800;0;0;0;0;0;0;500;800
132112;2004;1;1;24;32;1;2;2;1;1;5;1;0;3;1;1;1;1;0;1;0;1;1;600;0;0;0;0;0;0;400;400
132112;2004;1;1;17;32;1;1;4;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132112;2004;1;2;23;32;1;2;2;1;1;3;2;0;3;0;0;0;0;0;0;0;0;0;15;0;0;0;15;0;0;0;0
132112;2004;1;2;4;32;2;2;1;2;1;5;4;5;0;0;0;0;0;0;0;0;0;0;100;0;100;100;0;0;0;0;0
132112;2004;1;1;1;32;3;0;0;0;1;5;4;5;0;0;0;0;0;0;0;0;0;0;100;0;100;100;0;0;0;0;0
132202;2004;1;1;40;32;1;2;4;2;1;1;1;0;3;1;1;1;1;0;1;0;3;1;1100;0;0;0;0;0;0;1100;1100
132202;2004;1;2;48;32;1;2;4;2;3;1;1;0;2;0;0;0;0;0;0;0;0;0;700;0;0;0;0;0;0;0;700
132202;2004;1;2;28;32;1;2;4;1;3;5;1;0;2;0;0;0;0;0;0;0;0;0;300;0;0;0;0;0;0;0;300
132202;2004;1;1;16;32;1;2;4;1;3;5;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132202;2004;1;2;9;32;1;1;2;2;1;5;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132463;2004;1;1;83;32;1;2;4;1;1;5;3;1;0;0;0;0;0;0;0;0;0;0;700;0;700;200;0;0;500;0;0
132463;2004;1;2;86;32;1;2;2;1;1;5;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132791;2004;1;1;26;32;1;2;4;2;1;1;1;0;3;2;2;2;2;5;2;2;1;4;600;0;0;0;0;0;0;600;600
132791;2004;1;2;22;32;1;2;4;2;3;1;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132791;2004;1;2;3;32;2;1;1;2;1;5;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132907;2004;1;1;65;32;1;2;4;1;1;2;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132907;2004;1;2;62;32;1;2;7;1;1;2;1;0;3;1;1;1;1;0;1;0;1;1;400;0;0;0;0;0;0;400;400
132929;2004;1;1;34;32;1;2;4;2;1;2;1;0;3;1;1;1;1;0;1;0;1;1;700;0;0;0;0;0;0;700;700
132929;2004;1;2;32;32;1;2;4;1;1;2;1;0;3;1;1;1;1;0;1;0;1;1;350;0;0;0;0;0;0;350;350
132929;2004;1;2;13;32;1;1;5;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132929;2004;1;1;6;32;1;1;2;2;1;5;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133114;2004;1;1;38;32;1;2;2;1;4;2;1;0;3;1;1;1;1;0;1;0;1;1;1210;0;0;0;0;0;0;1210;1210
133114;2004;1;2;31;32;1;2;2;1;4;2;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133114;2004;1;2;12;32;1;1;4;2;4;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133114;2004;1;1;9;32;1;1;2;2;1;5;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133227;2004;1;2;75;32;1;2;4;1;2;4;3;1;0;0;0;0;0;0;0;0;0;0;201;0;201;0;0;0;201;0;0
133227;2004;1;2;48;32;1;2;6;1;2;3;1;0;3;1;1;1;1;0;1;0;1;1;850;0;0;0;0;0;0;850;850
133430;2004;1;2;48;32;1;2;7;1;1;1;1;0;3;1;1;1;1;0;1;0;1;1;1300;0;0;0;0;0;0;1300;1300
133430;2004;1;1;56;32;1;2;7;2;1;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133430;2004;1;2;11;32;1;1;2;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133492;2004;1;1;32;32;1;2;4;2;1;5;1;0;2;0;0;0;0;0;0;0;0;0;980;0;0;0;280;0;0;0;700
133492;2004;1;1;32;32;1;2;4;1;1;5;1;0;3;1;1;1;1;0;1;0;3;1;450;0;0;0;0;0;0;300;450
133631;2004;1;1;45;32;1;2;2;1;1;2;1;0;3;2;2;2;2;5;2;1;1;3;382;0;0;0;0;0;0;382;382
133631;2004;1;2;53;32;1;2;4;2;1;2;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133631;2004;1;1;13;32;1;1;4;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133631;2004;1;2;73;32;1;2;2;2;3;4;3;1;0;0;0;0;0;0;0;0;0;0;300;0;300;0;0;0;300;0;0
133681;2004;1;1;39;32;1;2;4;1;1;2;1;0;1;0;0;0;0;0;0;0;0;0;2500;0;0;0;0;0;0;0;2500
133681;2004;1;2;37;32;1;2;4;1;3;2;1;0;3;2;2;2;2;5;2;1;1;3;0;0;0;0;0;0;0;0;0
133681;2004;1;1;15;32;1;1;5;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133681;2004;1;2;13;32;1;1;3;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133907;2004;1;2;37;32;1;2;4;1;1;2;1;0;3;2;2;2;2;5;2;2;1;1;300;0;0;0;0;0;0;300;300
133907;2004;1;2;64;32;1;2;2;1;1;4;2;0;0;0;0;0;0;0;0;0;0;0;200;0;200;0;0;0;200;0;0
134264;2004;1;2;21;32;1;1;7;2;2;5;3;3;0;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0
134264;2004;1;2;19;32;1;1;7;2;2;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
135225;2004;1;1;92;32;1;2;4;2;1;2;3;1;0;0;0;0;0;0;0;0;0;0;2300;0;2300;0;0;0;2300;0;0
135225;2004;1;2;78;32;1;2;4;2;1;2;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
135693;2004;1;2;52;32;1;2;2;1;1;3;3;4;0;0;0;0;0;0;0;0;0;0;150;0;150;0;0;150;0;0;0
135693;2004;1;1;13;32;1;1;2;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
136089;2004;1;1;40;32;1;2;6;1;2;1;1;0;3;1;1;1;1;0;1;0;1;1;3100;0;0;0;0;0;0;3100;3100
136089;2004;1;2;39;32;1;2;7;1;1;1;1;0;3;1;1;1;1;0;1;0;1;1;2600;0;0;0;0;0;0;2600;2600
136339;2004;1;2;48;32;1;2;4;1;1;5;1;0;3;1;1;1;1;0;1;0;1;1;1800;0;0;0;0;0;0;0;1800
136365;2004;1;1;35;32;1;2;2;1;4;1;1;0;2;0;0;0;0;0;0;0;0;0;300;0;0;0;0;0;0;0;300
136365;2004;1;2;30;32;1;2;2;2;4;1;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
136365;2004;1;2;7;32;1;1;2;2;1;5;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137044;2004;1;1;65;32;1;2;7;1;1;2;3;1;0;0;0;0;0;0;0;0;0;0;450;0;450;0;0;0;450;0;0
137044;2004;1;2;56;32;1;2;7;1;5;2;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137044;2004;1;1;32;32;1;2;7;1;1;5;1;0;3;1;1;1;1;0;1;0;1;1;1900;0;0;0;0;0;0;1900;1900
137188;2004;1;1;61;32;1;2;2;1;3;2;1;0;2;0;0;0;0;0;0;0;0;0;370;0;370;370;0;0;0;0;0
137188;2004;1;2;60;32;1;2;2;1;3;2;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137188;2004;1;1;26;32;1;1;7;2;1;5;1;0;3;1;1;1;1;0;1;0;1;1;100;0;0;0;0;0;0;100;100
137188;2004;1;2;29;32;1;1;7;2;1;5;1;0;3;1;1;1;1;0;1;0;1;1;600;0;0;0;0;0;0;600;600
137393;2004;1;2;51;32;1;2;2;1;3;3;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137393;2004;1;2;27;32;1;2;4;2;1;2;1;0;2;0;0;0;0;0;0;0;0;0;400;0;0;0;0;0;0;0;400
137393;2004;1;1;24;32;1;1;7;2;1;5;1;0;3;1;1;1;1;0;1;0;1;1;600;0;0;0;0;0;0;600;600
137393;2004;1;2;22;32;1;2;4;2;1;5;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137393;2004;1;2;15;32;1;1;4;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137393;2004;1;1;35;32;1;2;4;1;1;2;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137393;2004;1;2;5;32;2;1;1;2;1;5;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137393;2004;1;2;3;32;2;1;1;2;1;5;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137528;2004;1;1;27;32;1;1;7;2;1;5;1;0;3;1;1;1;1;0;1;0;3;1;1700;0;1000;1000;200;0;0;500;500
138397;2004;1;1;61;32;1;2;4;1;3;3;1;0;3;1;1;1;1;0;1;0;1;1;1500;0;0;0;0;0;0;1500;1500
138397;2004;1;1;18;32;1;1;7;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
138760;2004;1;1;34;32;1;2;6;1;4;2;1;0;3;1;1;1;1;0;1;0;3;1;4800;0;0;0;0;0;0;4800;4800
138760;2004;1;2;32;32;1;2;7;1;1;2;1;0;2;0;0;0;0;0;0;0;0;0;600;0;0;0;0;0;0;0;600
138760;2004;1;2;3;32;2;1;1;2;1;5;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
138793;2004;1;1;36;32;1;2;4;1;1;2;1;0;3;2;2;2;2;5;2;2;1;1;1000;0;0;0;0;0;0;0;1000
138793;2004;1;2;36;32;1;2;4;1;1;2;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
138793;2004;1;2;10;32;1;1;2;2;2;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
138793;2004;1;1;8;32;1;1;2;2;1;5;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
138793;2004;1;1;3;32;2;3;0;0;1;5;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
138885;2004;1;1;34;32;1;2;4;1;2;1;1;0;3;1;1;1;1;0;1;0;1;1;600;0;0;0;0;0;0;600;600
138885;2004;1;2;31;32;1;2;7;1;1;1;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
139136;2004;1;1;35;32;1;2;4;1;1;2;1;0;3;1;1;1;1;0;1;0;1;1;700;0;0;0;0;0;0;450;700
139136;2004;1;2;39;32;1;2;4;1;1;2;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
139136;2004;1;1;-1;32;3;0;0;0;1;5;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
139485;2004;1;2;73;32;1;2;7;1;2;5;3;1;0;0;0;0;0;0;0;0;0;0;823;0;823;200;0;0;623;0;0
140322;2004;1;1;51;32;1;2;7;1;1;2;1;0;3;1;1;1;1;0;1;0;1;1;1302;0;0;0;0;0;0;1302;1302
