CODUSU;ANO4;TRIMESTRE;CH04;CH06;AGLOMERADO;CH09;CH10;CH12;CH13;CH15;CH07;CAT_INAC;CAT_OCUP;PP07G1;PP07G2;PP07G3;PP07G4;PP07G_59;PP07H;PP07I;PP07J;PP07K;P47T;V3_M;T_VI;V12_M;TOT_P12;V5_M;V2_M;PP08D1;P21
125009;2006;2;2;24;32;1;2;7;1;2;5;0;2;0;0;0;0;0;0;0;0;0;2090;0;1200;1200;0;0;0;0;890
125009;2006;2;1;23;32;1;1;6;2;2;5;0;3;1;1;1;1;0;1;0;1;1;670;0;0;0;0;0;0;570;670
125009;2006;2;2;21;32;1;2;6;1;2;5;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125009;2006;2;1;19;32;1;1;7;2;2;5;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125204;2006;2;1;38;32;1;2;7;2;1;2;0;3;1;1;1;1;0;1;0;1;1;1000;0;0;0;0;0;0;1000;1000
125204;2006;2;2;38;32;1;2;6;1;1;2;0;3;1;1;1;1;0;1;0;1;1;1300;0;0;0;0;0;0;1300;1300
125204;2006;2;1;10;32;1;1;2;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125204;2006;2;1;8;32;1;1;2;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125244;2006;2;1;62;32;1;2;4;1;1;3;0;2;0;0;0;0;0;0;0;0;0;2700;0;1200;0;0;0;0;0;1500
125244;2006;2;2;88;32;1;2;2;1;1;4;1;0;0;0;0;0;0;0;0;0;0;600;0;600;0;0;0;600;0;0
125533;2006;2;1;76;32;1;2;7;1;3;2;1;0;0;0;0;0;0;0;0;0;0;700;0;700;0;0;0;700;0;0
125533;2006;2;2;67;32;1;2;7;1;1;2;1;0;0;0;0;0;0;0;0;0;0;412;0;412;0;0;0;412;0;0
125656;2006;2;2;42;32;1;2;7;1;1;5;0;3;1;1;1;1;0;1;0;1;1;900;0;0;0;0;0;0;900;900
125656;2006;2;1;-1;32;3;0;0;0;1;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125768;2006;2;1;48;32;1;2;4;1;4;1;0;2;0;0;0;0;0;0;0;0;0;250;0;0;0;150;0;0;0;100
125768;2006;2;2;45;32;1;2;4;2;3;1;0;3;1;1;1;1;0;1;0;1;1;1360;0;0;0;0;0;0;800;1360
126449;2006;2;1;38;32;1;2;4;2;4;2;0;2;0;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0;0;500
126449;2006;2;2;32;32;1;2;2;1;4;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126449;2006;2;1;11;32;1;1;2;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126449;2006;2;2;-1;32;3;0;0;0;1;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126467;2006;2;2;51;32;1;2;6;2;1;2;0;3;1;1;1;1;0;1;0;1;1;1100;0;0;0;0;0;0;1100;1100
126467;2006;2;1;59;32;1;2;6;2;2;2;0;3;1;1;1;1;0;1;0;1;1;2500;0;0;0;0;0;0;2500;2500
126467;2006;2;2;25;32;1;2;7;1;1;5;0;3;1;1;1;1;0;1;0;1;1;900;0;0;0;0;0;0;900;900
126467;2006;2;2;21;32;1;1;7;2;1;5;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
