CODUSU;ANO4;TRIMESTRE;CH04;CH06;AGLOMERADO;CH09;CH10;CH12;CH13;CH15;CH07;ESTADO;CAT_INAC;CAT_OCUP;PP07G1;PP07G2;PP07G3;PP07G4;PP07G_59;PP07H;PP07I;PP07J;PP07K;P47T;V3_M;T_VI;V12_M;TOT_P12;V5_M;V2_M;PP08D1;P21
125077;2005;4;1;20;32;1;1;7;2;1;5;1;0;2;0;0;0;0;0;0;0;0;0;500;0;200;200;0;0;0;0;300
125242;2005;4;2;71;32;1;2;2;1;1;4;3;1;0;0;0;0;0;0;0;0;0;0;619;0;619;0;0;0;619;0;0
125521;2005;4;1;38;32;1;2;7;1;1;2;1;0;3;1;1;1;1;0;1;0;1;1;1300;0;0;0;0;0;0;1300;1300
125521;2005;4;2;32;32;1;2;6;1;1;2;1;0;3;1;1;1;1;0;1;0;1;1;700;0;0;0;0;0;0;700;700
125742;2005;4;1;52;32;1;2;4;1;1;1;1;0;3;1;1;1;1;0;1;0;1;1;5000;0;0;0;0;0;0;5000;5000
125742;2005;4;2;42;32;1;1;6;2;1;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125742;2005;4;1;10;32;1;1;2;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125742;2005;4;1;5;32;2;1;1;2;1;5;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126264;2005;4;2;65;32;1;2;6;1;1;5;3;1;0;0;0;0;0;0;0;0;0;0;1200;0;1200;0;0;0;1200;0;0
126264;2005;4;2;91;32;1;2;2;1;1;4;3;1;0;0;0;0;0;0;0;0;0;0;380;0;380;0;0;0;380;0;0
126264;2005;4;1;33;32;1;1;7;2;1;5;1;0;3;1;1;1;1;0;1;0;1;1;850;0;0;0;0;0;0;850;850
126605;2005;4;1;47;32;1;2;4;1;1;1;1;0;3;2;2;2;2;5;2;2;1;4;700;0;0;0;0;0;0;0;700
126605;2005;4;2;49;32;1;2;4;2;1;1;1;0;3;2;2;2;2;5;2;2;1;4;480;0;0;0;240;0;0;240;240
126605;2005;4;2;6;32;2;1;2;2;1;5;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126652;2005;4;1;33;32;1;2;7;2;1;5;1;0;3;2;2;2;2;5;2;1;1;3;1700;0;0;0;0;0;0;1700;1700
126750;2005;4;1;41;32;1;1;8;2;1;2;1;0;3;1;1;1;1;0;1;0;1;1;1600;0;0;0;0;0;0;1600;1600
126750;2005;4;2;43;32;1;1;7;2;1;2;1;0;3;1;1;1;1;0;1;0;1;1;1200;0;0;0;0;0;0;1200;1200
126750;2005;4;1;17;32;1;1;4;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126750;2005;4;1;12;32;1;1;2;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
