CODUSU;ANO4;TRIMESTRE;CH04;CH06;AGLOMERADO;CH09;CH10;CH12;CH13;CH15;CH07;ESTADO;CAT_INAC;CAT_OCUP;PP07G1;PP07G2;PP07G3;PP07G4;PP07G_59;PP07H;PP07I;PP07J;PP07K;P47T;V3_M;T_VI;V12_M;TOT_P12;V5_M;V2_M;PP08D1;P21
125098;2004;4;1;80;32;1;2;4;2;1;4;3;1;0;0;0;0;0;0;0;0;0;0;620;0;620;0;0;0;620;0;0
125329;2004;4;1;46;32;1;2;7;1;1;2;1;0;3;1;1;1;1;0;1;0;1;1;2750;0;0;0;0;0;0;2750;2750
125329;2004;4;2;46;32;1;2;7;1;2;2;1;0;3;1;2;1;2;0;2;1;1;3;2500;0;0;0;0;0;0;2500;2500
125329;2004;4;1;14;32;1;1;4;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125329;2004;4;1;8;32;1;1;2;2;1;5;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125397;2004;4;2;74;32;1;2;2;1;1;9;3;1;0;0;0;0;0;0;0;0;0;0;289;0;289;0;0;0;289;0;0
125436;2004;4;1;53;32;1;2;7;2;1;2;1;0;1;0;0;0;0;0;0;0;0;0;2000;0;0;0;0;0;0;0;2000
125436;2004;4;2;53;32;1;2;4;1;1;2;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125436;2004;4;2;27;32;1;2;4;1;1;5;1;0;3;1;1;1;1;0;1;0;1;1;600;0;0;0;0;0;0;600;600
125436;2004;4;1;20;32;1;1;4;2;1;5;1;0;3;2;2;2;2;5;2;2;1;4;480;0;0;0;0;0;0;480;480
125436;2004;4;2;18;32;1;1;7;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126225;2004;4;1;45;32;1;2;6;1;1;1;1;0;3;1;1;1;1;0;1;0;1;1;2330;0;0;0;0;0;0;2330;2330
126225;2004;4;2;41;32;1;1;6;2;3;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126225;2004;4;2;22;32;1;1;7;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126225;2004;4;2;18;32;1;2;4;1;1;5;1;0;3;2;2;2;2;5;2;2;1;4;300;0;0;0;0;0;0;300;300
126368;2004;4;1;66;32;1;2;6;1;1;2;1;0;3;1;1;1;1;0;1;0;1;1;3600;0;2100;0;0;0;2100;1500;1500
126368;2004;4;2;64;32;1;2;6;1;1;2;2;0;2;0;0;0;0;0;0;0;0;0;40;0;0;0;40;0;0;0;0
126768;2004;4;1;47;32;1;2;6;2;1;3;1;0;3;1;1;1;1;0;1;0;1;1;900;0;0;0;0;0;0;900;900
126784;2004;4;1;40;32;1;2;7;2;1;1;1;0;3;1;1;1;1;0;1;0;1;1;3250;0;0;0;1000;0;0;1650;1650
126784;2004;4;2;40;32;1;2;6;2;1;1;1;0;3;1;1;1;1;0;1;0;1;1;1700;0;350;350;0;0;0;1350;1350
126784;2004;4;1;11;32;1;1;2;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126784;2004;4;1;1;32;3;0;0;0;1;5;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
127087;2004;4;2;51;32;1;2;8;1;1;3;1;0;3;1;1;1;1;0;1;0;1;1;2200;0;0;0;0;0;0;2200;2200
127087;2004;4;2;21;32;1;2;7;2;1;5;1;0;3;1;1;1;1;0;1;0;1;1;470;0;0;0;0;0;0;470;470
127087;2004;4;2;18;32;1;1;7;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
127087;2004;4;1;16;32;1;1;4;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
