CODUSU;ANO4;TRIMESTRE;CH04;CH06;AGLOMERADO;CH09;CH10;CH12;CH13;CH15;CH07;CAT_INAC;CAT_OCUP;PP07G1;PP07G2;PP07G3;PP07G4;PP07G_59;PP07H;PP07I;PP07J;PP07K;P47T;V3_M;T_VI;V12_M;TOT_P12;V5_M;V2_M;PP08D1;P21
125329;2004;3;2;46;32;1;2;7;1;1;2;0;3;1;1;1;1;0;1;0;1;1;1200;0;0;0;0;0;0;1200;1200
125329;2004;3;1;49;32;1;2;7;1;2;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125329;2004;3;1;14;32;1;1;4;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125329;2004;3;1;8;32;1;1;2;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125458;2004;3;1;26;32;1;2;4;2;1;2;0;3;1;1;1;1;0;1;0;3;1;500;0;0;0;0;0;0;500;500
125458;2004;3;2;24;32;1;2;6;1;1;2;0;3;1;1;1;1;0;1;0;1;1;500;0;0;0;0;0;0;500;500
125458;2004;3;1;7;32;1;1;2;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125584;2004;3;2;34;32;1;2;7;1;2;5;0;2;0;0;0;0;0;0;0;0;0;300;0;0;0;0;0;0;0;300
125668;2004;3;1;71;32;1;2;2;1;1;2;1;0;0;0;0;0;0;0;0;0;0;995;0;995;0;0;0;535;0;0
125668;2004;3;2;70;32;1;2;2;1;1;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125699;2004;3;1;43;32;1;2;4;1;1;5;0;3;1;1;1;1;0;1;0;1;1;1050;0;0;0;0;0;0;700;700
125699;2004;3;2;43;32;1;2;6;1;1;5;0;3;1;1;1;1;0;1;0;1;1;1310;0;0;0;260;0;0;700;700
125699;2004;3;1;37;32;1;2;6;1;1;5;0;2;0;0;0;0;0;0;0;0;0;300;0;0;0;0;0;0;0;300
126306;2004;3;1;83;32;1;2;2;1;1;4;1;0;0;0;0;0;0;0;0;0;0;459;0;459;100;0;0;359;0;0
126548;2004;3;1;55;32;1;2;2;1;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126548;2004;3;2;50;32;1;2;2;1;3;2;0;3;2;2;2;2;5;2;2;1;4;196;0;0;0;0;0;0;196;196
126548;2004;3;2;24;32;1;2;4;1;1;5;0;3;2;2;2;2;5;2;2;1;1;0;0;0;0;0;0;0;0;0
126548;2004;3;2;20;32;1;2;4;2;1;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126548;2004;3;2;1;32;3;0;0;0;1;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126562;2004;3;2;60;32;1;2;2;1;2;3;1;0;0;0;0;0;0;0;0;0;0;260;0;260;0;0;0;260;0;0
126562;2004;3;1;23;32;1;1;7;2;1;5;0;0;0;0;0;0;0;0;0;0;0;220;0;220;0;0;0;0;0;0
126784;2004;3;1;40;32;1;2;7;2;1;1;0;3;1;1;1;1;0;1;0;1;1;2230;0;0;0;230;0;0;2000;2000
126784;2004;3;2;40;32;1;2;7;2;1;1;0;3;1;1;1;1;0;1;0;1;1;611;0;0;0;0;0;0;611;611
126784;2004;3;1;11;32;1;1;2;2;1;5;3;0;0;0;0;0;0;0;0;0;0;150;0;150;0;0;0;0;0;0
126784;2004;3;1;1;32;3;0;0;0;1;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
127521;2004;3;1;42;32;1;2;2;1;1;1;0;1;0;0;0;0;0;0;0;0;0;800;0;0;0;0;0;0;0;800
