CODUSU;ANO4;TRIMESTRE;CH04;CH06;AGLOMERADO;CH09;CH10;CH12;CH13;CH15;CH07;CAT_INAC;CAT_OCUP;PP07G1;PP07G2;PP07G3;PP07G4;PP07G_59;PP07H;PP07I;PP07J;PP07K;P47T;V3_M;T_VI;V12_M;TOT_P12;V5_M;V2_M;PP08D1;P21
125204;2005;2;1;37;32;1;2;7;2;1;2;0;3;1;1;1;1;0;1;0;1;1;1600;0;0;0;0;0;0;1600;1600
125204;2005;2;2;37;32;1;2;7;2;1;2;0;3;1;1;1;1;0;1;0;1;1;1000;0;0;0;0;0;0;1000;1000
125204;2005;2;1;9;32;1;1;2;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125204;2005;2;1;7;32;1;1;2;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125458;2005;2;1;27;32;1;1;4;2;1;2;0;3;1;1;1;1;0;1;0;1;1;1200;0;0;0;0;0;0;1200;1200
125458;2005;2;2;24;32;1;1;2;2;1;2;0;3;1;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0
125458;2005;2;1;7;32;1;1;2;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125458;2005;2;2;-1;32;3;0;0;0;1;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125533;2005;2;1;80;32;1;2;7;1;3;2;4;0;0;0;0;0;0;0;0;0;0;2000;0;0;0;0;0;0;0;0
125533;2005;2;2;66;32;1;2;4;1;1;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125533;2005;2;1;94;32;1;2;7;1;5;4;1;0;0;0;0;0;0;0;0;0;0;400;0;400;0;0;0;400;0;0
125558;2005;2;1;55;32;1;2;2;1;1;2;0;2;0;0;0;0;0;0;0;0;0;2000;0;0;0;0;0;0;0;2000
125558;2005;2;2;52;32;1;2;7;1;1;2;0;2;0;0;0;0;0;0;0;0;0;2000;0;0;0;0;0;0;0;2000
125558;2005;2;2;26;32;1;1;7;2;1;5;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125558;2005;2;2;21;32;1;1;6;2;1;5;0;3;2;2;2;2;5;2;2;1;4;300;0;0;0;0;0;0;300;300
125599;2005;2;1;56;32;1;2;4;1;1;1;0;2;0;0;0;0;0;0;0;0;0;600;0;0;0;0;0;0;0;600
125599;2005;2;2;49;32;1;2;4;1;3;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125599;2005;2;1;18;32;1;1;4;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125599;2005;2;1;16;32;1;1;4;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125599;2005;2;2;79;32;1;2;4;2;1;4;1;0;0;0;0;0;0;0;0;0;0;208;0;208;0;0;0;208;0;0
125699;2005;2;1;44;32;1;2;4;1;1;5;0;3;1;1;1;1;0;1;0;1;1;700;0;0;0;0;0;0;700;700
125699;2005;2;2;44;32;1;2;6;1;1;5;0;3;1;1;1;1;0;1;0;1;1;700;0;0;0;200;0;0;500;500
125699;2005;2;1;38;32;1;2;6;1;1;5;0;3;2;2;2;2;5;2;2;1;4;300;0;0;0;0;0;0;300;300
126449;2005;2;1;37;32;1;2;4;1;4;1;0;3;2;2;2;1;0;1;0;2;1;1100;0;0;0;0;0;0;300;1100
126449;2005;2;2;33;32;1;2;2;1;4;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126449;2005;2;1;10;32;1;1;2;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126491;2005;2;1;86;32;1;2;2;1;1;4;1;0;0;0;0;0;0;0;0;0;0;970;0;970;0;0;0;970;0;0
126491;2005;2;2;43;32;1;2;4;1;1;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126536;2005;2;2;24;32;1;2;7;1;3;5;0;3;0;0;0;0;0;0;0;0;0;950;0;0;0;600;0;0;0;0
126536;2005;2;2;20;32;1;1;7;2;3;5;0;3;1;1;1;1;0;1;0;3;1;1564;0;0;0;0;0;0;864;1564
126536;2005;2;2;19;32;1;1;7;2;3;5;0;3;1;1;1;1;0;1;0;3;1;600;0;0;0;0;0;0;400;600
126562;2005;2;2;61;32;1;2;2;1;1;2;0;3;1;1;1;1;0;1;0;1;1;830;0;0;0;0;0;0;830;830
126562;2005;2;1;24;32;1;1;6;2;1;5;0;3;2;2;2;2;5;2;2;1;4;302;0;0;0;0;0;0;302;302
126714;2005;2;2;50;32;1;2;4;2;1;3;0;3;1;1;1;1;0;1;0;1;1;550;0;0;0;0;0;0;550;550
126714;2005;2;2;27;32;1;2;7;2;1;4;0;3;2;2;2;2;5;2;2;1;2;800;0;0;0;0;0;0;0;800
126799;2005;2;1;31;32;1;2;4;1;1;1;0;3;1;1;1;1;0;1;0;1;2;700;0;0;0;0;0;0;700;700
126799;2005;2;2;25;32;1;2;4;1;1;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126799;2005;2;2;65;32;1;2;4;2;1;3;0;2;0;0;0;0;0;0;0;0;0;150;0;0;0;0;0;0;0;150
126812;2005;2;1;54;32;1;2;4;1;1;2;0;1;0;0;0;0;0;0;0;0;0;5000;0;0;0;0;0;0;0;5000
126812;2005;2;2;56;32;1;2;7;1;2;2;0;2;0;0;0;0;0;0;0;0;0;2000;0;0;0;0;0;0;0;2000
126812;2005;2;1;15;32;1;1;4;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126812;2005;2;2;34;32;1;2;2;2;4;2;0;3;1;1;1;2;0;2;2;1;4;500;0;0;0;0;0;0;500;500
127251;2005;2;1;25;32;1;2;4;1;1;5;0;3;1;1;1;1;0;1;0;1;1;1500;0;0;0;0;0;0;1500;1500
127415;2005;2;2;35;32;1;2;6;2;1;5;0;3;1;1;1;1;0;1;0;1;1;990;0;0;0;0;0;0;990;990
127521;2005;2;1;42;32;1;2;2;1;1;1;0;1;0;0;0;0;0;0;0;0;0;2500;0;0;0;0;0;0;0;2500
127521;2005;2;2;32;32;1;2;2;1;1;1;2;0;0;0;0;0;0;0;0;0;0;280;0;280;0;0;0;0;0;0
127535;2005;2;1;25;32;1;2;4;2;4;1;0;2;0;0;0;0;0;0;0;0;0;250;0;0;0;250;0;0;0;0
127535;2005;2;2;20;32;1;2;4;2;4;1;4;0;0;0;0;0;0;0;0;0;0;80;0;80;0;0;80;0;0;0
127934;2005;2;2;28;32;1;2;4;1;1;5;0;3;1;1;1;1;0;1;0;1;1;860;0;0;0;0;0;0;860;860
127934;2005;2;1;8;32;1;1;2;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128148;2005;2;1;54;32;1;2;7;1;1;2;0;2;0;0;0;0;0;0;0;0;0;2900;0;900;0;0;0;0;0;2000
