CODUSU;ANO4;TRIMESTRE;CH04;CH06;AGLOMERADO;CH09;CH10;CH12;CH13;CH15;CH07;ESTADO;CAT_INAC;CAT_OCUP;PP07G1;PP07G2;PP07G3;PP07G4;PP07G_59;PP07H;PP07I;PP07J;PP07K;P47T;V3_M;T_VI;V12_M;TOT_P12;V5_M;V2_M;PP08D1;P21
125009;2006;1;2;24;32;1;1;8;2;2;5;1;0;2;0;0;0;0;0;0;0;0;0;1550;0;0;0;250;0;0;0;300
125009;2006;1;1;23;32;1;1;6;2;2;5;1;0;3;1;1;1;1;0;1;0;3;1;1260;0;0;0;0;0;0;860;860
125009;2006;1;2;21;32;1;1;6;2;2;5;1;0;3;1;1;1;1;0;1;0;2;3;1700;0;0;0;0;0;0;1700;1700
125009;2006;1;1;19;32;1;1;7;2;2;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125145;2006;1;1;46;32;1;2;4;1;2;2;1;0;3;2;2;2;2;5;2;2;1;4;1250;0;0;0;600;0;0;650;650
125145;2006;1;2;47;32;1;2;6;1;1;2;1;0;2;0;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0;0;500
125145;2006;1;1;11;32;1;1;2;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125242;2006;1;2;72;32;1;2;2;1;1;4;3;1;0;0;0;0;0;0;0;0;0;0;1490;0;1490;0;0;0;730;0;0
125436;2006;1;1;55;32;1;2;4;1;1;2;2;0;2;0;0;0;0;0;0;0;0;0;1500;0;1500;0;0;0;0;0;0
125436;2006;1;2;55;32;1;2;4;1;1;2;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125436;2006;1;2;27;32;1;2;4;1;1;5;1;0;2;0;0;0;0;0;0;0;0;0;1500;0;0;0;0;0;0;0;1500
125436;2006;1;1;21;32;1;1;7;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125436;2006;1;2;19;32;1;1;7;2;1;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125521;2006;1;1;38;32;1;2;7;1;2;2;1;0;3;1;1;1;1;0;1;0;1;1;1500;0;0;0;0;0;0;1000;1000
125521;2006;1;2;32;32;1;2;6;1;1;2;1;0;3;1;1;1;1;0;1;0;1;1;750;0;0;0;0;0;0;500;500
